"Label (Grouping)","Population 16 years and over with earnings","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","230,522","53,127","152,785","2,161","2,498","7,048","16,218","22,373","25,261","11,111","25,199","40,916","66,109","82,965","","61,327","44,078","44,861","59,395","79,622","97,504"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","230,522","(X)","152,785","1.4%","1.6%","4.6%","10.6%","14.6%","16.5%","7.3%","16.5%","26.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","177,278","41,567","102,939","1,028","1,526","5,614","13,222","20,237","19,195","7,754","17,161","17,202","57,087","72,742","","47,601","32,000","32,330","44,106","56,933","85,703"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","177,278","(X)","102,939","1.0%","1.5%","5.5%","12.8%","19.7%","18.6%","7.5%","16.7%","16.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,753,211","42,346","2,559,331","43,204","48,574","141,666","332,808","558,630","463,601","184,668","310,815","475,365","53,811","73,903","","48,738","31,966","38,547","45,115","63,471","76,587"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,753,211","(X)","2,559,331","1.7%","1.9%","5.5%","13.0%","21.8%","18.1%","7.2%","12.1%","18.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,023,859","47,810","1,478,889","22,737","24,377","71,471","171,777","296,489","271,231","104,883","187,565","328,359","57,628","81,123","","53,647","36,974","42,457","51,791","75,517","95,527"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,023,859","(X)","1,478,889","1.5%","1.6%","4.8%","11.6%","20.0%","18.3%","7.1%","12.7%","22.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,729,352","37,718","1,080,442","20,467","24,197","70,195","161,031","262,141","192,370","79,785","123,250","147,006","50,126","64,020","","42,429","25,764","32,739","39,821","53,443","65,877"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,729,352","(X)","1,080,442","1.9%","2.2%","6.5%","14.9%","24.3%","17.8%","7.4%","11.4%","13.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,458,408","36,761","1,012,797","17,693","24,611","92,565","178,108","239,553","176,763","64,689","93,337","125,478","46,012","61,713","","41,385","30,770","34,517","38,814","53,117","68,769"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,458,408","(X)","1,012,797","1.7%","2.4%","9.1%","17.6%","23.7%","17.5%","6.4%","9.2%","12.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","772,237","42,081","574,221","8,603","10,713","42,981","84,455","128,166","112,743","39,926","56,032","90,602","51,246","68,737","","48,162","35,059","40,487","47,765","66,177","80,253"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","772,237","(X)","574,221","1.5%","1.9%","7.5%","14.7%","22.3%","19.6%","7.0%","9.8%","15.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","686,171","31,520","438,576","9,090","13,898","49,584","93,653","111,387","64,020","24,763","37,305","34,876","41,123","52,518","","35,280","23,546","27,660","32,257","46,102","62,285"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","686,171","(X)","438,576","2.1%","3.2%","11.3%","21.4%","25.4%","14.6%","5.6%","8.5%","8.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"California","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,627,600","45,575","13,453,062","219,063","238,947","757,854","1,559,425","2,248,067","1,916,161","888,762","1,766,352","3,858,431","63,399","92,511","","52,520","30,843","38,507","47,535","75,688","103,600"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,627,600","(X)","13,453,062","1.6%","1.8%","5.6%","11.6%","16.7%","14.2%","6.6%","13.1%","28.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,136,505","51,521","7,845,113","112,803","115,273","395,892","853,683","1,251,186","1,101,349","504,542","1,011,969","2,498,416","66,916","101,041","","59,577","35,074","42,710","55,389","86,663","124,911"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,136,505","(X)","7,845,113","1.4%","1.5%","5.0%","10.9%","15.9%","14.0%","6.4%","12.9%","31.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,491,095","39,836","5,607,949","106,260","123,674","361,962","705,742","996,881","814,812","384,220","754,383","1,360,015","59,420","80,578","","46,176","23,950","31,970","40,044","64,979","89,917"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,491,095","(X)","5,607,949","1.9%","2.2%","6.5%","12.6%","17.8%","14.5%","6.9%","13.5%","24.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,441,556","49,195","2,298,202","33,963","37,196","93,366","214,323","405,645","394,030","185,583","342,866","591,230","63,809","86,282","","55,648","34,357","42,245","46,542","69,493","84,468"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,441,556","(X)","2,298,202","1.5%","1.6%","4.1%","9.3%","17.7%","17.1%","8.1%","14.9%","25.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,860,025","56,047","1,336,345","14,830","19,724","44,263","104,271","211,321","217,045","108,001","209,281","407,609","70,519","95,739","","64,224","40,470","49,663","54,159","84,234","103,054"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,860,025","(X)","1,336,345","1.1%","1.5%","3.3%","7.8%","15.8%","16.2%","8.1%","15.7%","30.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,581,531","41,135","961,857","19,133","17,472","49,103","110,052","194,324","176,985","77,582","133,585","183,621","56,823","73,142","","47,480","26,991","34,065","39,167","56,710","71,220"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,581,531","(X)","961,857","2.0%","1.8%","5.1%","11.4%","20.2%","18.4%","8.1%","13.9%","19.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,040,235","50,183","1,318,563","16,124","17,628","57,408","119,242","195,586","205,054","109,848","221,558","376,115","69,869","97,213","","58,734","31,767","41,610","49,709","75,597","92,566"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,040,235","(X)","1,318,563","1.2%","1.3%","4.4%","9.0%","14.8%","15.6%","8.3%","16.8%","28.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,051,455","56,751","743,369","7,197","9,033","27,026","62,426","100,380","109,308","56,000","126,026","245,973","75,047","109,190","","66,871","37,071","48,425","58,277","89,721","114,341"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,051,455","(X)","743,369","1.0%","1.2%","3.6%","8.4%","13.5%","14.7%","7.5%","17.0%","33.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","988,780","41,904","575,194","8,927","8,595","30,382","56,816","95,206","95,746","53,848","95,532","130,142","63,794","81,736","","51,014","25,301","32,078","40,582","63,248","79,204"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","988,780","(X)","575,194","1.6%","1.5%","5.3%","9.9%","16.6%","16.6%","9.4%","16.6%","22.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","550,009","43,181","372,528","4,385","6,363","20,624","45,882","72,910","65,761","29,106","56,679","70,818","57,010","73,650","","50,835","34,578","39,820","44,530","64,139","79,150"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","550,009","(X)","372,528","1.2%","1.7%","5.5%","12.3%","19.6%","17.7%","7.8%","15.2%","19.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","278,934","50,536","198,566","899","4,167","11,163","20,483","33,401","32,741","15,777","32,987","46,948","63,310","80,213","","56,661","36,361","42,981","52,602","77,214","95,071"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","278,934","(X)","198,566","0.5%","2.1%","5.6%","10.3%","16.8%","16.5%","7.9%","16.6%","23.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","271,075","40,305","173,962","3,486","2,196","9,461","25,399","39,509","33,020","13,329","23,692","23,870","51,912","66,158","","44,788","30,571","33,331","41,335","51,472","69,691"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","271,075","(X)","173,962","2.0%","1.3%","5.4%","14.6%","22.7%","19.0%","7.7%","13.6%","13.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,363,122","39,920","7,803,201","119,986","166,563","697,061","1,207,547","1,631,678","1,269,353","493,329","875,433","1,342,251","50,628","72,032","","44,036","28,063","34,769","41,565","56,243","74,215"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,363,122","(X)","7,803,201","1.5%","2.1%","8.9%","15.5%","20.9%","16.3%","6.3%","11.2%","17.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,966,670","44,641","4,374,674","64,293","81,504","318,061","601,673","859,856","719,436","278,911","519,644","931,296","54,157","81,325","","50,390","31,747","40,223","49,272","68,211","92,458"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,966,670","(X)","4,374,674","1.5%","1.9%","7.3%","13.8%","19.7%","16.4%","6.4%","11.9%","21.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,396,452","34,181","3,428,527","55,693","85,059","379,000","605,874","771,822","549,917","214,418","355,789","410,955","45,855","60,175","","38,794","23,116","28,801","35,768","49,658","63,436"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,396,452","(X)","3,428,527","1.6%","2.5%","11.1%","17.7%","22.5%","16.0%","6.3%","10.4%","12.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,793,714","41,046","3,996,929","76,123","80,727","307,049","573,594","779,761","636,571","277,686","498,503","766,915","53,186","73,859","","47,625","30,325","35,880","42,139","63,803","78,550"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,793,714","(X)","3,996,929","1.9%","2.0%","7.7%","14.4%","19.5%","15.9%","6.9%","12.5%","19.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,998,714","46,944","2,196,252","37,667","37,890","135,408","271,502","401,822","344,922","153,307","291,775","521,959","58,853","83,251","","53,727","35,322","40,780","51,535","77,724","97,736"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,998,714","(X)","2,196,252","1.7%","1.7%","6.2%","12.4%","18.3%","15.7%","7.0%","13.3%","23.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,795,000","35,671","1,800,677","38,456","42,837","171,641","302,092","377,939","291,649","124,379","206,728","244,956","48,397","62,404","","41,035","23,559","30,448","35,608","53,933","67,566"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,795,000","(X)","1,800,677","2.1%","2.4%","9.5%","16.8%","21.0%","16.2%","6.9%","11.5%","13.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","768,574","45,043","520,760","9,763","9,935","35,267","59,113","97,653","87,321","39,931","77,714","104,063","58,626","73,785","","50,993","29,829","41,441","46,737","61,880","79,653"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","768,574","(X)","520,760","1.9%","1.9%","6.8%","11.4%","18.8%","16.8%","7.7%","14.9%","20.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","410,175","51,447","294,761","5,046","3,939","17,566","31,066","48,700","49,065","22,797","46,437","70,145","62,824","81,091","","58,631","32,657","46,853","55,330","73,106","91,973"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","410,175","(X)","294,761","1.7%","1.3%","6.0%","10.5%","16.5%","16.6%","7.7%","15.8%","23.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","358,399","39,087","225,999","4,717","5,996","17,701","28,047","48,953","38,256","17,134","31,277","33,918","52,164","64,256","","43,648","24,937","35,222","37,786","52,054","72,303"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","358,399","(X)","225,999","2.1%","2.7%","7.8%","12.4%","21.7%","16.9%","7.6%","13.8%","15.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,031,371","37,395","638,242","9,897","15,702","50,374","89,751","142,664","107,574","47,386","77,104","97,790","50,955","67,513","","43,844","35,192","37,406","40,546","54,796","72,869"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,031,371","(X)","638,242","1.6%","2.5%","7.9%","14.1%","22.4%","16.9%","7.4%","12.1%","15.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","557,430","44,693","383,120","4,786","5,324","22,753","45,491","79,747","67,695","29,996","52,881","74,447","56,040","75,746","","52,590","40,811","44,854","48,865","70,954","91,379"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","557,430","(X)","383,120","1.2%","1.4%","5.9%","11.9%","20.8%","17.7%","7.8%","13.8%","19.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","473,941","29,788","255,122","5,111","10,378","27,621","44,260","62,917","39,879","17,390","24,223","23,343","42,715","55,149","","35,901","25,526","28,255","31,820","44,182","61,281"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","473,941","(X)","255,122","2.0%","4.1%","10.8%","17.3%","24.7%","15.6%","6.8%","9.5%","9.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,843,595","44,765","4,588,364","68,512","78,635","242,184","526,949","854,959","749,224","365,203","649,464","1,053,234","60,437","81,985","","51,922","31,826","38,766","44,169","68,489","84,140"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,843,595","(X)","4,588,364","1.5%","1.7%","5.3%","11.5%","18.6%","16.3%","8.0%","14.2%","23.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,595,580","52,013","2,584,152","35,249","40,958","107,257","255,670","425,649","413,041","208,568","381,573","716,187","65,710","91,822","","60,342","36,859","45,259","54,038","81,797","101,807"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,595,580","(X)","2,584,152","1.4%","1.6%","4.2%","9.9%","16.5%","16.0%","8.1%","14.8%","27.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,248,015","38,404","2,004,212","33,263","37,677","134,927","271,279","429,310","336,183","156,635","267,891","337,047","53,150","69,301","","43,895","24,634","30,700","36,945","58,123","74,097"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,248,015","(X)","2,004,212","1.7%","1.9%","6.7%","13.5%","21.4%","16.8%","7.8%","13.4%","16.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,677,364","40,900","2,416,899","43,541","45,264","150,701","302,759","554,738","447,244","184,341","307,457","380,854","52,796","69,043","","46,623","32,019","38,553","44,403","58,609","73,559"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,677,364","(X)","2,416,899","1.8%","1.9%","6.2%","12.5%","23.0%","18.5%","7.6%","12.7%","15.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,948,486","48,618","1,401,089","22,428","21,464","69,331","141,392","274,545","266,009","122,141","207,648","276,131","59,860","76,734","","55,045","36,684","45,412","56,010","72,252","87,503"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,948,486","(X)","1,401,089","1.6%","1.5%","4.9%","10.1%","19.6%","19.0%","8.7%","14.8%","19.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,728,878","33,627","1,015,810","21,113","23,800","81,370","161,367","280,193","181,235","62,200","99,809","104,723","46,239","58,433","","39,409","25,186","30,327","36,283","49,725","64,824"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,728,878","(X)","1,015,810","2.1%","2.3%","8.0%","15.9%","27.6%","17.8%","6.1%","9.8%","10.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,815,058","41,625","1,195,696","21,849","20,446","68,482","135,367","268,645","239,741","109,164","156,323","175,679","53,907","69,828","","48,569","32,968","39,439","45,837","58,561","73,926"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,815,058","(X)","1,195,696","1.8%","1.7%","5.7%","11.3%","22.5%","20.1%","9.1%","13.1%","14.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","959,981","48,975","684,142","10,142","8,910","31,585","59,604","136,164","140,389","67,990","102,862","126,496","59,736","78,450","","54,659","39,736","46,204","55,043","70,800","85,132"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","959,981","(X)","684,142","1.5%","1.3%","4.6%","8.7%","19.9%","20.5%","9.9%","15.0%","18.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","855,077","35,022","511,554","11,707","11,536","36,897","75,763","132,481","99,352","41,174","53,461","49,183","48,239","58,299","","41,081","27,090","28,860","37,609","50,826","67,618"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","855,077","(X)","511,554","2.3%","2.3%","7.2%","14.8%","25.9%","19.4%","8.0%","10.5%","9.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
