"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 to $99,999","$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","228,818","41,609","138,457","1.6%","2.3%","9.1%","11.8%","19.3%","16.9%","8.4%","14.7%","15.8%","52,379","66,798","","50,122","27,439","40,850","48,611","66,281","81,303","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","190,106","28,380","101,933","2.0%","3.0%","13.4%","20.3%","24.8%","15.6%","7.0%","8.9%","5.0%","40,550","47,441","","32,141","17,385","26,599","29,976","41,429","60,049","","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,047,900","27,800","1,876,911","2.4%","5.1%","16.5%","17.7%","21.6%","13.5%","5.6%","7.9%","9.6%","(X)","51,620","","32,165","17,925","24,995","32,066","46,485","57,249","","18.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,633,111","31,310","1,077,694","2.3%","4.4%","15.6%","15.4%","20.2%","14.3%","5.9%","9.2%","12.7%","42,544","57,461","","36,757","20,503","27,803","38,480","56,932","70,899","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,414,789","24,522","799,217","2.6%","6.1%","17.8%","20.9%","23.5%","12.4%","5.2%","6.2%","5.4%","36,048","43,743","","28,734","14,648","21,733","28,175","38,258","47,917","","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,401,900","24,667","886,431","2.7%","6.3%","22.0%","19.5%","21.1%","12.5%","4.4%","5.5%","6.1%","(X)","44,608","","28,700","18,392","24,009","27,926","42,220","56,579","","16.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","740,865","28,318","498,293","2.3%","4.7%","18.8%","18.6%","20.6%","14.4%","4.7%","6.9%","9.0%","37,488","50,605","","32,944","21,066","27,897","34,570","50,171","70,798","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","661,035","21,255","388,138","3.2%","8.3%","26.1%","20.6%","21.8%","10.1%","3.9%","3.8%","2.3%","30,752","36,908","","24,429","13,984","20,191","23,625","36,904","48,639","","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,566,876","30,255","10,978,136","2.1%","4.6%","15.2%","14.2%","17.9%","13.9%","6.1%","10.4%","15.5%","(X)","62,395","","35,561","18,261","26,941","35,303","52,824","76,253","","17.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,031,697","33,406","6,469,928","2.0%","4.2%","14.6%","13.1%","16.6%","13.6%","6.1%","10.9%","18.9%","49,281","68,497","","40,344","21,272","30,837","41,252","62,264","92,391","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,535,179","25,791","4,508,208","2.2%","5.2%","16.2%","15.8%","19.6%","14.4%","6.2%","9.8%","10.6%","41,817","53,638","","30,938","14,218","23,080","30,388","46,202","63,998","","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,857,729","31,166","1,718,618","2.2%","3.8%","12.5%","15.6%","20.6%","15.6%","6.6%","10.4%","12.7%","(X)","59,284","","36,435","21,397","28,344","33,581","46,180","60,987","","15.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,527,847","36,727","1,001,670","2.0%","3.1%","10.3%","13.8%","18.5%","16.2%","7.2%","11.9%","17.0%","50,987","67,238","","42,421","24,038","33,559","41,187","57,960","77,480","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,329,882","25,448","716,948","2.5%","4.8%","15.6%","18.2%","23.5%","14.7%","5.8%","8.4%","6.6%","40,236","48,172","","30,380","16,370","22,184","27,458","37,742","50,675","","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,964,074","36,496","1,174,193","1.1%","2.6%","8.4%","12.9%","19.3%","16.5%","8.1%","13.5%","17.6%","(X)","74,096","","42,417","21,965","32,869","38,371","56,878","75,875","","17.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,010,858","42,705","668,051","1.0%","2.4%","6.5%","11.0%","17.5%","16.1%","8.0%","14.5%","23.1%","60,705","85,596","","51,022","26,441","40,540","45,278","71,062","94,700","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","953,216","30,685","506,142","1.4%","2.8%","10.9%","15.5%","21.8%","17.0%","8.3%","12.2%","10.3%","47,476","58,918","","35,971","17,915","26,112","32,887","46,834","61,812","","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","477,181","32,908","298,536","1.7%","2.6%","11.3%","15.6%","24.7%","17.0%","7.2%","9.6%","10.3%","(X)","58,391","","38,386","22,072","31,824","37,279","50,310","66,546","","18.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","243,112","39,732","164,496","0.8%","2.1%","9.3%","12.9%","23.8%","18.3%","7.6%","11.2%","14.1%","50,411","66,739","","45,131","27,160","39,542","43,829","59,961","75,963","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","234,069","27,589","134,040","2.8%","3.3%","13.7%","19.0%","25.9%","15.4%","6.6%","7.7%","5.7%","40,500","48,145","","32,216","16,145","26,047","32,418","40,849","57,937","","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,127,479","26,577","5,660,323","2.3%","5.4%","18.7%","19.3%","20.8%","13.5%","4.7%","6.7%","8.6%","(X)","50,585","","30,608","17,182","24,452","30,565","41,888","57,025","","19.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,717,809","30,318","3,094,431","2.1%","4.5%","16.8%","17.4%","19.3%","14.6%","5.2%","8.1%","12.0%","40,951","58,120","","33,975","19,695","27,415","35,145","50,998","71,109","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,409,670","23,730","2,565,892","2.5%","6.5%","21.1%","21.5%","22.6%","12.1%","4.2%","5.0%","4.5%","33,823","41,498","","26,912","15,173","21,257","26,785","38,087","47,354","","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,758,374","27,648","2,995,821","2.2%","4.8%","17.4%","17.9%","20.2%","14.9%","5.3%","7.7%","9.7%","(X)","52,675","","31,837","17,318","25,312","30,840","48,405","60,916","","19.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,489,626","31,685","1,689,948","2.1%","3.8%","15.3%","15.8%","19.3%","15.3%","5.7%","9.3%","13.4%","43,902","59,923","","36,991","20,424","30,113","36,642","60,021","76,640","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,268,748","23,772","1,305,873","2.3%","6.1%","20.1%","20.6%","21.2%","14.4%","4.8%","5.6%","4.9%","35,438","43,296","","27,691","14,001","20,965","26,827","40,263","52,308","","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","726,035","31,730","475,022","2.3%","2.7%","14.3%","18.2%","24.5%","16.8%","5.4%","8.3%","7.4%","(X)","51,244","","35,763","21,880","29,958","35,088","44,453","56,555","","20.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","387,715","36,570","272,334","2.3%","2.3%","11.8%","15.9%","23.0%","18.4%","7.0%","9.4%","9.9%","45,494","55,527","","40,994","26,559","32,409","41,426","47,488","67,230","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","338,320","27,484","202,688","2.2%","3.3%","17.7%","21.3%","26.4%","14.7%","3.4%","6.8%","4.2%","37,242","45,489","","31,065","18,183","25,187","27,482","40,988","49,912","","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","799,428","23,192","441,498","3.5%","5.3%","17.8%","19.7%","21.5%","13.9%","4.6%","7.1%","6.7%","(X)","46,072","","28,197","17,253","23,915","26,851","37,394","54,951","","16.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","428,317","29,855","265,558","2.8%","3.9%","14.1%","18.1%","21.7%","15.1%","5.7%","9.3%","9.3%","41,528","52,199","","35,225","22,604","30,144","33,832","48,553","64,745","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","371,111","17,743","175,940","4.4%","7.5%","23.4%","22.0%","21.2%","12.0%","2.9%","3.7%","2.9%","31,238","36,824","","21,715","12,080","17,305","21,476","28,345","46,068","","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,660,482","30,794","4,083,418","1.7%","3.6%","14.1%","15.9%","20.2%","15.7%","6.7%","10.0%","12.2%","(X)","59,449","","36,083","20,592","27,112","32,718","50,498","65,860","","18.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,471,310","36,542","2,304,938","1.5%","2.8%","11.4%","13.8%","19.0%","16.4%","7.2%","11.7%","16.2%","50,746","68,057","","42,114","23,387","32,251","40,986","61,856","82,330","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,189,172","25,295","1,778,480","2.0%","4.6%","17.7%","18.5%","21.7%","14.8%","6.0%","7.8%","6.9%","39,150","48,293","","30,226","15,863","21,720","27,057","40,951","54,755","","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,348,889","27,618","1,998,763","1.9%","3.7%","15.2%","20.1%","22.7%","15.9%","5.9%","7.4%","7.2%","(X)","50,339","","32,210","18,587","27,070","31,682","44,013","59,897","","15.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,757,723","33,392","1,159,825","1.7%","2.8%","11.8%","16.7%","22.7%","17.9%","7.2%","9.3%","9.9%","45,183","57,088","","39,300","21,708","33,109","40,143","55,273","70,447","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,591,166","22,349","838,938","2.2%","4.9%","20.0%","24.7%","22.6%","13.2%","4.2%","4.7%","3.4%","34,023","41,008","","26,671","13,814","21,351","26,032","36,891","51,941","","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,725,982","28,438","1,060,476","1.9%","3.7%","14.8%","20.8%","24.6%","15.5%","5.0%","6.8%","6.8%","(X)","49,166","","32,876","21,529","26,876","31,885","42,380","57,381","","14.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","904,283","33,997","604,392","1.7%","3.1%","10.6%","17.7%","25.3%","17.3%","6.2%","8.5%","9.7%","43,624","56,278","","40,192","24,940","32,315","40,162","52,123","68,461","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","821,699","23,132","456,084","2.3%","4.6%","20.4%","24.9%","23.7%","13.2%","3.5%","4.5%","3.0%","33,745","39,742","","27,170","16,293","21,256","25,971","36,596","51,410","","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,573,963","27,718","990,499","2.5%","4.0%","16.2%","19.4%","22.7%","14.1%","5.6%","7.1%","8.3%","(X)","50,893","","32,446","21,372","25,818","30,854","42,277","54,985","","14.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","830,087","33,719","574,211","2.0%","3.1%","12.9%","16.9%","22.2%","15.6%","6.7%","9.1%","11.5%","43,993","58,809","","40,044","25,867","30,850","38,183","52,416","70,850","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","743,876","22,435","416,288","3.3%","5.4%","20.8%","22.9%","23.5%","12.1%","4.0%","4.3%","3.8%","33,269","39,974","","26,686","14,762","21,145","25,006","35,324","47,496","","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,109,398","25,782","1,276,630","2.5%","5.1%","18.3%","19.6%","21.6%","14.3%","5.1%","7.0%","6.6%","(X)","47,651","","30,628","18,053","25,244","29,425","42,212","52,071","","14.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,101,070","30,722","726,297","2.6%","4.2%","15.1%","17.7%","20.4%","15.7%","6.1%","8.9%","9.4%","41,612","54,115","","35,759","21,054","30,557","37,707","51,699","65,412","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,008,328","21,545","550,333","2.5%","6.3%","22.4%","22.1%","23.1%","12.5%","3.7%","4.4%","2.9%","32,684","39,119","","25,672","13,781","20,246","25,022","36,764","47,276","","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,241,987","27,029","1,415,315","2.9%","6.6%","17.3%","17.1%","20.4%","14.5%","5.6%","7.6%","8.0%","(X)","49,546","","31,981","18,760","26,795","31,160","45,660","53,647","","20.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,159,848","35,061","787,308","2.8%","4.5%","13.0%","14.1%","19.0%","16.5%","7.2%","10.7%","12.1%","46,313","58,936","","40,891","24,017","36,079","41,646","55,523","72,003","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,082,139","21,408","628,007","3.0%","9.2%","22.8%","20.7%","22.2%","11.9%","3.6%","3.9%","2.8%","31,844","37,774","","25,399","12,899","20,306","24,410","40,286","48,807","","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","737,620","26,504","421,426","1.9%","4.0%","15.1%","20.4%","22.7%","16.8%","5.4%","6.9%","6.9%","(X)","49,779","","30,912","18,557","25,367","29,205","40,874","52,256","","12.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","376,188","31,390","233,086","1.7%","3.5%","11.1%","17.6%","23.4%","17.8%","6.7%","8.8%","9.3%","43,944","56,963","","36,216","20,631","30,579","36,623","48,500","63,821","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","361,432","22,784","188,340","2.0%","4.6%","20.2%","23.9%","21.7%","15.4%","3.8%","4.4%","3.9%","34,599","40,889","","26,148","14,686","20,388","25,225","35,761","46,784","","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,229,763","39,098","2,117,469","1.6%","2.8%","9.6%","12.5%","18.7%","16.5%","7.6%","13.1%","17.6%","(X)","67,433","","45,297","22,922","32,233","41,041","56,853","77,166","","17.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,633,701","43,554","1,143,947","1.7%","2.4%","8.3%","10.8%","17.2%","16.4%","7.7%","13.3%","22.3%","56,708","74,995","","51,015","27,556","37,700","47,888","68,782","95,775","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,596,062","33,591","973,522","1.6%","3.3%","11.2%","14.5%","20.5%","16.6%","7.4%","12.8%","12.1%","48,748","58,547","","40,267","16,744","28,196","35,730","50,421","66,037","","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,709,716","35,508","2,178,423","1.4%","1.9%","9.1%","13.2%","19.8%","17.0%","7.4%","12.4%","17.7%","(X)","69,868","","42,086","22,047","30,947","37,345","53,764","70,327","","19.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,886,038","42,004","1,230,042","1.2%","1.4%","7.7%","10.9%","17.2%","16.6%","7.3%","14.4%","23.3%","60,264","80,260","","50,918","25,968","37,127","45,257","70,019","89,724","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,823,678","30,103","948,381","1.6%","2.6%","10.9%","16.2%","23.2%","17.6%","7.5%","9.9%","10.4%","46,185","56,389","","35,668","18,364","24,185","31,617","44,319","59,310","","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,820,263","26,232","2,683,480","2.6%","4.2%","14.6%","16.2%","20.1%","16.2%","6.9%","9.5%","9.8%","(X)","54,816","","31,895","17,171","24,625","30,229","46,188","64,207","","16.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,476,787","32,074","1,521,334","2.3%","3.4%","11.7%","13.6%","18.8%","17.2%","7.8%","11.5%","13.6%","50,053","62,453","","40,145","20,487","30,604","38,027","59,663","78,378","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,343,476","21,449","1,162,146","2.8%","5.4%","18.3%","19.5%","21.7%","14.9%","5.7%","6.8%","4.9%","36,931","44,819","","26,114","13,567","19,565","24,178","37,070","55,044","","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,058,874","31,509","1,799,050","1.8%","3.1%","11.2%","16.5%","23.0%","16.7%","7.0%","9.5%","11.2%","(X)","58,370","","37,035","19,598","29,201","34,514","48,777","65,331","","14.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,589,255","36,890","1,025,061","1.6%","2.7%","9.1%","13.8%","21.5%","17.9%","7.9%","11.1%","14.5%","50,580","65,426","","42,482","21,653","34,528","40,818","59,214","77,097","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,469,619","26,545","773,989","2.1%","3.7%","13.9%","20.0%","25.1%","15.2%","5.9%","7.5%","6.8%","40,416","49,025","","31,520","16,870","22,504","29,650","40,251","56,162","","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,344,601","25,069","855,338","2.5%","6.4%","21.4%","19.9%","21.6%","12.4%","4.3%","6.0%","5.5%","(X)","44,364","","28,901","17,724","24,060","28,421","39,605","50,325","","19.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","697,683","30,616","469,202","1.9%","4.2%","16.4%","18.9%","22.1%","14.6%","5.7%","7.9%","8.4%","40,202","52,081","","34,627","21,432","30,776","36,043","50,828","60,624","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","646,918","20,737","386,136","3.2%","9.2%","27.5%","21.2%","21.0%","9.7%","2.6%","3.6%","2.1%","29,548","34,986","","23,312","13,394","18,443","23,155","34,284","45,228","","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,123,902","26,935","1,908,880","2.5%","4.7%","16.7%","19.0%","22.4%","14.1%","5.3%","7.4%","8.0%","(X)","50,484","","31,744","18,165","25,921","30,564","42,271","54,139","","16.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,609,417","32,051","1,053,393","2.0%","3.9%","13.0%","16.7%","21.9%","15.5%","6.0%","9.6%","11.5%","43,146","58,094","","37,466","21,645","31,122","36,838","52,512","68,322","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,514,485","22,379","855,487","3.1%","5.5%","21.3%","21.9%","22.9%","12.3%","4.4%","4.7%","3.8%","33,865","41,114","","26,703","14,759","21,178","25,675","36,005","47,073","","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","557,187","23,561","308,977","3.6%","5.7%","18.4%","19.0%","21.9%","14.3%","5.6%","5.9%","5.6%","(X)","44,857","","28,035","17,381","22,139","26,967","35,675","48,937","","17.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","292,519","29,250","180,946","3.1%","4.8%","14.7%","16.0%","21.9%","16.8%","7.2%","7.6%","7.9%","41,635","50,926","","34,945","20,580","29,060","33,934","42,263","55,268","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","264,668","19,614","128,031","4.3%","7.1%","23.5%","23.3%","21.9%","10.8%","3.3%","3.4%","2.5%","31,067","36,279","","22,856","14,477","16,662","21,863","30,782","41,375","","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,065,336","27,433","669,560","2.5%","4.6%","15.4%","20.3%","23.5%","14.7%","4.8%","6.8%","7.4%","(X)","49,428","","32,247","21,291","26,501","31,157","41,573","55,169","","13.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","560,224","33,099","389,741","2.0%","3.7%","11.6%","18.4%","23.5%","16.4%","5.7%","8.6%","10.1%","42,182","56,191","","39,024","24,585","32,688","37,420","51,661","66,043","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","505,112","22,022","279,819","3.2%","5.8%","20.7%","23.0%","23.6%","12.3%","3.6%","4.3%","3.6%","33,424","40,009","","26,347","15,590","20,086","24,406","35,297","49,490","","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,365,649","28,926","842,063","1.7%","4.6%","16.9%","20.5%","20.5%","13.5%","5.6%","7.9%","8.8%","(X)","51,398","","31,825","22,536","27,280","32,693","44,825","61,646","","19.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","736,327","31,434","475,150","1.7%","4.2%","15.2%","18.7%","19.4%","13.9%","6.0%","9.4%","11.6%","41,803","57,239","","34,943","24,170","30,651","37,314","50,506","78,101","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","629,322","25,790","366,913","1.7%","5.0%","19.2%","22.9%","21.9%","12.9%","5.2%","5.9%","5.1%","35,484","43,835","","29,385","19,519","25,007","29,358","40,152","53,846","","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","763,133","33,419","467,912","1.2%","2.1%","10.4%","16.9%","21.8%","16.2%","7.2%","10.3%","13.9%","(X)","60,985","","40,012","22,791","32,070","35,719","50,739","64,565","","16.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","396,027","40,848","270,477","0.9%","1.7%","7.8%","13.1%","21.5%","16.6%","7.3%","12.2%","18.9%","53,033","68,954","","46,621","27,130","37,340","43,934","64,537","86,158","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","367,106","27,566","197,435","1.5%","2.8%","14.1%","22.0%","22.2%","15.6%","7.1%","7.7%","7.0%","41,021","50,067","","32,238","16,118","25,602","30,312","41,216","53,128","","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,603,490","37,819","2,942,146","1.3%","3.1%","10.7%","12.5%","17.0%","16.4%","7.4%","12.5%","19.2%","(X)","72,045","","44,110","21,130","31,475","40,421","60,107","80,822","","19.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,412,118","45,792","1,688,598","1.1%","2.4%","9.4%","10.8%","14.8%","15.6%","7.4%","13.3%","25.1%","60,568","82,451","","51,903","25,038","37,958","48,943","72,224","100,366","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
