"Label (Grouping)","Population 16 years and over with earnings","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","218,925","49,278","137,137","1,708","2,902","7,807","15,962","23,218","21,018","10,901","18,632","34,989","62,134","80,008","","57,145","34,907","44,846","53,253","70,386","91,175"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","218,925","(X)","137,137","1.2%","2.1%","5.7%","11.6%","16.9%","15.3%","7.9%","13.6%","25.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","178,114","37,206","99,314","1,375","1,202","6,066","11,741","20,981","18,684","10,302","12,846","16,117","55,285","66,557","","41,715","26,669","30,885","37,697","51,908","77,477"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","178,114","(X)","99,314","1.4%","1.2%","6.1%","11.8%","21.1%","18.8%","10.4%","12.9%","16.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,646,807","39,023","2,392,548","40,298","42,484","186,109","347,766","517,587","388,064","171,355","281,048","417,837","51,213","70,231","","44,330","30,289","35,309","41,543","57,474","74,205"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,646,807","(X)","2,392,548","1.7%","1.8%","7.8%","14.5%","21.6%","16.2%","7.2%","11.7%","17.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,957,843","43,815","1,376,562","20,640","19,743","93,339","184,217","263,685","225,308","102,127","172,202","295,301","55,458","78,241","","50,779","32,311","40,002","48,813","71,916","90,902"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,957,843","(X)","1,376,562","1.5%","1.4%","6.8%","13.4%","19.2%","16.4%","7.4%","12.5%","21.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,688,964","34,378","1,015,986","19,658","22,741","92,770","163,549","253,902","162,756","69,228","108,846","122,536","46,309","59,378","","38,615","24,155","30,478","36,062","48,022","62,888"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,688,964","(X)","1,015,986","1.9%","2.2%","9.1%","16.1%","25.0%","16.0%","6.8%","10.7%","12.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,451,905","33,869","992,041","17,867","28,334","123,122","186,504","219,239","153,881","60,817","90,348","111,929","42,841","58,070","","37,936","28,714","31,600","35,644","51,046","63,107"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,451,905","(X)","992,041","1.8%","2.9%","12.4%","18.8%","22.1%","15.5%","6.1%","9.1%","11.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","755,658","38,212","545,468","9,411","14,306","50,869","90,637","116,557","84,859","37,951","57,939","82,939","47,329","65,908","","42,504","33,853","35,795","42,691","63,194","77,920"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","755,658","(X)","545,468","1.7%","2.6%","9.3%","16.6%","21.4%","15.6%","7.0%","10.6%","15.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","696,247","29,667","446,573","8,456","14,028","72,253","95,867","102,682","69,022","22,866","32,409","28,990","39,526","48,496","","32,566","22,485","26,808","30,544","43,377","53,245"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","696,247","(X)","446,573","1.9%","3.1%","16.2%","21.5%","23.0%","15.5%","5.1%","7.3%","6.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"California","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,020,923","41,891","12,597,997","221,173","243,568","819,169","1,514,991","2,037,823","1,796,088","890,363","1,635,849","3,438,973","61,909","88,267","","50,014","28,501","36,311","43,044","71,142","99,341"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,020,923","(X)","12,597,997","1.8%","1.9%","6.5%","12.0%","16.2%","14.3%","7.1%","13.0%","27.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,809,358","48,580","7,377,342","116,371","125,398","436,877","820,414","1,146,284","1,026,568","501,309","937,986","2,266,135","65,324","96,647","","54,588","32,260","41,489","51,185","81,683","118,566"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,809,358","(X)","7,377,342","1.6%","1.7%","5.9%","11.1%","15.5%","13.9%","6.8%","12.7%","30.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,211,565","36,228","5,220,655","104,802","118,170","382,292","694,577","891,539","769,520","389,054","697,863","1,172,838","57,373","76,425","","41,819","21,634","30,433","36,973","61,206","83,741"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,211,565","(X)","5,220,655","2.0%","2.3%","7.3%","13.3%","17.1%","14.7%","7.5%","13.4%","22.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,332,002","44,818","2,161,918","38,010","40,728","107,868","226,789","391,631","368,583","179,908","312,378","496,023","60,971","80,565","","51,409","32,220","39,362","42,459","63,777","79,017"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,332,002","(X)","2,161,918","1.8%","1.9%","5.0%","10.5%","18.1%","17.0%","8.3%","14.4%","22.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,796,636","51,279","1,261,307","21,656","22,387","54,181","116,669","204,194","209,067","101,847","186,077","345,229","65,217","88,795","","58,783","38,050","44,040","51,152","75,735","96,547"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,796,636","(X)","1,261,307","1.7%","1.8%","4.3%","9.2%","16.2%","16.6%","8.1%","14.8%","27.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,535,366","38,153","900,611","16,354","18,341","53,687","110,120","187,437","159,516","78,061","126,301","150,794","54,635","69,040","","44,005","25,409","32,042","36,292","52,668","66,700"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,535,366","(X)","900,611","1.8%","2.0%","6.0%","12.2%","20.8%","17.7%","8.7%","14.0%","16.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,004,560","45,511","1,255,871","17,061","18,168","64,973","123,410","196,440","188,110","102,249","200,385","345,075","66,875","92,691","","53,008","30,190","39,819","45,344","69,915","88,250"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,004,560","(X)","1,255,871","1.4%","1.4%","5.2%","9.8%","15.6%","15.0%","8.1%","16.0%","27.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,035,336","51,937","698,747","8,363","9,281","31,359","56,216","99,208","101,087","55,158","111,236","226,839","73,022","105,474","","62,420","31,480","45,110","54,729","82,621","104,131"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,035,336","(X)","698,747","1.2%","1.3%","4.5%","8.0%","14.2%","14.5%","7.9%","15.9%","32.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","969,224","38,493","557,124","8,698","8,887","33,614","67,194","97,232","87,023","47,091","89,149","118,236","60,672","76,658","","46,258","27,509","31,538","37,179","57,977","77,791"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","969,224","(X)","557,124","1.6%","1.6%","6.0%","12.1%","17.5%","15.6%","8.5%","16.0%","21.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","510,954","41,374","329,434","3,492","8,916","20,426","43,345","59,912","61,850","26,847","40,718","63,928","56,240","72,133","","47,422","30,387","34,262","43,479","61,378","73,888"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","510,954","(X)","329,434","1.1%","2.7%","6.2%","13.2%","18.2%","18.8%","8.1%","12.4%","19.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","258,389","46,638","177,784","2,173","2,906","8,570","20,910","30,925","33,378","15,179","20,955","42,788","60,608","78,327","","51,896","32,321","41,276","50,430","72,210","93,015"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","258,389","(X)","177,784","1.2%","1.6%","4.8%","11.8%","17.4%","18.8%","8.5%","11.8%","24.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","252,565","35,353","151,650","1,319","6,010","11,856","22,435","28,987","28,472","11,668","19,763","21,140","51,827","64,872","","41,837","24,055","29,326","39,144","52,072","70,019"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","252,565","(X)","151,650","0.9%","4.0%","7.8%","14.8%","19.1%","18.8%","7.7%","13.0%","13.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,912,148","35,997","7,261,524","130,974","197,600","782,473","1,219,861","1,497,121","1,148,637","458,450","719,607","1,106,801","46,880","66,304","","40,465","25,755","31,711","37,236","51,381","67,954"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,912,148","(X)","7,261,524","1.8%","2.7%","10.8%","16.8%","20.6%","15.8%","6.3%","9.9%","15.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,733,237","40,794","4,033,073","66,384","99,751","358,399","613,676","770,828","646,290","259,980","435,912","781,853","51,151","74,892","","45,169","29,252","36,120","43,087","61,840","84,191"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,733,237","(X)","4,033,073","1.6%","2.5%","8.9%","15.2%","19.1%","16.0%","6.4%","10.8%","19.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,178,911","31,554","3,228,451","64,590","97,849","424,074","606,185","726,293","502,347","198,470","283,695","324,948","42,228","55,576","","35,465","20,748","26,802","32,519","45,845","59,116"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,178,911","(X)","3,228,451","2.0%","3.0%","13.1%","18.8%","22.5%","15.6%","6.1%","8.8%","10.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,578,732","37,512","3,745,141","75,638","100,427","368,005","547,026","730,430","597,424","273,836","424,338","628,017","50,652","69,252","","43,055","27,341","32,398","38,476","60,454","72,973"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,578,732","(X)","3,745,141","2.0%","2.7%","9.8%","14.6%","19.5%","16.0%","7.3%","11.3%","16.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,877,786","42,378","2,060,907","39,008","44,698","163,887","264,028","380,831","330,567","156,392","241,178","440,318","54,422","78,266","","50,533","31,472","38,021","46,774","72,094","92,314"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,877,786","(X)","2,060,907","1.9%","2.2%","8.0%","12.8%","18.5%","16.0%","7.6%","11.7%","21.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,700,946","32,319","1,684,234","36,630","55,729","204,118","282,998","349,599","266,857","117,444","183,160","187,699","45,405","58,222","","37,468","22,026","26,614","32,576","50,400","63,148"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,700,946","(X)","1,684,234","2.2%","3.3%","12.1%","16.8%","20.8%","15.8%","7.0%","10.9%","11.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","744,708","40,595","470,356","9,819","10,516","33,083","60,236","91,173","75,317","38,595","65,304","86,313","55,162","69,480","","44,841","28,885","35,586","41,095","55,171","73,122"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","744,708","(X)","470,356","2.1%","2.2%","7.0%","12.8%","19.4%","16.0%","8.2%","13.9%","18.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","391,330","46,197","262,367","3,639","6,740","17,838","28,680","43,534","40,069","21,941","41,823","58,103","61,812","76,762","","51,803","34,969","40,487","50,376","65,039","86,884"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","391,330","(X)","262,367","1.4%","2.6%","6.8%","10.9%","16.6%","15.3%","8.4%","15.9%","22.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","353,378","35,668","207,989","6,180","3,776","15,245","31,556","47,639","35,248","16,654","23,481","28,210","49,816","60,293","","39,192","24,407","29,832","35,858","48,438","63,576"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","353,378","(X)","207,989","3.0%","1.8%","7.3%","15.2%","22.9%","16.9%","8.0%","11.3%","13.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","998,366","34,941","610,782","12,751","18,968","58,243","91,010","135,804","103,028","43,524","63,478","83,976","48,067","64,742","","40,800","30,768","32,925","37,877","50,581","68,649"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","998,366","(X)","610,782","2.1%","3.1%","9.5%","14.9%","22.2%","16.9%","7.1%","10.4%","13.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","540,484","41,681","362,498","7,893","8,244","25,557","42,791","77,463","61,613","30,460","43,596","64,881","51,941","73,967","","48,807","36,954","39,524","47,974","63,886","91,666"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","540,484","(X)","362,498","2.2%","2.3%","7.1%","11.8%","21.4%","17.0%","8.4%","12.0%","17.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","457,882","27,228","248,284","4,858","10,724","32,686","48,219","58,341","41,415","13,064","19,882","19,095","40,803","51,273","","32,707","21,116","25,442","29,883","40,989","60,099"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","457,882","(X)","248,284","2.0%","4.3%","13.2%","19.4%","23.5%","16.7%","5.3%","8.0%","7.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,677,536","41,504","4,345,384","78,211","83,386","292,145","525,818","801,742","689,527","331,909","604,737","937,909","57,623","78,443","","48,354","29,695","35,334","41,652","63,725","81,737"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,677,536","(X)","4,345,384","1.8%","1.9%","6.7%","12.1%","18.5%","15.9%","7.6%","13.9%","21.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,489,946","49,318","2,429,313","36,591","36,328","133,534","252,246","406,845","373,754","184,398","362,510","643,107","63,819","88,471","","55,656","32,457","41,237","50,976","78,189","100,904"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,489,946","(X)","2,429,313","1.5%","1.5%","5.5%","10.4%","16.7%","15.4%","7.6%","14.9%","26.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,187,590","35,446","1,916,071","41,620","47,058","158,611","273,572","394,897","315,773","147,511","242,227","294,802","51,131","65,727","","40,963","21,937","28,320","35,148","52,101","70,629"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,187,590","(X)","1,916,071","2.2%","2.5%","8.3%","14.3%","20.6%","16.5%","7.7%","12.6%","15.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,597,158","37,998","2,314,464","41,102","50,928","178,912","332,675","529,337","424,634","169,760","268,435","318,681","50,440","64,654","","42,955","30,634","36,144","40,528","54,525","70,183"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,597,158","(X)","2,314,464","1.8%","2.2%","7.7%","14.4%","22.9%","18.3%","7.3%","11.6%","13.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,902,185","45,150","1,326,116","22,825","23,841","76,924","157,104","267,541","252,614","105,839","179,392","240,036","55,191","73,100","","51,227","35,992","42,379","51,187","68,166","82,230"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,902,185","(X)","1,326,116","1.7%","1.8%","5.8%","11.8%","20.2%","19.0%","8.0%","13.5%","18.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,694,973","31,477","988,348","18,277","27,087","101,988","175,571","261,796","172,020","63,921","89,043","78,645","43,215","53,320","","36,297","20,832","27,523","32,527","46,877","61,850"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,694,973","(X)","988,348","1.8%","2.7%","10.3%","17.8%","26.5%","17.4%","6.5%","9.0%","8.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,782,308","39,068","1,147,457","20,329","23,948","74,293","154,692","271,847","220,904","92,636","139,502","149,306","51,041","65,548","","44,644","32,775","36,727","41,100","55,434","70,977"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,782,308","(X)","1,147,457","1.8%","2.1%","6.5%","13.5%","23.7%","19.3%","8.1%","12.2%","13.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","945,860","45,184","657,053","10,720","9,804","31,657","69,983","140,643","130,551","57,722","95,167","110,806","56,427","74,481","","51,467","38,929","42,406","50,074","69,837","83,909"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","945,860","(X)","657,053","1.6%","1.5%","4.8%","10.7%","21.4%","19.9%","8.8%","14.5%","16.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","836,448","32,193","490,404","9,609","14,144","42,636","84,709","131,204","90,353","34,914","44,335","38,500","44,801","53,578","","37,786","25,223","27,281","34,304","46,975","64,016"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","836,448","(X)","490,404","2.0%","2.9%","8.7%","17.3%","26.8%","18.4%","7.1%","9.0%","7.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,601,375","38,071","1,058,780","21,681","28,734","89,209","145,782","231,273","191,609","77,714","121,213","151,565","50,539","65,802","","44,350","30,885","34,137","40,240","55,916","67,095"
