"Label (Grouping)","Population 16 years and over with earnings","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","225,400","46,383","143,384","1,925","2,027","10,508","16,053","22,388","24,001","12,765","21,207","32,510","61,226","76,810","","51,904","28,335","41,221","50,805","72,239","91,671"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","225,400","(X)","143,384","1.3%","1.4%","7.3%","11.2%","15.6%","16.7%","8.9%","14.8%","22.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","185,060","33,846","105,591","2,094","2,983","9,875","15,223","23,619","19,479","9,056","12,768","10,494","49,020","57,878","","38,823","22,465","26,962","36,716","49,430","66,414"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","185,060","(X)","105,591","2.0%","2.8%","9.4%","14.4%","22.4%","18.4%","8.6%","12.1%","9.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,567,578","32,419","2,307,683","38,612","57,711","298,255","416,118","495,743","339,109","134,660","227,885","299,590","44,097","60,060","","37,464","23,893","30,617","36,486","51,576","66,004"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,567,578","(X)","2,307,683","1.7%","2.5%","12.9%","18.0%","21.5%","14.7%","5.8%","9.9%","13.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,901,987","36,823","1,331,512","20,454","28,802","158,815","212,230","270,202","197,488","81,860","146,400","215,261","47,854","65,770","","42,527","26,996","33,353","42,559","62,789","81,550"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,901,987","(X)","1,331,512","1.5%","2.2%","11.9%","15.9%","20.3%","14.8%","6.1%","11.0%","16.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,665,591","29,603","976,171","18,158","28,909","139,440","203,888","225,541","141,621","52,800","81,485","84,329","40,311","52,270","","32,626","19,989","25,871","31,429","43,836","55,622"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,665,591","(X)","976,171","1.9%","3.0%","14.3%","20.9%","23.1%","14.5%","5.4%","8.3%","8.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,452,892","30,744","985,185","20,373","31,774","167,261","188,909","222,301","145,422","47,485","72,189","89,471","40,132","53,460","","35,209","23,899","29,805","32,401","46,919","61,185"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,452,892","(X)","985,185","2.1%","3.2%","17.0%","19.2%","22.6%","14.8%","4.8%","7.3%","9.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","758,011","35,174","553,677","11,469","15,365","77,178","99,286","120,291","84,335","29,456","48,669","67,628","42,364","59,701","","40,411","27,626","34,049","39,147","58,297","80,255"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","758,011","(X)","553,677","2.1%","2.8%","13.9%","17.9%","21.7%","15.2%","5.3%","8.8%","12.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","694,881","26,037","431,508","8,904","16,409","90,083","89,623","102,010","61,087","18,029","23,520","21,843","36,042","45,453","","30,300","19,183","22,496","29,153","41,124","53,029"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","694,881","(X)","431,508","2.1%","3.8%","20.9%","20.8%","23.6%","14.2%","4.2%","5.5%","5.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"California","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,694,627","36,730","13,187,154","198,602","332,454","1,501,992","1,860,502","2,244,301","1,827,771","847,989","1,509,529","2,864,014","51,882","75,407","","42,156","24,263","31,954","39,614","62,347","90,204"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,694,627","(X)","13,187,154","1.5%","2.5%","11.4%","14.1%","17.0%","13.9%","6.4%","11.4%","21.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,145,515","41,813","7,795,037","101,972","165,000","813,221","1,050,681","1,270,307","1,064,409","489,454","884,680","1,955,313","55,646","82,493","","49,434","28,225","37,216","46,948","75,350","104,035"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,145,515","(X)","7,795,037","1.3%","2.1%","10.4%","13.5%","16.3%","13.7%","6.3%","11.3%","25.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,549,112","31,271","5,392,117","96,630","167,454","688,771","809,821","973,994","763,362","358,535","624,849","908,701","49,009","65,164","","36,484","18,510","26,211","32,608","52,571","76,281"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,549,112","(X)","5,392,117","1.8%","3.1%","12.8%","15.0%","18.1%","14.2%","6.6%","11.6%","16.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,297,270","38,295","2,150,193","28,764","44,693","207,938","299,396","427,620","350,816","160,475","256,019","374,472","51,440","69,338","","44,885","29,312","35,013","39,129","54,937","68,181"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,297,270","(X)","2,150,193","1.3%","2.1%","9.7%","13.9%","19.9%","16.3%","7.5%","11.9%","17.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,766,300","44,870","1,257,371","16,055","24,401","100,913","149,819","231,948","201,389","97,518","163,494","271,834","56,377","76,959","","51,372","34,702","40,431","46,730","67,257","85,602"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,766,300","(X)","1,257,371","1.3%","1.9%","8.0%","11.9%","18.4%","16.0%","7.8%","13.0%","21.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,530,970","32,013","892,822","12,709","20,292","107,025","149,577","195,672","149,427","62,957","92,525","102,638","46,498","58,606","","37,233","21,364","27,981","32,353","45,945","56,506"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,530,970","(X)","892,822","1.4%","2.3%","12.0%","16.8%","21.9%","16.7%","7.1%","10.4%","11.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,008,457","41,548","1,254,630","16,350","16,438","90,242","143,413","208,193","198,693","106,105","183,045","292,151","60,963","85,764","","50,202","25,769","35,446","41,716","64,398","83,968"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,008,457","(X)","1,254,630","1.3%","1.3%","7.2%","11.4%","16.6%","15.8%","8.5%","14.6%","23.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,030,172","50,202","716,929","8,964","8,748","44,823","74,028","107,861","106,833","59,677","102,463","203,532","65,948","98,106","","57,490","30,300","41,815","50,761","77,382","102,012"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,030,172","(X)","716,929","1.3%","1.2%","6.3%","10.3%","15.0%","14.9%","8.3%","14.3%","28.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","978,285","34,910","537,701","7,386","7,690","45,419","69,385","100,332","91,860","46,428","80,582","88,619","55,155","69,309","","41,303","20,751","29,031","35,422","52,455","71,133"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","978,285","(X)","537,701","1.4%","1.4%","8.4%","12.9%","18.7%","17.1%","8.6%","15.0%","16.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","509,389","34,899","329,729","6,725","7,152","37,387","53,669","64,524","49,629","26,312","37,016","47,315","48,507","63,906","","40,661","24,961","32,173","36,893","52,267","70,036"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","509,389","(X)","329,729","2.0%","2.2%","11.3%","16.3%","19.6%","15.1%","8.0%","11.2%","14.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","257,283","40,992","178,637","4,113","2,636","14,543","26,473","34,779","27,425","14,946","21,931","31,791","51,923","69,919","","45,538","30,002","37,352","44,599","64,713","90,061"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","257,283","(X)","178,637","2.3%","1.5%","8.1%","14.8%","19.5%","15.4%","8.4%","12.3%","17.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","252,106","30,443","151,092","2,612","4,516","22,844","27,196","29,745","22,204","11,366","15,085","15,524","43,803","56,796","","34,867","20,300","26,765","31,464","48,418","63,545"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","252,106","(X)","151,092","1.7%","3.0%","15.1%","18.0%","19.7%","14.7%","7.5%","10.0%","10.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,623,328","31,322","7,038,441","108,913","250,373","1,105,589","1,315,670","1,473,890","990,972","402,872","580,557","809,605","41,252","58,254","","35,254","22,097","27,900","33,334","46,380","61,748"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,623,328","(X)","7,038,441","1.5%","3.6%","15.7%","18.7%","20.9%","14.1%","5.7%","8.2%","11.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,537,015","35,370","3,928,076","54,354","118,656","537,207","690,002","779,219","566,088","228,679","367,569","586,302","44,520","65,909","","40,065","26,294","31,663","39,045","54,482","78,851"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,537,015","(X)","3,928,076","1.4%","3.0%","13.7%","17.6%","19.8%","14.4%","5.8%","9.4%","14.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,086,313","27,382","3,110,365","54,559","131,717","568,382","625,668","694,671","424,884","174,193","212,988","223,303","37,821","48,586","","31,012","17,728","23,407","30,232","40,960","52,140"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,086,313","(X)","3,110,365","1.8%","4.2%","18.3%","20.1%","22.3%","13.7%","5.6%","6.8%","7.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,439,717","32,936","3,700,595","62,623","122,144","505,816","635,108","712,688","548,278","244,528","354,887","514,523","45,156","62,018","","39,150","23,946","30,400","35,172","54,692","67,375"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,439,717","(X)","3,700,595","1.7%","3.3%","13.7%","17.2%","19.3%","14.8%","6.6%","9.6%","13.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,813,306","40,036","2,065,143","29,548","50,920","234,016","322,427","390,053","308,691","139,828","217,886","371,774","50,133","70,790","","45,526","28,174","34,876","42,407","68,442","86,461"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,813,306","(X)","2,065,143","1.4%","2.5%","11.3%","15.6%","18.9%","14.9%","6.8%","10.6%","18.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,626,411","28,417","1,635,452","33,075","71,224","271,800","312,681","322,635","239,587","104,700","137,001","142,749","40,254","50,942","","32,256","19,218","24,540","29,525","45,433","59,203"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,626,411","(X)","1,635,452","2.0%","4.4%","16.6%","19.1%","19.7%","14.6%","6.4%","8.4%","8.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","779,968","36,936","533,799","8,777","12,804","59,034","87,480","112,059","87,249","38,108","59,191","69,097","47,499","60,432","","41,737","26,337","35,307","40,013","50,463","69,668"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","779,968","(X)","533,799","1.6%","2.4%","11.1%","16.4%","21.0%","16.3%","7.1%","11.1%","12.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","411,017","41,807","300,052","4,731","6,101","30,657","42,931","56,044","49,957","23,565","38,492","47,574","51,413","64,719","","48,622","32,525","40,439","46,279","60,577","84,133"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","411,017","(X)","300,052","1.6%","2.0%","10.2%","14.3%","18.7%","16.6%","7.9%","12.8%","15.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","368,951","32,362","233,747","4,046","6,703","28,377","44,549","56,015","37,292","14,543","20,699","21,523","42,584","54,930","","36,420","21,986","30,607","33,618","44,720","60,262"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","368,951","(X)","233,747","1.7%","2.9%","12.1%","19.1%","24.0%","16.0%","6.2%","8.9%","9.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","912,839","30,419","555,351","10,274","19,833","75,156","99,651","125,716","84,583","35,008","43,762","61,368","41,943","56,440","","35,694","26,050","30,790","32,871","44,469","61,876"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","912,839","(X)","555,351","1.9%","3.6%","13.5%","17.9%","22.6%","15.2%","6.3%","7.9%","11.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","494,304","36,533","340,526","5,602","10,103","38,532","52,968","72,737","57,113","22,919","31,874","48,678","47,182","63,345","","41,955","31,733","36,052","41,502","56,483","77,470"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","494,304","(X)","340,526","1.6%","3.0%","11.3%","15.6%","21.4%","16.8%","6.7%","9.4%","14.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","418,535","23,676","214,825","4,672","9,730","36,624","46,683","52,979","27,470","12,089","11,888","12,690","36,846","45,495","","27,947","17,625","22,644","26,231","37,586","51,527"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","418,535","(X)","214,825","2.2%","4.5%","17.0%","21.7%","24.7%","12.8%","5.6%","5.5%","5.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,895,212","37,032","4,480,360","58,602","106,003","463,629","630,363","842,970","709,102","341,857","545,995","781,839","51,468","70,680","","42,583","26,046","31,625","37,827","57,357","75,802"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,895,212","(X)","4,480,360","1.3%","2.4%","10.3%","14.1%","18.8%","15.8%","7.6%","12.2%","17.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,592,689","44,342","2,550,883","27,672","49,789","212,660","312,752","453,091","398,513","197,259","343,856","555,291","56,838","79,654","","51,113","30,902","38,753","47,692","70,862","95,265"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,592,689","(X)","2,550,883","1.1%","2.0%","8.3%","12.3%","17.8%","15.6%","7.7%","13.5%","21.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,302,523","30,748","1,929,477","30,930","56,214","250,969","317,611","389,879","310,589","144,598","202,139","226,548","45,910","58,816","","35,785","20,363","25,023","30,839","48,688","64,137"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,302,523","(X)","1,929,477","1.6%","2.9%","13.0%","16.5%","20.2%","16.1%","7.5%","10.5%","11.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,573,096","32,846","2,319,008","37,043","64,259","266,691","408,549","535,296","380,528","165,212","225,439","235,991","44,828","57,437","","38,825","25,560","32,171","36,435","49,851","62,726"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,573,096","(X)","2,319,008","1.6%","2.8%","11.5%","17.6%","23.1%","16.4%","7.1%","9.7%","10.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,868,814","40,898","1,336,470","16,620","27,354","116,921","194,325","288,275","240,128","109,002","162,740","181,105","50,774","65,464","","46,545","30,960","40,583","46,125","62,140","76,013"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,868,814","(X)","1,336,470","1.2%","2.0%","8.7%","14.5%","21.6%","18.0%","8.2%","12.2%","13.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,704,282","26,898","982,538","20,423","36,905","149,770","214,224","247,021","140,400","56,210","62,699","54,886","38,031","46,517","","31,417","19,025","24,692","30,036","41,206","55,069"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,704,282","(X)","982,538","2.1%","3.8%","15.2%","21.8%","25.1%","14.3%","5.7%","6.4%","5.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,780,563","34,583","1,152,497","20,479","27,858","117,013","188,745","263,215","221,784","87,107","107,507","118,789","46,733","58,014","","40,709","29,980","32,367","36,699","51,620","67,140"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,780,563","(X)","1,152,497","1.8%","2.4%","10.2%","16.4%","22.8%","19.2%","7.6%","9.3%","10.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","930,209","41,575","658,574","10,589","10,689","47,253","89,398","142,204","138,652","56,282","73,511","89,996","51,488","65,389","","48,384","33,443","40,815","46,129","62,472","78,500"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","930,209","(X)","658,574","1.6%","1.6%","7.2%","13.6%","21.6%","21.1%","8.5%","11.2%","13.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","850,354","27,742","493,923","9,890","17,169","69,760","99,347","121,011","83,132","30,825","33,996","28,793","40,353","48,182","","32,639","21,531","24,291","30,082","44,010","61,221"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","850,354","(X)","493,923","2.0%","3.5%","14.1%","20.1%","24.5%","16.8%","6.2%","6.9%","5.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,602,881","32,322","1,046,008","20,094","33,966","124,252","173,124","228,396","167,518","69,568","104,947","124,143","45,426","59,743","","39,658","26,462","30,792","35,549","49,852","61,361"
