"Label (Grouping)","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings"
"        Estimate","51,839","145,764","1,996","2,170","6,215","13,134","24,765","21,902","12,797","21,657","41,128","66,974","86,958"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","145,764","1.4%","1.5%","4.3%","9.0%","17.0%","15.0%","8.8%","14.9%","28.2%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","41,869","106,372","1,595","2,120","5,626","9,908","23,610","19,679","8,831","16,205","18,798","57,585","70,076"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","106,372","1.5%","2.0%","5.3%","9.3%","22.2%","18.5%","8.3%","15.2%","17.7%","(X)","(X)"
"Arizona","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","44,626","2,591,674","41,446","45,314","139,053","278,441","541,083","462,595","198,213","354,028","531,501","56,514","77,622"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","2,591,674","1.6%","1.7%","5.4%","10.7%","20.9%","17.8%","7.6%","13.7%","20.5%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","50,612","1,483,293","20,493","22,592","64,970","143,246","278,416","257,774","118,835","206,575","370,392","61,531","86,868"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","1,483,293","1.4%","1.5%","4.4%","9.7%","18.8%","17.4%","8.0%","13.9%","25.0%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","39,459","1,108,381","20,953","22,722","74,083","135,195","262,667","204,821","79,378","147,453","161,109","51,532","65,248"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","1,108,381","1.9%","2.1%","6.7%","12.2%","23.7%","18.5%","7.2%","13.3%","14.5%","(X)","(X)"
"Arkansas","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","38,579","1,041,626","15,427","17,838","92,414","177,793","238,540","180,158","75,298","105,903","138,255","48,074","63,890"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","1,041,626","1.5%","1.7%","8.9%","17.1%","22.9%","17.3%","7.2%","10.2%","13.3%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","43,087","577,356","8,326","8,713","39,926","85,569","119,784","105,976","44,086","67,623","97,353","51,798","71,809"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","577,356","1.4%","1.5%","6.9%","14.8%","20.7%","18.4%","7.6%","11.7%","16.9%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","33,466","464,270","7,101","9,125","52,488","92,224","118,756","74,182","31,212","38,280","40,902","42,297","54,042"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","464,270","1.5%","2.0%","11.3%","19.9%","25.6%","16.0%","6.7%","8.2%","8.8%","(X)","(X)"
"California","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","47,975","13,585,949","207,889","212,476","690,447","1,415,411","2,246,992","1,908,293","994,069","1,791,863","4,118,509","65,903","94,078"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","13,585,949","1.5%","1.6%","5.1%","10.4%","16.5%","14.0%","7.3%","13.2%","30.3%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","52,385","7,852,686","107,280","110,661","348,399","755,928","1,246,260","1,079,488","564,908","1,011,054","2,628,708","70,315","102,228"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","7,852,686","1.4%","1.4%","4.4%","9.6%","15.9%","13.7%","7.2%","12.9%","33.5%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","41,332","5,733,263","100,609","101,815","342,048","659,483","1,000,732","828,805","429,161","780,809","1,489,801","61,447","82,914"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","5,733,263","1.8%","1.8%","6.0%","11.5%","17.5%","14.5%","7.5%","13.6%","26.0%","(X)","(X)"
"Colorado","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","51,336","2,335,112","30,836","39,644","85,328","186,910","392,357","395,655","191,288","360,066","653,028","66,536","89,729"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","2,335,112","1.3%","1.7%","3.7%","8.0%","16.8%","16.9%","8.2%","15.4%","28.0%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","58,688","1,338,475","16,136","22,383","43,163","96,457","194,801","211,172","104,666","204,784","444,913","72,460","100,083"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","1,338,475","1.2%","1.7%","3.2%","7.2%","14.6%","15.8%","7.8%","15.3%","33.2%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","44,694","996,637","14,700","17,261","42,165","90,453","197,556","184,483","86,622","155,282","208,115","60,630","75,824"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","996,637","1.5%","1.7%","4.2%","9.1%","19.8%","18.5%","8.7%","15.6%","20.9%","(X)","(X)"
"Connecticut","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","51,091","1,329,793","18,066","18,717","44,778","107,523","204,520","201,665","111,972","225,152","397,400","71,301","98,094"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","1,329,793","1.4%","1.4%","3.4%","8.1%","15.4%","15.2%","8.4%","16.9%","29.9%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","59,527","742,286","9,166","8,910","19,021","54,829","101,855","105,255","60,167","123,492","259,591","76,477","111,532"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","742,286","1.2%","1.2%","2.6%","7.4%","13.7%","14.2%","8.1%","16.6%","35.0%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","42,560","587,507","8,900","9,807","25,757","52,694","102,665","96,410","51,805","101,660","137,809","64,180","81,117"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","587,507","1.5%","1.7%","4.4%","9.0%","17.5%","16.4%","8.8%","17.3%","23.5%","(X)","(X)"
"Delaware","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","42,639","375,120","6,216","6,513","21,330","41,640","73,182","58,023","28,572","55,113","84,531","60,287","78,821"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","375,120","1.7%","1.7%","5.7%","11.1%","19.5%","15.5%","7.6%","14.7%","22.5%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","49,256","202,841","3,403","2,025","9,978","21,082","38,055","28,763","15,843","28,725","54,967","62,894","87,842"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","202,841","1.7%","1.0%","4.9%","10.4%","18.8%","14.2%","7.8%","14.2%","27.1%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","39,059","172,279","2,813","4,488","11,352","20,558","35,127","29,260","12,729","26,388","29,564","54,740","68,199"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","172,279","1.6%","2.6%","6.6%","11.9%","20.4%","17.0%","7.4%","15.3%","17.2%","(X)","(X)"
"Florida","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","41,459","7,997,551","126,340","152,110","564,718","1,128,329","1,701,617","1,354,408","566,618","906,753","1,496,658","51,792","74,537"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","7,997,551","1.6%","1.9%","7.1%","14.1%","21.3%","16.9%","7.1%","11.3%","18.7%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","46,882","4,434,337","70,391","75,616","263,170","551,009","863,824","739,750","318,417","531,699","1,020,461","56,557","84,157"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","4,434,337","1.6%","1.7%","5.9%","12.4%","19.5%","16.7%","7.2%","12.0%","23.0%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","36,702","3,563,214","55,949","76,494","301,548","577,320","837,793","614,658","248,201","375,054","476,197","48,034","62,566"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","3,563,214","1.6%","2.1%","8.5%","16.2%","23.5%","17.3%","7.0%","10.5%","13.4%","(X)","(X)"
"Georgia","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","42,002","4,083,958","71,563","91,924","319,338","489,188","812,259","676,294","301,164","497,706","824,522","53,834","75,431"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","4,083,958","1.8%","2.3%","7.8%","12.0%","19.9%","16.6%","7.4%","12.2%","20.2%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","49,184","2,238,455","36,022","40,862","143,498","230,265","408,813","368,046","163,818","286,560","560,571","60,507","85,030"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","2,238,455","1.6%","1.8%","6.4%","10.3%","18.3%","16.4%","7.3%","12.8%","25.0%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","37,098","1,845,503","35,541","51,062","175,840","258,923","403,446","308,248","137,346","211,146","263,951","49,871","63,788"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","1,845,503","1.9%","2.8%","9.5%","14.0%","21.9%","16.7%","7.4%","11.4%","14.3%","(X)","(X)"
"Hawaii","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","46,446","515,417","6,731","7,382","30,521","51,568","100,381","93,834","45,250","68,673","111,077","60,346","75,599"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","515,417","1.3%","1.4%","5.9%","10.0%","19.5%","18.2%","8.8%","13.3%","21.6%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","52,000","293,470","2,392","3,837","15,376","27,846","53,556","48,964","25,274","41,458","74,767","62,229","82,272"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","293,470","0.8%","1.3%","5.2%","9.5%","18.2%","16.7%","8.6%","14.1%","25.5%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","40,933","221,947","4,339","3,545","15,145","23,722","46,825","44,870","19,976","27,215","36,310","54,478","66,777"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","221,947","2.0%","1.6%","6.8%","10.7%","21.1%","20.2%","9.0%","12.3%","16.4%","(X)","(X)"
"Idaho","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","40,098","649,964","9,722","12,430","43,681","78,749","143,058","117,984","52,105","81,032","111,203","53,535","70,713"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","649,964","1.5%","1.9%","6.7%","12.1%","22.0%","18.2%","8.0%","12.5%","17.1%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","49,125","389,152","4,910","5,939","17,827","36,697","77,709","74,333","34,174","52,919","84,644","60,399","79,908"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","389,152","1.3%","1.5%","4.6%","9.4%","20.0%","19.1%","8.8%","13.6%","21.8%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","30,886","260,812","4,812","6,491","25,854","42,052","65,349","43,651","17,931","28,113","26,559","45,745","56,993"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","260,812","1.8%","2.5%","9.9%","16.1%","25.1%","16.7%","6.9%","10.8%","10.2%","(X)","(X)"
"Illinois","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","47,015","4,637,310","64,617","75,268","229,472","452,096","848,270","749,313","391,861","692,830","1,133,583","61,969","84,742"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","4,637,310","1.4%","1.6%","4.9%","9.7%","18.3%","16.2%","8.5%","14.9%","24.4%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","53,697","2,597,717","32,956","39,042","110,536","210,620","416,724","408,839","214,257","406,577","758,166","68,599","94,801"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","2,597,717","1.3%","1.5%","4.3%","8.1%","16.0%","15.7%","8.2%","15.7%","29.2%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","40,610","2,039,593","31,661","36,226","118,936","241,476","431,546","340,474","177,604","286,253","375,417","55,956","71,931"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","2,039,593","1.6%","1.8%","5.8%","11.8%","21.2%","16.7%","8.7%","14.0%","18.4%","(X)","(X)"
"Indiana","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","41,829","2,471,407","34,237","42,300","137,187","292,721","555,300","472,545","203,504","314,951","418,662","53,869","70,718"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","2,471,407","1.4%","1.7%","5.6%","11.8%","22.5%","19.1%","8.2%","12.7%","16.9%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","50,316","1,410,592","16,378","20,198","64,894","131,246","269,858","273,363","127,448","202,647","304,560","60,859","79,688"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","1,410,592","1.2%","1.4%","4.6%","9.3%","19.1%","19.4%","9.0%","14.4%","21.6%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","35,807","1,060,815","17,859","22,102","72,293","161,475","285,442","199,182","76,056","112,304","114,102","47,699","58,789"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","1,060,815","1.7%","2.1%","6.8%","15.2%","26.9%","18.8%","7.2%","10.6%","10.8%","(X)","(X)"
"Iowa","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","42,156","1,201,381","18,502","17,248","69,435","126,962","264,890","235,220","113,256","165,463","190,405","55,293","70,626"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","1,201,381","1.5%","1.4%","5.8%","10.6%","22.0%","19.6%","9.4%","13.8%","15.8%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","50,227","682,842","9,323","7,208","29,259","57,342","131,928","135,035","69,520","106,026","137,201","61,232","78,627"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","682,842","1.4%","1.1%","4.3%","8.4%","19.3%","19.8%","10.2%","15.5%","20.1%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","36,080","518,539","9,179","10,040","40,176","69,620","132,962","100,185","43,736","59,437","53,204","49,500","60,088"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","518,539","1.8%","1.9%","7.7%","13.4%","25.6%","19.3%","8.4%","11.5%","10.3%","(X)","(X)"
"Kansas","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","41,146","1,107,732","19,220","23,318","71,997","143,940","234,757","198,622","90,613","145,569","179,696","52,450","69,481"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","1,107,732","1.7%","2.1%","6.5%","13.0%","21.2%","17.9%","8.2%","13.1%","16.2%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","47,716","634,688","10,268","10,592","32,992","64,764","125,537","114,094","53,554","93,948","128,939","58,633","77,871"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","634,688","1.6%","1.7%","5.2%","10.2%","19.8%","18.0%","8.4%","14.8%","20.3%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","34,698","473,044","8,952","12,726","39,005","79,176","109,220","84,528","37,059","51,621","50,757","47,272","58,224"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","473,044","1.9%","2.7%","8.2%","16.7%","23.1%","17.9%","7.8%","10.9%","10.7%","(X)","(X)"
"Kentucky","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","40,293","1,559,970","28,035","39,023","123,624","207,165","338,623","274,282","125,915","190,907","232,396","51,281","66,833"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","1,559,970","1.8%","2.5%","7.9%","13.3%","21.7%","17.6%","8.1%","12.2%","14.9%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","46,131","879,969","13,321","20,343","52,715","100,613","177,484","157,582","72,645","122,900","162,366","56,088","73,958"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","879,969","1.5%","2.3%","6.0%","11.4%","20.2%","17.9%","8.3%","14.0%","18.5%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","33,791","680,001","14,714","18,680","70,909","106,552","161,139","116,700","53,270","68,007","70,030","45,857","57,614"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","680,001","2.2%","2.7%","10.4%","15.7%","23.7%","17.2%","7.8%","10.0%","10.3%","(X)","(X)"
"Louisiana","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","39,494","1,529,875","28,180","53,701","150,983","210,622","295,938","244,737","112,560","180,544","252,610","50,784","67,237"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","1,529,875","1.8%","3.5%","9.9%","13.8%","19.3%","16.0%","7.4%","11.8%","16.5%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","47,661","837,911","12,908","24,806","60,491","95,245","140,486","130,242","69,660","114,265","189,808","60,170","77,702"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","837,911","1.5%","3.0%","7.2%","11.4%","16.8%","15.5%","8.3%","13.6%","22.7%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","31,813","691,964","15,272","28,895","90,492","115,377","155,452","114,495","42,900","66,279","62,802","42,739","54,565"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","691,964","2.2%","4.2%","13.1%","16.7%","22.5%","16.5%","6.2%","9.6%","9.1%","(X)","(X)"
"Maine","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","43,127","490,032","5,975","4,962","18,477","46,500","113,905","95,494","48,734","66,555","89,430","56,651","75,015"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","490,032","1.2%","1.0%","3.8%","9.5%","23.2%","19.5%","9.9%","13.6%","18.2%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","49,754","274,067","3,282","1,776","7,577","23,902","56,445","52,749","29,284","38,473","60,579","61,324","82,921"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","274,067","1.2%","0.6%","2.8%","8.7%","20.6%","19.2%","10.7%","14.0%","22.1%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","38,696","215,965","2,693","3,186","10,900","22,598","57,460","42,745","19,450","28,082","28,851","52,365","64,981"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","215,965","1.2%","1.5%","5.0%","10.5%","26.6%","19.8%","9.0%","13.0%","13.4%","(X)","(X)"
"Maryland","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","54,079","2,475,689","32,419","36,207","104,214","201,146","372,930","371,090","199,307","364,488","793,888","71,082","91,248"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","2,475,689","1.3%","1.5%","4.2%","8.1%","15.1%","15.0%","8.1%","14.7%","32.1%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","60,957","1,331,845","15,818","18,659","48,048","89,942","186,787","193,648","98,923","198,531","481,489","76,246","99,082"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","1,331,845","1.2%","1.4%","3.6%","6.8%","14.0%","14.5%","7.4%","14.9%","36.2%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","49,548","1,143,844","16,601","17,548","56,166","111,204","186,143","177,442","100,384","165,957","312,399","65,593","82,127"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","1,143,844","1.5%","1.5%","4.9%","9.7%","16.3%","15.5%","8.8%","14.5%","27.3%","(X)","(X)"
"Massachusetts","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","54,953","2,649,920","31,158","23,124","73,675","161,776","379,000","390,354","220,670","439,748","930,415","76,732","104,240"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","2,649,920","1.2%","0.9%","2.8%","6.1%","14.3%","14.7%","8.3%","16.6%","35.1%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","62,907","1,461,092","14,839","12,446","35,537","73,894","179,923","209,294","112,855","226,999","595,305","82,386","116,664"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","1,461,092","1.0%","0.9%","2.4%","5.1%","12.3%","14.3%","7.7%","15.5%","40.7%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","47,287","1,188,828","16,319","10,678","38,138","87,882","199,077","181,060","107,815","212,749","335,110","70,792","88,971"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","1,188,828","1.4%","0.9%","3.2%","7.4%","16.7%","15.2%","9.1%","17.9%","28.2%","(X)","(X)"
"Michigan","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","41,662","3,402,751","51,813","50,465","188,725","387,651","681,449","594,753","287,445","477,205","683,245","57,354","75,048"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","3,402,751","1.5%","1.5%","5.5%","11.4%","20.0%","17.5%","8.4%","14.0%","20.1%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","50,241","1,937,441","25,690","26,091","89,078","176,936","340,227","335,371","167,067","290,415","486,566","62,426","83,863"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","1,937,441","1.3%","1.3%","4.6%","9.1%","17.6%","17.3%","8.6%","15.0%","25.1%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","35,381","1,465,310","26,123","24,374","99,647","210,715","341,222","259,382","120,378","186,790","196,679","50,990","63,393"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","1,465,310","1.8%","1.7%","6.8%","14.4%","23.3%","17.7%","8.2%","12.7%","13.4%","(X)","(X)"
"Minnesota","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","50,279","2,144,121","23,691","25,283","76,709","155,767","385,811","407,935","206,191","354,034","508,700","64,769","84,523"
"    Percent","","","","","","","","","","","","",""
"        Estimate","(X)","2,144,121","1.1%","1.2%","3.6%","7.3%","18.0%","19.0%","9.6%","16.5%","23.7%","(X)","(X)"
"    Male","","","","","","","","","","","","",""
"        Estimate","56,526","1,220,628","12,463","13,517","38,018","71,146","186,699","230,929","122,359","208,976","336,521","70,007","92,482"
"    Percent Male","","","","","","","","","","","","",""
"        Estimate","(X)","1,220,628","1.0%","1.1%","3.1%","5.8%","15.3%","18.9%","10.0%","17.1%","27.6%","(X)","(X)"
"    Female","","","","","","","","","","","","",""
"        Estimate","42,208","923,493","11,228","11,766","38,691","84,621","199,112","177,006","83,832","145,058","172,179","59,608","74,004"
"    Percent Female","","","","","","","","","","","","",""
"        Estimate","(X)","923,493","1.2%","1.3%","4.2%","9.2%","21.6%","19.2%","9.1%","15.7%","18.6%","(X)","(X)"
"Mississippi","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","",""
"        Estimate","36,065","979,678","24,152","29,712","110,740","159,605","206,819","160,807","68,737","100,353","118,753","46,128","60,119"
"    Percent","","","","","","","","","","","","",""
