"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Median earnings (dollars) for full-time, year-round workers with earnings","Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","411,863","37,326","248,218","4,262","5,216","23,943","34,823","46,270","40,128","21,684","33,106","38,786","52,060","65,613","","45,018","24,222","35,868","41,758","56,914","75,748"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","411,863","(X)","248,218","1.7%","2.1%","9.6%","14.0%","18.6%","16.2%","8.7%","13.3%","15.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","229,871","43,350","145,864","2,580","2,574","12,818","17,986","24,421","21,773","13,381","21,077","29,254","57,943","70,738","","51,352","27,211","41,536","51,169","67,437","90,028"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","229,871","(X)","145,864","1.8%","1.8%","8.8%","12.3%","16.7%","14.9%","9.2%","14.4%","20.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","181,992","31,734","102,354","1,682","2,642","11,125","16,837","21,849","18,355","8,303","12,029","9,532","47,472","58,311","","36,909","20,130","28,778","34,947","46,115","70,662"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","181,992","(X)","102,354","1.6%","2.6%","10.9%","16.4%","21.3%","17.9%","8.1%","11.8%","9.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,470,659","31,651","2,247,314","41,335","71,722","323,094","382,466","480,424","330,603","129,846","208,520","279,304","42,357","58,614","","36,923","22,121","28,821","35,802","51,197","65,573"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,470,659","(X)","2,247,314","1.8%","3.2%","14.4%","17.0%","21.4%","14.7%","5.8%","9.3%","12.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,858,535","35,887","1,292,423","21,492","36,585","167,382","198,204","262,786","189,934","75,756","135,552","204,732","46,681","64,911","","41,275","25,742","32,269","41,321","62,280","80,236"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,858,535","(X)","1,292,423","1.7%","2.8%","13.0%","15.3%","20.3%","14.7%","5.9%","10.5%","15.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,612,124","28,139","954,891","19,843","35,137","155,712","184,262","217,638","140,669","54,090","72,968","74,572","39,675","50,089","","32,249","17,976","24,030","31,308","42,884","54,235"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,612,124","(X)","954,891","2.1%","3.7%","16.3%","19.3%","22.8%","14.7%","5.7%","7.6%","7.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,437,265","30,050","969,334","17,721","39,124","168,831","190,003","210,344","135,800","57,998","71,007","78,506","39,024","51,208","","34,062","23,439","29,023","31,916","46,483","60,011"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,437,265","(X)","969,334","1.8%","4.0%","17.4%","19.6%","21.7%","14.0%","6.0%","7.3%","8.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","748,937","34,561","536,635","8,656","15,318","73,362","96,726","112,518","83,096","37,018","49,648","60,293","43,266","59,137","","40,188","26,435","34,029","40,119","60,496","72,016"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","748,937","(X)","536,635","1.6%","2.9%","13.7%","18.0%","21.0%","15.5%","6.9%","9.3%","11.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","688,328","25,470","432,699","9,065","23,806","95,469","93,277","97,826","52,704","20,980","21,359","18,213","34,154","41,375","","29,191","20,178","22,364","27,613","38,345","52,031"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","688,328","(X)","432,699","2.1%","5.5%","22.1%","21.6%","22.6%","12.2%","4.8%","4.9%","4.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"California","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,571,695","35,544","12,979,692","196,466","382,989","1,642,045","1,810,744","2,274,617","1,776,998","831,262","1,456,952","2,607,619","50,807","71,814","","41,122","22,648","30,918","38,296","60,940","85,555"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,571,695","(X)","12,979,692","1.5%","3.0%","12.7%","14.0%","17.5%","13.7%","6.4%","11.2%","20.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,106,552","40,557","7,674,784","102,742","191,023","904,454","1,031,486","1,274,868","1,033,872","481,713","854,200","1,800,426","52,487","78,557","","46,625","26,876","35,362","45,303","71,972","101,525"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,106,552","(X)","7,674,784","1.3%","2.5%","11.8%","13.4%","16.6%","13.5%","6.3%","11.1%","23.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,465,143","30,598","5,304,908","93,724","191,966","737,591","779,258","999,749","743,126","349,549","602,752","807,193","46,783","62,059","","35,640","17,580","25,482","32,019","51,180","72,229"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,465,143","(X)","5,304,908","1.8%","3.6%","13.9%","14.7%","18.8%","14.0%","6.6%","11.4%","15.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,223,059","36,804","2,085,139","32,295","60,500","205,980","289,058","430,284","345,504","148,630","231,494","341,394","50,558","67,091","","42,324","26,069","32,385","37,835","52,074","67,553"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,223,059","(X)","2,085,139","1.5%","2.9%","9.9%","13.9%","20.6%","16.6%","7.1%","11.1%","16.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,731,333","42,277","1,226,813","15,837","31,279","105,403","155,017","222,925","204,170","87,554","148,927","255,701","54,869","75,202","","50,617","30,979","37,229","46,067","65,419","86,844"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,731,333","(X)","1,226,813","1.3%","2.5%","8.6%","12.6%","18.2%","16.6%","7.1%","12.1%","20.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,491,726","31,268","858,326","16,458","29,221","100,577","134,041","207,359","141,334","61,076","82,567","85,693","44,733","55,498","","36,448","19,923","27,251","31,309","43,320","55,136"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,491,726","(X)","858,326","1.9%","3.4%","11.7%","15.6%","24.2%","16.5%","7.1%","9.6%","10.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,995,576","41,053","1,246,293","13,196","15,948","86,996","157,479","217,053","211,104","97,370","179,631","267,516","58,613","82,042","","48,506","25,393","34,473","42,231","61,520","80,966"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,995,576","(X)","1,246,293","1.1%","1.3%","7.0%","12.6%","17.4%","16.9%","7.8%","14.4%","21.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,024,083","49,253","703,796","7,978","7,076","44,443","73,267","108,904","115,835","56,809","100,968","188,516","62,976","94,459","","55,454","28,196","41,739","51,511","75,824","100,687"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,024,083","(X)","703,796","1.1%","1.0%","6.3%","10.4%","15.5%","16.5%","8.1%","14.3%","26.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","971,493","33,975","542,497","5,218","8,872","42,553","84,212","108,149","95,269","40,561","78,663","79,000","52,120","65,932","","40,595","19,824","28,665","35,392","51,038","67,389"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","971,493","(X)","542,497","1.0%","1.6%","7.8%","15.5%","19.9%","17.6%","7.5%","14.5%","14.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","483,092","36,315","317,555","4,665","6,601","29,267","49,452","63,762","51,206","25,221","38,991","48,390","50,912","66,274","","41,815","26,364","32,626","36,577","57,157","73,360"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","483,092","(X)","317,555","1.5%","2.1%","9.2%","15.6%","20.1%","16.1%","7.9%","12.3%","15.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","249,004","40,854","174,590","2,812","2,761","14,234","25,407","32,317","27,736","16,080","20,858","32,385","54,657","73,402","","47,463","26,856","38,779","41,848","63,198","83,220"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","249,004","(X)","174,590","1.6%","1.6%","8.2%","14.6%","18.5%","15.9%","9.2%","11.9%","18.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","234,088","31,966","142,965","1,853","3,840","15,033","24,045","31,445","23,470","9,141","18,133","16,005","47,052","57,569","","37,662","21,068","29,555","31,986","50,891","67,032"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","234,088","(X)","142,965","1.3%","2.7%","10.5%","16.8%","22.0%","16.4%","6.4%","12.7%","11.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,399,422","30,471","6,830,719","113,056","258,606","1,174,807","1,275,650","1,437,876","928,803","369,287","526,437","746,197","40,416","56,128","","33,638","21,666","26,826","32,230","45,651","60,959"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,399,422","(X)","6,830,719","1.7%","3.8%","17.2%","18.7%","21.1%","13.6%","5.4%","7.7%","10.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,430,055","33,572","3,822,360","52,129","131,170","577,443","668,575","769,854","535,200","216,037","324,755","547,197","42,261","62,986","","38,104","25,115","30,974","37,346","55,077","74,579"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,430,055","(X)","3,822,360","1.4%","3.4%","15.1%","17.5%","20.1%","14.0%","5.7%","8.5%","14.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,969,367","26,412","3,008,359","60,927","127,436","597,364","607,075","668,022","393,603","153,250","201,682","199,000","36,746","47,414","","30,184","17,066","22,462","29,167","40,107","51,758"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,969,367","(X)","3,008,359","2.0%","4.2%","19.9%","20.2%","22.2%","13.1%","5.1%","6.7%","6.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,366,757","32,010","3,611,695","70,542","142,791","524,571","606,421","741,841","522,507","214,419","320,476","468,127","42,357","59,933","","37,173","21,993","29,437","35,055","51,915","65,479"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,366,757","(X)","3,611,695","2.0%","4.0%","14.5%","16.8%","20.5%","14.5%","5.9%","8.9%","13.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,779,076","37,222","2,020,844","37,298","57,718","252,624","309,705","403,390","297,056","125,399","199,361","338,293","47,114","68,251","","42,442","25,812","33,827","41,935","66,163","82,410"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,779,076","(X)","2,020,844","1.8%","2.9%","12.5%","15.3%","20.0%","14.7%","6.2%","9.9%","16.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,587,681","27,421","1,590,851","33,244","85,073","271,947","296,716","338,451","225,451","89,020","121,115","129,834","38,958","49,367","","31,672","16,443","23,334","29,637","42,360","56,886"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,587,681","(X)","1,590,851","2.1%","5.3%","17.1%","18.7%","21.3%","14.2%","5.6%","7.6%","8.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","773,824","37,247","535,670","8,542","13,645","58,652","84,611","118,839","88,121","38,380","60,160","64,720","46,978","59,446","","41,518","27,415","32,674","40,163","50,803","67,836"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","773,824","(X)","535,670","1.6%","2.5%","10.9%","15.8%","22.2%","16.5%","7.2%","11.2%","12.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","415,941","42,189","305,551","3,872","5,077","31,265","43,926","59,602","51,396","24,297","39,325","46,791","51,594","65,214","","48,787","32,978","40,034","46,044","60,750","78,643"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","415,941","(X)","305,551","1.3%","1.7%","10.2%","14.4%","19.5%","16.8%","8.0%","12.9%","15.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","357,883","32,265","230,119","4,670","8,568","27,387","40,685","59,237","36,725","14,083","20,835","17,929","41,664","51,786","","36,400","22,666","28,770","35,207","42,498","60,260"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","357,883","(X)","230,119","2.0%","3.7%","11.9%","17.7%","25.7%","16.0%","6.1%","9.1%","7.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","888,633","27,589","528,309","11,763","22,478","80,528","96,959","113,211","80,734","30,090","41,962","50,584","40,603","53,769","","32,470","25,230","28,642","30,813","42,188","60,976"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","888,633","(X)","528,309","2.2%","4.3%","15.2%","18.4%","21.4%","15.3%","5.7%","7.9%","9.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","481,568","34,165","323,726","5,380","8,511","38,231","56,360","66,167","55,150","21,368","30,890","41,669","46,241","61,197","","40,918","30,452","32,395","40,249","56,986","81,226"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","481,568","(X)","323,726","1.7%","2.6%","11.8%","17.4%","20.4%","17.0%","6.6%","9.5%","12.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","407,065","20,894","204,583","6,383","13,967","42,297","40,599","47,044","25,584","8,722","11,072","8,915","34,665","42,016","","25,381","15,992","21,834","22,308","32,863","45,519"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","407,065","(X)","204,583","3.1%","6.8%","20.7%","19.8%","23.0%","12.5%","4.3%","5.4%","4.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,848,273","35,868","4,429,442","60,534","113,423","495,752","654,682","841,643","694,892","314,824","533,119","720,573","50,560","68,228","","41,505","24,957","31,161","36,756","56,643","73,296"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,848,273","(X)","4,429,442","1.4%","2.6%","11.2%","14.8%","19.0%","15.7%","7.1%","12.0%","16.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,570,516","42,238","2,533,669","29,955","54,259","233,368","320,353","444,280","406,716","192,710","330,925","521,103","55,585","77,453","","50,366","28,072","38,152","46,312","70,329","91,454"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,570,516","(X)","2,533,669","1.2%","2.1%","9.2%","12.6%","17.5%","16.1%","7.6%","13.1%","20.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,277,757","30,039","1,895,773","30,579","59,164","262,384","334,329","397,363","288,176","122,114","202,194","199,470","43,149","55,900","","34,251","19,460","23,920","30,143","46,260","62,050"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,277,757","(X)","1,895,773","1.6%","3.1%","13.8%","17.6%","21.0%","15.2%","6.4%","10.7%","10.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,526,497","32,069","2,269,235","39,033","64,451","278,853","399,061","505,007","377,123","153,400","216,646","235,661","44,063","56,432","","37,460","24,213","31,363","35,770","50,294","62,356"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,526,497","(X)","2,269,235","1.7%","2.8%","12.3%","17.6%","22.3%","16.6%","6.8%","9.5%","10.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,845,973","40,283","1,306,399","21,661","28,772","114,635","184,674","278,039","235,231","105,478","154,715","183,194","50,782","64,252","","46,214","30,062","38,746","46,624","63,047","75,986"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,845,973","(X)","1,306,399","1.7%","2.2%","8.8%","14.1%","21.3%","18.0%","8.1%","11.8%","14.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,680,524","26,129","962,836","17,372","35,679","164,218","214,387","226,968","141,892","47,922","61,931","52,467","37,167","45,822","","30,794","18,448","23,137","28,704","40,932","56,707"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,680,524","(X)","962,836","1.8%","3.7%","17.1%","22.3%","23.6%","14.7%","5.0%","6.4%","5.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,785,976","33,349","1,167,093","20,126","30,462","129,266","197,042","278,430","209,578","77,980","110,794","113,415","45,434","56,471","","40,006","26,975","31,973","36,707","50,840","64,908"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,785,976","(X)","1,167,093","1.7%","2.6%","11.1%","16.9%","23.9%","18.0%","6.7%","9.5%","9.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","939,027","40,624","670,021","10,618","15,519","54,881","91,761","157,032","128,165","49,849","74,515","87,681","50,295","63,585","","46,291","31,383","39,361","45,247","62,120","77,024"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","939,027","(X)","670,021","1.6%","2.3%","8.2%","13.7%","23.4%","19.1%","7.4%","11.1%","13.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","846,949","27,348","497,072","9,508","14,943","74,385","105,281","121,398","81,413","28,131","36,279","25,734","39,658","46,882","","31,980","20,661","24,034","29,804","42,106","60,376"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","846,949","(X)","497,072","1.9%","3.0%","15.0%","21.2%","24.4%","16.4%","5.7%","7.3%","5.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,607,457","31,839","1,058,540","19,026","34,933","136,190","178,717","241,217","170,639","65,883","98,746","113,189","43,309","57,020","","38,513","26,056","30,111","34,570","49,257","61,088"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,607,457","(X)","1,058,540","1.8%","3.3%","12.9%","16.9%","22.8%","16.1%","6.2%","9.3%","10.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","861,766","38,674","619,043","9,567","14,421","62,462","90,665","136,057","102,626","43,927","72,844","86,474","49,267","64,513","","45,105","30,650","36,249","41,623","61,614","76,106"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","861,766","(X)","619,043","1.5%","2.3%","10.1%","14.6%","22.0%","16.6%","7.1%","11.8%","14.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","745,691","26,113","439,497","9,459","20,512","73,728","88,052","105,160","68,013","21,956","25,902","26,715","37,931","46,465","","31,224","17,453","22,326","28,439","40,632","51,581"
