"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Full-time, year-round workers with earnings!!$10,000 to $14,999","Full-time, year-round workers with earnings!!$15,000 to $24,999","Full-time, year-round workers with earnings!!$25,000 to $34,999","Full-time, year-round workers with earnings!!$35,000 to $49,999","Full-time, year-round workers with earnings!!$50,000 to $64,999","Full-time, year-round workers with earnings!!$65,000 to $74,999","Full-time, year-round workers with earnings!!$75,000 to $99,999","Full-time, year-round workers with earnings!!$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT ALLOCATED","PERCENT ALLOCATED!!Earnings in the past 12 months"
"        Estimate","240,020","42,368","142,532","2.0%","1.1%","11.3%","10.7%","17.0%","14.8%","8.0%","14.3%","20.8%","56,422","71,455","","51,041","40,247","37,298","51,608","62,614","87,728","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","190,645","30,859","99,263","1.6%","1.9%","11.2%","14.3%","23.1%","18.5%","9.2%","11.7%","8.5%","47,518","54,221","","35,727","19,508","26,350","32,088","45,672","67,823","","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,368,413","30,675","2,140,142","2.1%","4.0%","14.7%","17.1%","21.0%","14.5%","5.8%","9.2%","11.5%","(X)","57,345","","35,919","21,300","27,708","34,251","50,479","62,034","","22.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,799,597","34,951","1,238,463","2.2%","3.4%","13.0%","15.2%","19.6%","15.4%","6.2%","10.0%","14.9%","46,386","64,065","","40,935","23,800","31,501","40,626","60,656","78,600","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,568,816","26,303","901,679","2.0%","4.7%","17.1%","19.5%","23.0%","13.4%","5.2%","8.0%","6.9%","37,966","48,115","","31,166","16,957","24,000","29,896","41,479","50,815","","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,426,582","27,687","937,514","1.9%","4.2%","19.5%","20.3%","20.8%","13.7%","5.2%","6.4%","8.0%","(X)","49,330","","31,687","22,442","26,629","30,419","45,963","56,296","","19.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","741,617","31,890","523,156","1.7%","2.9%","15.7%","19.8%","19.8%","14.9%","6.2%","8.2%","10.9%","41,156","56,129","","36,955","25,970","31,222","37,055","57,465","70,813","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","684,965","23,450","414,358","2.2%","5.9%","24.4%","20.9%","22.1%","12.2%","4.0%","4.1%","4.3%","32,242","40,745","","26,908","17,073","21,770","24,837","40,284","50,713","","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,186,444","32,499","12,595,768","1.8%","3.4%","13.8%","14.1%","17.2%","13.4%","6.2%","11.0%","19.1%","(X)","69,779","","40,005","21,558","30,231","36,985","60,121","82,271","","21.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,897,496","37,947","7,474,387","1.5%","2.9%","12.9%","13.6%","16.5%","13.2%","5.9%","11.0%","22.5%","51,417","76,464","","44,942","25,541","33,677","42,923","71,138","100,984","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,288,948","28,554","5,121,381","2.1%","4.0%","15.2%","15.0%","18.2%","13.7%","6.5%","11.0%","14.2%","45,489","60,023","","32,866","16,542","23,934","31,451","50,241","70,763","","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,157,872","35,274","2,013,299","1.5%","2.9%","11.7%","14.7%","20.8%","15.5%","6.8%","11.0%","15.2%","(X)","64,303","","40,893","25,649","31,515","36,440","51,136","65,657","","18.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,698,417","40,637","1,193,409","1.4%","2.5%","10.7%","13.3%","19.5%","15.2%","6.8%","12.0%","18.6%","51,264","70,708","","46,979","30,551","36,370","41,856","61,754","83,031","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,459,455","30,019","819,890","1.6%","3.5%","13.2%","16.8%","22.6%","16.0%","6.7%","9.4%","10.2%","43,206","54,979","","34,561","18,493","25,539","30,658","41,535","52,422","","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,011,643","40,323","1,247,949","1.3%","1.7%","7.6%","11.9%","17.8%","16.6%","8.6%","13.7%","20.8%","(X)","80,417","","47,481","23,388","35,458","41,504","61,257","80,306","","19.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,033,403","48,114","707,120","1.3%","1.2%","6.2%","10.2%","15.7%","15.9%","8.6%","14.4%","26.6%","64,220","93,524","","56,059","26,684","41,255","51,478","75,424","100,290","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","978,240","32,263","540,829","1.3%","2.4%","9.4%","14.1%","20.6%","17.4%","8.7%","12.8%","13.2%","50,991","63,279","","39,708","18,862","28,827","33,633","50,499","66,176","","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","492,098","35,408","325,719","1.2%","2.3%","11.1%","16.6%","21.5%","15.1%","6.8%","12.2%","13.1%","(X)","60,878","","40,032","26,171","31,751","36,993","54,225","71,356","","20.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","250,370","40,276","175,678","1.2%","1.9%","8.1%","15.4%","21.6%","15.6%","6.8%","12.2%","17.1%","50,924","67,154","","44,735","30,328","38,196","42,882","63,177","77,815","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","241,728","30,883","150,041","1.2%","2.8%","14.6%","18.1%","21.3%","14.5%","6.9%","12.2%","8.5%","41,771","53,529","","35,110","21,073","25,730","32,057","47,586","67,053","","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,124,756","29,550","6,586,328","1.8%","4.3%","17.8%","18.9%","20.8%","13.2%","5.2%","7.7%","10.3%","(X)","54,297","","32,100","20,825","26,129","31,670","45,031","59,576","","21.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,294,640","31,908","3,692,407","1.6%","3.6%","16.2%","17.8%","19.3%","13.6%","5.5%","8.7%","13.6%","41,586","61,318","","36,558","23,238","30,382","36,275","52,227","76,636","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,830,116","25,833","2,893,921","2.0%","5.2%","19.9%","20.4%","22.7%","12.6%","4.8%","6.3%","6.1%","36,112","45,338","","29,473","16,726","21,795","28,610","40,336","50,382","","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,253,057","31,026","3,472,941","1.9%","4.3%","15.1%","17.1%","20.0%","15.2%","6.2%","8.3%","12.0%","(X)","57,766","","36,223","21,274","27,706","32,448","50,962","62,819","","21.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,723,958","35,959","1,940,032","1.7%","3.3%","13.0%","15.9%","19.2%","15.4%","6.5%","9.1%","15.9%","46,712","65,342","","41,697","24,725","31,977","41,242","62,471","81,186","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,529,099","26,367","1,532,909","2.2%","5.5%","17.7%","18.6%","21.1%","14.8%","5.7%","7.3%","7.1%","38,278","48,178","","30,865","15,310","22,480","27,091","41,582","55,238","","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","777,868","35,514","526,736","1.6%","2.7%","12.3%","16.5%","22.3%","15.2%","6.7%","10.6%","12.1%","(X)","58,070","","40,281","23,401","31,361","38,200","49,440","64,283","","23.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","416,262","40,083","302,104","1.3%","2.2%","11.5%","14.8%","20.8%","15.1%","7.5%","12.3%","14.5%","49,373","63,634","","45,179","24,956","34,894","44,960","55,647","75,042","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","361,606","31,091","224,632","1.9%","3.5%","13.4%","18.8%","24.4%","15.4%","5.6%","8.3%","8.7%","41,224","50,587","","35,189","18,702","26,737","31,737","44,168","58,211","","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","866,501","26,998","521,007","2.0%","4.3%","16.0%","18.5%","21.6%","14.8%","5.9%","8.4%","8.5%","(X)","53,003","","32,340","23,004","27,114","31,468","41,343","60,084","","17.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","473,014","32,816","320,725","2.0%","3.2%","12.5%","16.9%","21.1%","16.6%","6.3%","9.9%","11.5%","45,305","59,938","","40,474","29,384","32,263","40,219","51,991","72,111","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","393,487","21,225","200,282","1.9%","6.2%","21.6%","21.0%","22.3%","12.0%","5.3%","6.0%","3.7%","34,403","41,898","","25,843","16,649","19,915","25,264","32,755","47,939","","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,842,444","34,774","4,397,238","1.4%","2.7%","12.1%","15.0%","19.2%","15.5%","7.0%","11.5%","15.6%","(X)","65,845","","40,743","22,282","30,526","36,054","55,161","70,924","","19.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,570,767","41,196","2,497,835","1.2%","2.3%","10.1%","13.1%","17.6%","15.8%","7.2%","12.9%","19.9%","53,111","74,284","","48,254","26,335","36,405","45,158","67,681","90,313","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,271,677","28,818","1,899,403","1.7%","3.3%","14.8%","17.5%","21.3%","15.2%","6.7%","9.6%","9.9%","42,108","54,747","","32,879","17,707","23,596","29,704","45,967","60,362","","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,508,941","30,906","2,221,562","1.6%","3.2%","13.6%","18.0%","22.6%","16.3%","6.3%","9.0%","9.3%","(X)","55,115","","36,168","22,415","30,846","33,681","48,790","60,620","","18.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,838,380","37,361","1,278,354","1.4%","2.1%","10.6%","15.1%","21.5%","18.2%","7.4%","11.2%","12.5%","49,157","62,399","","42,437","26,784","37,131","42,189","60,889","71,978","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,670,561","25,013","943,208","1.8%","4.7%","17.7%","22.1%","24.2%","13.8%","4.9%","6.0%","4.9%","36,440","45,243","","29,816","17,068","22,972","27,255","40,076","52,327","","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,785,944","31,717","1,135,537","1.8%","3.1%","12.0%","17.2%","24.0%","17.3%","6.7%","8.8%","9.2%","(X)","55,571","","37,747","26,151","31,515","35,749","48,207","64,417","","18.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","942,783","38,078","650,655","1.6%","2.0%","9.1%","14.5%","23.3%","18.5%","7.4%","10.9%","12.7%","49,385","63,298","","43,984","31,375","38,052","42,177","57,273","76,366","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","843,161","26,153","484,882","2.1%","4.4%","15.9%","20.8%","25.0%","15.7%","5.6%","5.9%","4.5%","37,791","45,202","","31,283","18,486","23,484","29,661","41,233","58,527","","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,597,879","31,098","1,030,230","2.3%","3.5%","13.7%","17.1%","22.9%","15.6%","6.1%","8.3%","10.4%","(X)","55,619","","36,897","23,425","28,685","32,765","46,772","57,533","","18.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","846,517","36,936","593,782","1.8%","2.8%","11.3%","14.8%","21.2%","16.4%","7.3%","10.2%","14.1%","47,891","63,338","","43,107","28,583","35,137","41,131","60,168","73,325","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","751,362","25,501","436,448","2.8%","4.5%","17.0%","20.1%","25.2%","14.4%","4.6%","5.8%","5.5%","37,091","45,117","","30,728","17,706","21,748","27,247","39,835","50,389","","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,196,693","30,070","1,399,286","2.1%","4.0%","15.4%","18.0%","22.4%","15.8%","5.9%","7.9%","8.6%","(X)","53,157","","35,057","20,974","28,372","32,301","47,610","56,285","","18.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,146,061","35,309","791,910","2.0%","2.8%","12.7%","15.9%","21.8%","16.8%","6.8%","9.6%","11.6%","45,521","60,140","","41,014","24,865","33,807","41,369","56,362","70,036","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,050,632","24,405","607,376","2.3%","5.5%","18.8%","20.6%","23.1%","14.5%","4.7%","5.6%","4.8%","36,259","44,053","","29,276","16,040","21,418","26,484","40,790","50,911","","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,256,958","30,261","1,452,563","2.5%","5.2%","15.7%","16.5%","20.3%","14.4%","6.0%","8.6%","10.7%","(X)","54,973","","35,035","20,766","27,996","32,309","46,163","57,210","","21.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,162,857","38,063","805,684","2.1%","4.2%","11.7%","13.8%","18.2%","15.8%","7.2%","11.2%","15.9%","50,031","65,391","","42,421","26,885","37,903","45,225","57,045","79,208","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,094,101","23,485","646,879","3.1%","6.5%","20.8%","19.9%","22.9%","12.7%","4.7%","5.4%","4.2%","34,793","41,997","","27,314","13,241","20,744","26,523","40,210","50,398","","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","740,280","30,594","431,998","1.3%","2.9%","11.9%","17.4%","24.2%","16.9%","7.3%","9.1%","9.1%","(X)","54,930","","35,585","19,634","27,934","33,302","43,559","56,855","","14.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","378,841","35,747","241,446","1.0%","2.7%","10.0%","14.7%","23.8%","17.8%","8.1%","10.5%","11.4%","47,890","60,245","","41,129","21,359","32,149","41,576","55,685","70,193","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","361,439","26,046","190,552","1.7%","3.0%","14.3%","20.8%","24.8%","15.7%","6.3%","7.3%","6.1%","40,240","48,194","","30,574","15,511","22,727","28,681","37,579","51,023","","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,372,659","41,235","2,273,397","1.4%","2.2%","9.0%","12.1%","17.6%","15.7%","7.5%","13.7%","20.9%","(X)","72,959","","48,147","26,170","32,982","41,813","61,049","82,479","","21.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,711,705","47,434","1,235,037","1.2%","1.7%","8.1%","10.9%","15.7%","15.3%","7.2%","14.1%","25.6%","61,321","80,994","","54,302","30,473","38,836","51,072","72,559","100,562","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,660,954","36,379","1,038,360","1.5%","2.8%","10.1%","13.5%","19.8%","16.1%","7.8%","13.1%","15.3%","51,247","63,402","","41,551","20,177","29,055","36,822","52,129","70,887","","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,943,346","40,557","2,415,111","1.2%","1.9%","7.3%","11.4%","18.2%","16.6%","8.1%","13.5%","21.9%","(X)","77,291","","48,220","25,717","35,003","40,706","60,503","76,972","","21.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,996,428","47,506","1,354,654","0.9%","1.7%","6.0%","9.7%","16.7%","16.0%","8.2%","13.5%","27.3%","62,868","87,014","","55,452","30,583","41,487","49,775","71,788","97,814","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,946,918","33,407","1,060,457","1.6%","2.1%","8.9%","13.6%","20.1%","17.4%","7.9%","13.4%","15.0%","51,666","64,871","","40,741","20,302","26,953","34,659","50,855","65,944","","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,127,771","30,456","3,085,982","1.8%","3.3%","13.4%","16.5%","20.1%","15.4%","6.8%","10.3%","12.6%","(X)","59,733","","36,209","20,512","27,202","32,435","50,821","68,906","","18.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,666,609","36,512","1,774,550","1.5%","2.7%","10.9%","14.2%","18.8%","15.9%","7.3%","11.8%","16.8%","50,869","67,675","","43,594","24,222","32,342","41,433","63,642","84,934","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,461,162","24,611","1,311,432","2.1%","4.1%","16.7%","19.5%","21.9%","14.7%","6.1%","8.1%","6.8%","39,825","48,987","","30,048","14,961","21,444","26,960","40,755","59,175","","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,207,486","36,219","2,013,389","1.6%","2.3%","9.1%","14.6%","22.1%","17.5%","7.6%","11.1%","14.2%","(X)","64,657","","41,757","23,823","31,535","38,355","54,749","70,728","","16.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,674,655","41,616","1,156,088","1.5%","2.0%","7.4%","12.2%","20.4%","18.3%","8.2%","12.1%","17.9%","53,200","71,517","","49,683","27,798","37,352","46,338","66,359","82,558","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,532,831","30,787","857,301","1.6%","2.6%","11.4%","17.8%","24.2%","16.4%","6.8%","9.8%","9.3%","44,132","55,406","","36,080","17,574","25,262","31,844","45,935","62,193","","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,375,365","27,427","913,092","2.4%","5.8%","18.6%","18.7%","21.5%","13.7%","4.7%","7.1%","7.5%","(X)","47,861","","31,731","20,057","26,693","30,838","42,130","51,943","","20.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","702,059","32,514","496,032","2.0%","4.2%","14.8%","16.5%","20.4%","15.8%","5.5%","9.5%","11.2%","42,146","55,498","","39,182","24,193","32,516","40,816","53,613","65,952","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","673,306","22,421","417,060","2.9%","7.8%","23.1%","21.3%","22.9%","11.2%","3.6%","4.2%","3.1%","31,757","38,779","","26,472","15,806","19,940","24,944","36,599","47,708","","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,208,355","30,800","2,074,711","1.8%","3.9%","14.4%","17.8%","22.8%","15.0%","6.0%","8.4%","9.8%","(X)","54,954","","35,908","21,505","29,902","32,334","45,701","57,229","","18.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,651,350","36,375","1,154,819","1.7%","3.3%","11.5%","14.9%","22.1%","16.1%","7.0%","9.9%","13.5%","46,543","62,837","","41,635","26,537","36,005","40,677","56,180","71,403","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,557,005","25,766","919,892","2.0%","4.6%","18.1%","21.4%","23.8%","13.5%","4.8%","6.6%","5.2%","36,514","45,058","","30,460","17,046","22,545","27,536","39,940","50,835","","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","574,235","27,162","336,698","2.5%","4.3%","16.7%","17.4%","21.3%","14.8%","6.3%","8.3%","8.4%","(X)","53,137","","32,091","18,782","26,475","30,816","39,650","52,319","","18.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","304,630","32,486","195,392","2.6%","3.1%","13.9%","13.9%","20.2%","16.4%","7.8%","10.2%","11.9%","46,545","61,041","","39,836","24,744","33,002","38,081","46,715","65,256","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","269,605","22,375","141,306","2.5%","5.9%","20.6%","22.2%","22.8%","12.6%","4.1%","5.6%","3.6%","34,028","42,207","","26,943","13,396","21,583","25,060","34,555","47,597","","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,095,734","31,448","717,424","1.7%","3.1%","12.9%","19.1%","22.8%","15.8%","6.8%","8.7%","9.2%","(X)","55,075","","37,002","25,292","30,482","35,209","46,260","61,459","","19.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","579,186","37,517","411,040","1.3%","2.4%","10.4%","16.0%","22.3%","16.6%","7.8%","10.6%","12.6%","47,352","62,540","","43,890","27,452","36,600","42,893","56,765","73,844","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","516,548","26,448","306,384","2.4%","3.9%","16.2%","23.1%","23.5%","14.6%","5.4%","6.1%","4.7%","36,699","45,060","","31,112","19,804","23,311","28,883","40,542","52,636","","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,508,808","31,132","972,147","1.7%","3.8%","14.2%","19.7%","21.3%","14.4%","6.6%","8.4%","9.8%","(X)","54,406","","35,156","25,444","30,968","35,351","46,908","62,224","","21.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","811,164","35,119","558,501","1.7%","3.6%","12.4%","17.6%","19.7%","14.8%","7.2%","10.2%","12.8%","45,326","60,667","","39,816","26,662","34,630","41,328","56,903","78,828","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","697,644","27,294","413,646","1.8%","4.1%","16.5%","22.6%","23.6%","13.9%","5.8%","6.1%","5.6%","36,681","45,952","","31,007","22,867","26,362","30,739","40,253","52,477","","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","797,564","36,144","498,849","1.0%","1.6%","9.1%","15.5%","22.4%","16.0%","8.3%","10.9%","15.2%","(X)","65,265","","41,776","27,896","32,290","39,245","51,823","67,970","","15.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","415,347","41,648","288,228","0.9%","1.4%","7.1%","13.7%","21.0%","15.5%","8.4%","11.9%","20.2%","53,581","73,137","","50,165","30,666","37,344","47,736","62,169","89,943","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
