"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Full-time, year-round workers with earnings!!$10,000 to $14,999","Full-time, year-round workers with earnings!!$15,000 to $24,999","Full-time, year-round workers with earnings!!$25,000 to $34,999","Full-time, year-round workers with earnings!!$35,000 to $49,999","Full-time, year-round workers with earnings!!$50,000 to $64,999","Full-time, year-round workers with earnings!!$65,000 to $74,999","Full-time, year-round workers with earnings!!$75,000 to $99,999","Full-time, year-round workers with earnings!!$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"        Estimate","237,939","41,385","146,579","1.9%","2.3%","11.2%","11.3%","16.5%","15.8%","8.9%","14.5%","17.5%","55,639","68,223","","50,895","30,299","41,598","49,706","64,398","78,288","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","188,512","30,664","101,658","1.4%","3.0%","12.1%","15.3%","26.3%","17.8%","6.0%","11.7%","6.4%","42,350","50,507","","36,465","18,750","25,509","33,932","41,870","62,577","","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,150,330","28,756","1,948,836","2.0%","4.5%","15.9%","17.3%","21.2%","14.3%","5.6%","8.8%","10.4%","(X)","54,058","","33,300","19,848","26,561","32,324","48,350","57,365","","21.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,687,287","31,837","1,123,727","2.0%","3.6%","14.8%","15.7%","19.1%","14.9%","6.1%","10.3%","13.7%","44,284","60,403","","38,467","21,966","30,437","39,859","58,174","75,747","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,463,043","25,079","825,109","2.0%","5.7%","17.4%","19.6%","24.1%","13.6%","5.0%","6.8%","5.9%","37,021","45,417","","30,006","15,259","22,252","27,944","40,381","47,075","","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,390,210","26,043","900,230","2.3%","5.3%","20.5%","20.3%","21.0%","13.5%","4.7%","6.1%","6.2%","(X)","46,685","","30,397","20,092","25,584","29,778","43,365","55,137","","18.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","731,388","30,739","506,295","1.7%","4.5%","16.4%","18.8%","21.7%","14.7%","5.6%","7.7%","8.9%","40,306","53,415","","35,392","21,980","30,512","36,586","51,565","68,106","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","658,822","21,729","393,935","3.0%","6.3%","25.9%","22.3%","20.2%","11.9%","3.5%","4.2%","2.7%","31,015","38,036","","25,264","16,507","20,485","24,229","38,062","50,084","","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,130,091","30,769","11,505,807","2.0%","4.3%","14.9%","14.1%","17.4%","13.8%","6.1%","10.5%","16.7%","(X)","64,725","","36,297","19,057","27,262","35,888","54,931","77,093","","20.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,371,787","35,180","6,814,530","1.6%","3.9%","14.4%","13.3%","16.3%","13.4%","6.1%","10.8%","20.2%","50,268","71,101","","41,160","21,958","30,968","41,700","65,630","95,095","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,758,304","26,135","4,691,277","2.4%","5.0%","15.7%","15.4%","19.1%","14.5%","6.3%","10.0%","11.7%","42,199","55,465","","31,248","14,753","23,079","30,669","46,508","64,717","","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,949,534","31,574","1,787,985","1.9%","3.4%","11.9%","15.9%","21.1%","15.1%","6.6%","10.2%","14.0%","(X)","61,408","","37,204","21,624","30,011","33,594","46,891","61,730","","18.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,587,277","37,496","1,057,122","1.5%","2.8%","10.4%","13.7%","19.6%","15.4%","6.8%","11.6%","18.1%","50,950","69,251","","44,360","26,069","34,369","40,963","59,986","80,124","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,362,257","26,045","730,863","2.4%","4.1%","14.1%","19.1%","23.2%","14.7%","6.3%","8.1%","8.0%","40,671","50,063","","30,890","15,115","23,075","27,826","37,911","50,417","","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,980,281","36,709","1,192,257","1.2%","2.0%","9.8%","11.9%","18.6%","16.5%","7.9%","13.2%","18.9%","(X)","76,791","","42,923","21,400","32,101","38,592","57,413","75,743","","20.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,026,733","44,286","682,245","1.2%","1.4%","9.0%","9.7%","15.7%","16.6%","7.9%","13.7%","24.8%","60,990","89,577","","51,444","23,401","38,409","46,992","74,957","95,483","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","953,548","30,928","510,012","1.2%","2.7%","10.8%","14.9%","22.6%","16.4%","8.0%","12.5%","10.9%","47,623","59,687","","36,497","18,467","26,690","31,820","45,680","62,473","","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","490,243","31,422","304,288","1.9%","3.1%","11.9%","16.7%","21.0%","17.6%","6.5%","9.5%","11.9%","(X)","58,196","","37,308","20,661","29,669","36,767","47,136","65,631","","22.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","251,253","36,538","165,125","1.8%","2.9%","9.3%","14.1%","20.7%","18.4%","7.2%","10.5%","14.9%","50,413","63,612","","42,072","25,733","32,342","43,285","53,435","76,098","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","238,990","27,488","139,163","1.9%","3.4%","14.9%","19.7%","21.3%","16.5%","5.6%","8.4%","8.3%","41,655","51,769","","32,013","15,120","24,057","32,011","41,527","55,462","","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,432,527","26,873","5,941,840","2.1%","5.3%","18.5%","19.5%","20.7%","12.8%","5.0%","7.1%","9.0%","(X)","51,266","","30,870","19,078","24,540","30,472","42,190","56,811","","22.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,913,115","30,509","3,288,176","1.9%","4.7%","16.8%","17.8%","19.3%","13.2%","5.5%","8.3%","12.4%","40,809","58,241","","34,263","21,151","27,375","34,354","51,395","71,471","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,519,412","24,305","2,653,664","2.3%","6.1%","20.7%","21.5%","22.4%","12.2%","4.4%","5.5%","4.8%","34,419","42,623","","27,154","15,911","21,286","26,750","37,689","48,069","","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,910,661","28,634","3,169,655","2.3%","4.7%","17.1%","17.9%","20.6%","13.8%","5.3%","8.0%","10.5%","(X)","54,311","","32,284","19,172","25,926","31,244","49,053","59,111","","22.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,559,798","32,328","1,790,289","2.0%","3.6%","14.6%","16.7%","20.0%","14.1%","5.7%","9.5%","13.9%","43,084","61,781","","38,353","21,538","30,712","37,590","60,752","75,396","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,350,863","23,962","1,379,366","2.6%","6.1%","20.3%","19.5%","21.3%","13.3%","4.7%","6.0%","6.0%","35,626","44,615","","27,879","15,087","21,348","26,308","40,409","50,827","","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","748,787","32,317","488,566","1.9%","3.3%","13.4%","17.0%","21.3%","15.8%","6.9%","10.2%","10.2%","(X)","54,626","","37,226","22,042","30,529","36,018","45,783","61,683","","22.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","407,270","37,474","288,128","1.6%","2.8%","12.7%","15.6%","18.3%","16.3%","7.7%","12.1%","12.9%","48,440","59,713","","42,094","24,560","34,113","41,881","52,090","79,975","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","341,517","27,828","200,438","2.3%","3.9%","14.3%","19.0%","25.7%","15.2%","5.8%","7.5%","6.3%","40,370","47,313","","31,788","18,699","25,050","30,067","39,753","51,781","","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","814,254","25,138","474,294","2.3%","5.1%","18.0%","20.1%","21.9%","13.0%","4.4%","7.8%","7.4%","(X)","48,631","","30,477","20,425","25,126","29,000","38,960","56,773","","18.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","445,512","31,126","293,841","2.0%","3.3%","15.0%","18.4%","22.1%","14.2%","5.0%","10.0%","10.0%","41,278","55,150","","36,547","26,745","31,652","35,248","50,329","72,137","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","368,742","19,768","180,453","2.9%","8.0%","22.8%","22.8%","21.5%","10.9%","3.5%","4.3%","3.2%","31,368","38,016","","22,776","11,382","19,697","22,419","30,945","45,791","","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,760,412","31,655","4,201,828","1.7%","3.0%","13.7%","15.4%","19.5%","15.6%","6.9%","10.6%","13.6%","(X)","62,853","","37,343","21,152","29,119","33,400","51,107","68,340","","20.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,526,886","38,517","2,395,195","1.5%","2.4%","11.2%","13.5%","18.2%","15.7%","7.5%","12.1%","17.8%","51,510","71,913","","45,134","25,122","34,612","41,812","62,318","85,765","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,233,526","26,262","1,806,633","2.0%","3.8%","17.0%","17.8%","21.1%","15.6%","6.1%","8.7%","8.0%","40,679","50,841","","31,180","16,381","22,467","27,463","41,586","57,612","","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,400,553","28,148","2,081,111","2.0%","3.9%","15.3%","19.2%","22.3%","15.4%","5.8%","7.9%","8.2%","(X)","52,260","","32,622","20,392","27,928","31,675","44,939","59,150","","17.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,781,781","34,906","1,203,228","1.6%","3.1%","11.9%","16.1%","21.4%","17.4%","7.1%","10.1%","11.4%","46,300","60,180","","40,816","25,043","34,910","40,827","56,886","71,610","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,618,772","22,216","877,883","2.4%","5.2%","20.1%","23.5%","23.5%","12.6%","4.0%","5.0%","3.8%","34,180","41,405","","26,817","14,756","21,476","26,090","36,855","50,823","","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,746,882","30,335","1,104,961","1.9%","3.5%","13.7%","19.2%","24.8%","16.2%","5.9%","7.3%","7.4%","(X)","51,468","","35,411","22,714","30,007","32,378","45,880","59,389","","17.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","908,882","36,376","630,738","1.5%","2.5%","10.1%","16.7%","24.8%","17.7%","7.0%","9.3%","10.4%","45,930","58,961","","41,776","26,442","36,125","41,243","56,462","69,765","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","838,000","23,771","474,223","2.4%","4.9%","18.4%","22.7%","24.8%","14.2%","4.5%","4.7%","3.4%","35,602","41,503","","28,579","17,269","21,316","26,482","39,012","51,651","","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,577,602","29,614","1,003,316","2.2%","3.9%","15.1%","18.4%","22.5%","14.9%","5.9%","7.8%","9.3%","(X)","53,490","","35,103","22,246","28,118","31,165","45,216","56,929","","17.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","840,539","35,307","587,634","2.2%","2.8%","12.7%","16.1%","21.2%","16.4%","6.4%","9.4%","12.8%","45,463","60,756","","41,248","26,795","33,713","38,285","55,898","71,426","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","737,063","23,811","415,682","2.1%","5.4%","18.5%","21.8%","24.3%","12.8%","5.2%","5.5%","4.5%","35,869","43,217","","28,191","15,553","21,791","25,526","36,464","47,155","","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,148,769","26,858","1,338,394","2.5%","5.0%","17.0%","18.6%","22.4%","14.6%","5.4%","7.1%","7.4%","(X)","49,400","","31,647","20,160","26,389","30,296","42,410","53,668","","18.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,133,594","32,108","765,797","2.3%","3.6%","13.5%","16.7%","22.3%","16.1%","6.4%","9.1%","10.1%","42,425","56,050","","38,149","22,812","32,114","37,103","51,686","69,499","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,015,175","21,937","572,597","2.7%","6.9%","21.7%","21.3%","22.6%","12.5%","4.1%","4.4%","3.9%","32,951","40,507","","26,010","14,663","20,346","24,430","35,814","48,641","","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,259,995","29,413","1,469,786","2.4%","5.8%","16.9%","16.4%","20.6%","14.6%","5.9%","7.6%","9.7%","(X)","52,209","","33,091","19,727","27,223","31,709","46,512","58,530","","22.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,188,749","37,336","832,448","2.1%","4.0%","11.8%","14.1%","19.4%","17.1%","7.2%","10.0%","14.5%","48,318","62,049","","42,277","26,583","38,693","42,561","59,757","76,028","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,071,246","22,079","637,338","2.9%","8.3%","23.6%","19.4%","22.1%","11.4%","4.2%","4.6%","3.5%","31,865","39,357","","25,787","12,895","20,278","25,018","40,814","49,108","","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","727,187","27,200","422,046","1.7%","3.4%","15.3%","20.8%","22.9%","15.6%","5.1%","7.2%","7.9%","(X)","50,609","","31,379","19,984","25,821","30,688","40,854","51,108","","15.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","369,289","31,743","232,448","1.8%","2.5%","12.0%","18.5%","22.3%","17.7%","5.7%","8.4%","11.1%","43,950","57,469","","36,856","21,984","30,876","37,056","49,173","63,927","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","357,898","23,117","189,598","1.5%","4.5%","19.3%","23.7%","23.7%","13.1%","4.4%","5.7%","4.0%","35,420","42,200","","26,825","11,968","20,754","25,745","35,936","45,080","","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,307,807","40,130","2,202,848","1.2%","2.8%","9.1%","12.7%","18.6%","16.7%","7.5%","12.9%","18.5%","(X)","69,564","","46,114","24,752","32,162","41,182","60,060","79,134","","21.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,671,937","44,825","1,184,616","1.0%","2.6%","7.8%","11.3%","17.3%","16.0%","7.4%","13.3%","23.4%","58,746","77,767","","51,665","29,279","37,535","50,336","70,250","97,411","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,635,870","35,197","1,018,232","1.4%","3.0%","10.6%","14.4%","20.1%","17.4%","7.7%","12.5%","12.9%","50,211","60,021","","40,733","19,618","27,447","35,568","51,134","65,554","","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,789,684","36,914","2,263,015","1.3%","1.9%","8.0%","12.8%","19.1%","17.2%","8.1%","13.2%","18.4%","(X)","72,888","","44,510","22,714","31,785","38,542","56,296","71,634","","21.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,926,186","44,463","1,285,859","1.0%","1.6%","6.9%","11.1%","16.8%","16.9%","8.1%","14.0%","23.7%","60,588","82,040","","51,632","27,126","40,060","46,598","69,509","90,198","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,863,498","31,059","977,156","1.6%","2.2%","9.5%","15.0%","22.1%","17.7%","8.1%","12.2%","11.6%","49,470","60,845","","37,195","19,776","25,369","32,227","46,188","61,530","","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,954,934","27,346","2,865,030","2.3%","3.6%","14.4%","16.6%","20.5%","15.1%","6.9%","10.2%","10.3%","(X)","55,622","","32,886","19,141","26,166","30,719","47,043","65,897","","18.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,560,996","33,263","1,640,457","2.0%","2.9%","11.9%","14.3%","19.3%","15.9%","7.5%","12.1%","14.0%","49,449","62,905","","40,970","22,485","31,640","38,760","59,961","79,998","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,393,938","22,132","1,224,573","2.7%","4.6%","17.8%","19.8%","22.0%","14.1%","6.1%","7.6%","5.3%","37,258","45,866","","27,133","13,386","20,586","24,906","38,760","55,582","","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,136,081","32,347","1,901,502","1.5%","2.9%","10.7%","15.6%","22.7%","17.0%","6.9%","10.5%","12.1%","(X)","60,553","","39,167","20,820","30,359","35,728","50,975","65,317","","16.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,626,039","40,019","1,087,925","1.3%","2.3%","8.7%","13.3%","21.0%","18.1%","7.4%","12.1%","15.8%","51,340","67,879","","45,860","24,795","35,666","42,106","61,918","78,301","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,510,042","27,091","813,577","1.8%","3.7%","13.5%","18.7%","24.9%","15.6%","6.3%","8.4%","7.2%","41,082","50,757","","32,037","16,040","23,370","29,703","41,442","57,883","","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,361,497","25,610","866,941","2.7%","6.2%","19.5%","21.0%","22.1%","12.4%","4.9%","5.3%","5.9%","(X)","44,569","","29,756","18,810","25,404","28,201","40,577","47,970","","20.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","696,923","30,697","475,451","2.2%","4.0%","15.9%","19.7%","21.8%","13.9%","6.4%","7.3%","8.8%","39,956","51,997","","35,232","22,734","31,037","35,496","51,202","59,497","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","664,574","21,113","391,490","3.3%","8.9%","23.8%","22.6%","22.4%","10.7%","3.2%","2.7%","2.3%","30,667","35,547","","24,129","14,156","19,724","22,466","35,388","42,153","","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,153,160","28,053","1,966,077","2.3%","4.4%","16.1%","19.3%","21.5%","14.6%","5.8%","7.6%","8.4%","(X)","51,290","","32,206","18,937","26,808","30,858","43,178","55,820","","19.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,620,195","32,265","1,092,354","1.7%","3.6%","13.4%","16.9%","20.6%","16.0%","6.6%","9.2%","12.0%","43,921","59,162","","39,047","23,507","31,581","37,748","54,083","70,455","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,532,965","23,449","873,723","3.0%","5.5%","19.4%","22.4%","22.6%","12.8%","4.8%","5.5%","3.9%","34,708","41,449","","27,726","14,707","21,507","25,923","37,091","48,416","","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","559,702","25,105","318,523","2.7%","5.8%","17.3%","18.9%","21.3%","14.7%","5.5%","6.2%","7.7%","(X)","49,353","","30,278","20,807","24,588","27,922","37,477","51,447","","19.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","293,915","30,832","183,141","3.1%","4.6%","12.6%","15.8%","21.6%","16.0%","6.8%","8.4%","11.1%","42,942","56,844","","36,381","26,257","30,749","35,101","47,194","61,095","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","265,787","21,098","135,382","2.1%","7.4%","23.5%","23.0%","21.0%","12.8%","3.7%","3.2%","3.2%","31,564","39,220","","24,834","12,324","20,226","23,044","31,802","45,146","","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,072,252","28,529","684,703","2.2%","3.7%","16.4%","18.8%","23.1%","15.2%","5.5%","7.0%","8.1%","(X)","51,014","","33,370","22,195","27,285","31,312","44,237","55,312","","16.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","565,763","34,977","395,601","1.8%","2.7%","12.5%","16.3%","23.2%","16.8%","6.4%","8.9%","11.4%","45,037","58,477","","40,717","24,469","33,131","40,169","53,701","67,071","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","506,489","22,958","289,102","2.7%","5.1%","21.8%","22.1%","23.1%","13.0%","4.1%","4.5%","3.7%","33,385","40,802","","27,461","19,485","21,525","25,242","35,789","50,322","","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,425,639","29,610","879,470","2.1%","3.6%","15.3%","21.2%","20.6%","13.9%","6.3%","8.6%","8.5%","(X)","52,044","","32,170","23,119","28,722","32,222","45,626","61,380","","22.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","765,948","32,044","496,094","2.0%","3.7%","13.5%","17.9%","19.7%","14.8%","7.0%","10.1%","11.2%","42,682","58,349","","36,240","24,180","32,313","37,223","51,482","72,269","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","659,691","26,127","383,376","2.3%","3.4%","17.6%","25.4%","21.8%","12.7%","5.2%","6.6%","5.0%","35,557","43,885","","29,630","21,793","25,150","28,718","40,618","54,214","","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","775,793","33,956","467,449","1.6%","1.7%","9.9%","15.2%","22.7%","17.9%","6.2%","10.8%","13.9%","(X)","62,338","","40,282","24,898","32,463","36,715","49,845","61,208","","15.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","407,779","41,139","272,603","1.2%","1.8%","7.8%","11.4%","21.1%","18.4%","7.2%","12.4%","18.8%","52,954","70,893","","47,412","28,822","38,928","46,132","65,054","81,998","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
