"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Full-time, year-round workers with earnings!!$10,000 to $14,999","Full-time, year-round workers with earnings!!$15,000 to $24,999","Full-time, year-round workers with earnings!!$25,000 to $34,999","Full-time, year-round workers with earnings!!$35,000 to $49,999","Full-time, year-round workers with earnings!!$50,000 to $64,999","Full-time, year-round workers with earnings!!$65,000 to $74,999","Full-time, year-round workers with earnings!!$75,000 to $99,999","Full-time, year-round workers with earnings!!$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"        Estimate","239,575","43,513","152,902","1.0%","2.1%","10.9%","11.0%","16.4%","17.3%","10.0%","14.2%","17.1%","57,318","68,809","","52,249","36,313","42,439","50,920","66,732","85,942","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","185,348","30,993","101,395","2.1%","2.4%","10.1%","16.4%","23.1%","18.1%","7.9%","11.6%","8.2%","46,288","53,396","","37,010","19,528","28,497","33,748","47,253","63,079","","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,224,513","29,737","2,010,469","2.1%","4.6%","15.8%","17.6%","21.2%","13.8%","5.6%","8.7%","10.6%","(X)","54,393","","33,957","19,554","27,120","32,971","46,407","60,458","","22.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,727,569","32,283","1,167,889","2.0%","4.1%","14.9%","15.4%","19.6%","14.6%","5.9%","9.7%","13.8%","43,945","60,320","","38,707","21,642","30,838","39,029","56,823","79,239","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,496,944","25,423","842,580","2.2%","5.3%","17.2%","20.6%","23.3%","12.7%","5.1%","7.2%","6.2%","36,916","46,177","","30,409","15,289","22,813","30,022","39,144","50,041","","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,409,231","26,367","915,298","2.2%","5.8%","20.3%","20.0%","20.7%","13.5%","4.5%","6.3%","6.8%","(X)","47,721","","30,727","20,961","25,749","29,634","43,020","55,818","","18.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","744,586","31,314","526,909","1.6%","4.7%","16.4%","19.2%","20.5%","15.0%","5.2%","7.8%","9.4%","39,916","54,397","","35,986","23,176","30,959","37,120","51,112","71,117","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","664,645","21,673","388,389","2.9%","7.2%","25.7%","21.0%","20.9%","11.3%","3.7%","4.1%","3.2%","31,161","38,663","","25,465","15,918","20,600","23,555","37,963","48,310","","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,566,697","31,232","11,930,534","1.9%","4.2%","14.9%","13.9%","17.3%","13.5%","6.3%","10.8%","17.2%","(X)","65,748","","36,900","19,839","27,664","36,015","55,900","77,653","","20.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,572,398","35,902","7,077,748","1.7%","3.6%","14.1%","13.3%","16.3%","13.2%","6.2%","11.0%","20.6%","50,539","72,098","","41,796","22,754","31,818","42,235","66,449","95,668","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,994,299","26,387","4,852,786","2.3%","5.1%","16.1%","14.8%","18.9%","13.8%","6.4%","10.5%","12.2%","42,486","56,486","","31,489","15,017","22,447","30,539","48,016","65,239","","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,029,062","32,379","1,899,872","1.9%","3.4%","12.2%","14.8%","21.3%","15.4%","6.9%","10.5%","13.7%","(X)","61,876","","39,341","23,004","30,568","35,329","48,818","64,861","","19.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,628,333","38,318","1,119,192","1.8%","2.9%","10.7%","13.8%","19.1%","15.4%","7.0%","11.8%","17.5%","50,898","69,082","","45,439","26,653","34,983","41,333","60,936","81,304","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,400,729","27,667","780,680","2.1%","4.1%","14.2%","16.4%","24.4%","15.2%","6.7%","8.6%","8.3%","41,690","51,546","","32,516","16,282","24,711","30,074","40,656","52,151","","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,001,046","38,443","1,215,225","1.3%","1.8%","8.1%","11.9%","18.7%","16.2%","8.2%","13.3%","20.4%","(X)","79,199","","45,481","22,153","32,916","40,502","61,087","76,885","","20.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,033,981","45,271","697,824","1.2%","1.4%","7.2%","10.3%","16.9%","16.2%","7.9%","13.5%","25.4%","61,385","90,428","","52,055","26,413","40,839","47,940","74,544","99,929","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","967,065","31,711","517,401","1.4%","2.3%","9.4%","14.2%","21.1%","16.3%","8.7%","13.1%","13.5%","50,706","64,054","","38,473","17,988","26,644","34,056","49,762","65,541","","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","494,290","32,825","315,362","1.4%","3.2%","10.9%","17.0%","21.7%","15.7%","6.9%","11.1%","12.0%","(X)","58,701","","39,259","24,636","31,910","35,851","51,577","62,490","","24.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","249,144","37,458","169,143","1.3%","2.6%","9.8%","14.9%","18.8%","17.1%","7.6%","12.5%","15.4%","50,976","65,666","","45,521","29,092","37,008","41,501","62,873","74,040","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","245,146","29,938","146,219","1.6%","3.9%","12.2%","19.3%","25.1%","14.1%","6.0%","9.5%","8.1%","41,278","50,644","","35,182","18,253","26,418","31,699","46,103","52,506","","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,657,857","27,250","6,175,855","2.2%","5.0%","18.6%","19.0%","20.6%","13.2%","4.9%","7.2%","9.3%","(X)","51,813","","31,171","18,716","25,206","30,779","43,378","56,526","","21.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,037,238","30,994","3,449,358","2.2%","4.2%","17.0%","17.1%","19.5%","13.9%","5.1%","8.3%","12.6%","40,971","58,752","","35,473","21,115","28,407","35,799","51,560","72,073","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,620,619","24,715","2,726,497","2.3%","6.0%","20.6%","21.4%","22.0%","12.2%","4.5%","5.8%","5.2%","34,768","43,035","","27,330","15,358","21,170","26,904","38,512","47,115","","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,993,010","29,939","3,247,190","2.1%","4.7%","16.3%","17.9%","20.4%","14.0%","5.5%","8.1%","11.1%","(X)","55,276","","33,708","20,061","26,197","31,393","48,679","61,176","","21.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,601,397","33,187","1,823,376","1.8%","3.6%","14.5%","16.5%","19.4%","14.4%","5.9%","9.1%","14.9%","44,623","62,698","","39,438","22,079","30,833","38,464","60,622","80,181","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,391,613","25,241","1,423,814","2.5%","6.1%","18.6%","19.6%","21.6%","13.5%","5.1%","6.8%","6.2%","36,468","45,772","","29,485","15,140","21,178","26,429","40,749","52,086","","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","759,063","33,473","508,398","2.0%","2.7%","12.5%","17.5%","23.2%","15.5%","7.2%","9.9%","9.5%","(X)","54,376","","37,399","23,579","30,509","36,132","49,725","62,707","","20.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","411,416","37,684","295,372","1.8%","2.2%","12.2%","14.8%","22.2%","16.0%","7.4%","11.5%","11.8%","46,786","58,884","","41,742","25,514","33,182","41,022","55,980","77,114","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","347,647","30,297","213,026","2.2%","3.2%","12.9%","21.4%","24.6%","14.9%","7.0%","7.7%","6.2%","40,162","48,125","","32,301","22,155","26,388","30,923","42,659","52,559","","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","828,700","25,145","483,943","2.6%","4.8%","18.7%","20.2%","18.9%","13.3%","5.7%","7.2%","8.5%","(X)","50,338","","30,478","22,514","24,752","28,029","41,423","56,784","","19.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","445,856","31,341","292,838","2.2%","3.4%","14.6%","18.6%","18.8%","14.6%","6.8%","9.5%","11.5%","42,624","58,426","","36,981","27,450","31,192","36,384","53,086","71,894","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","382,844","20,263","191,105","3.2%","7.0%","25.1%","22.7%","19.1%","11.4%","4.0%","3.7%","3.9%","31,019","37,944","","23,001","15,502","18,192","21,903","33,157","45,821","","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,806,184","31,994","4,283,866","1.6%","3.0%","13.4%","15.3%","19.5%","15.9%","6.6%","11.0%","13.8%","(X)","62,734","","38,097","21,533","28,847","34,676","51,638","67,863","","20.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,573,355","39,221","2,450,562","1.4%","2.5%","11.0%","13.1%","18.3%","16.1%","7.1%","12.6%","17.9%","51,652","71,055","","45,485","26,137","35,105","42,120","62,848","85,444","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,232,829","26,713","1,833,304","1.8%","3.7%","16.6%","18.1%","21.1%","15.5%","6.0%","9.0%","8.3%","40,898","51,611","","31,447","16,495","22,196","28,030","42,337","57,390","","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,459,819","28,977","2,129,921","1.9%","3.7%","14.6%","19.3%","22.9%","15.7%","5.7%","7.9%","8.3%","(X)","51,866","","33,475","21,065","29,174","31,976","44,424","57,085","","17.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,810,457","35,404","1,229,137","1.6%","3.0%","11.2%","15.9%","22.4%","17.8%","6.9%","9.9%","11.3%","46,273","59,164","","40,972","24,977","35,780","40,775","55,306","68,125","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,649,362","22,976","900,784","2.3%","4.7%","19.2%","24.1%","23.5%","12.9%","4.1%","5.3%","4.1%","34,846","41,909","","27,327","15,571","21,645","26,647","36,787","50,229","","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,766,951","30,846","1,116,911","2.0%","3.4%","12.8%","18.0%","24.5%","16.5%","6.5%","8.3%","7.9%","(X)","52,827","","36,247","25,178","29,741","34,242","46,851","60,464","","19.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","925,118","37,346","640,922","1.5%","2.8%","9.6%","14.9%","24.2%","18.4%","7.6%","10.4%","10.7%","47,202","60,031","","42,604","30,089","36,675","42,257","57,726","70,319","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","841,833","24,824","475,989","2.7%","4.2%","17.2%","22.3%","24.8%","14.0%","5.0%","5.6%","4.1%","36,522","43,127","","29,536","18,002","21,730","27,208","39,827","53,640","","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,574,375","30,384","1,006,656","2.3%","3.6%","13.9%","18.3%","23.1%","15.1%","6.0%","8.0%","9.7%","(X)","54,824","","35,743","23,067","28,063","32,063","46,785","54,289","","18.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","840,227","36,080","587,488","2.0%","2.6%","10.8%","16.5%","21.6%","16.3%","6.9%","9.8%","13.5%","46,951","62,913","","42,017","27,659","33,778","40,589","60,404","70,643","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","734,148","24,195","419,168","2.9%","5.1%","18.3%","20.8%","25.1%","13.6%","4.6%","5.4%","4.3%","36,162","43,485","","29,074","16,617","21,838","26,201","38,816","48,315","","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,162,493","26,828","1,350,176","2.1%","4.6%","17.7%","19.4%","21.2%","14.9%","5.1%","7.4%","7.5%","(X)","49,317","","31,564","20,244","26,201","30,884","43,798","53,222","","19.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,140,647","31,395","777,582","1.9%","3.4%","15.9%","17.1%","20.3%","16.3%","6.0%","9.2%","9.9%","42,203","54,969","","37,309","22,923","31,265","38,399","53,395","64,586","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,021,846","22,420","572,594","2.5%","6.1%","20.2%","22.6%","22.5%","13.1%","3.9%","5.0%","4.1%","33,704","41,642","","26,829","15,003","20,291","25,974","36,674","48,641","","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,250,657","29,486","1,487,478","2.6%","5.8%","16.8%","17.0%","20.1%","13.6%","5.6%","8.7%","9.8%","(X)","52,300","","33,355","21,053","27,446","31,702","46,903","56,644","","22.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,173,478","37,857","836,469","2.3%","4.0%","11.7%","14.3%","19.1%","15.4%","7.2%","11.5%","14.5%","48,382","62,337","","42,480","27,017","39,746","42,302","60,765","76,780","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,077,179","22,345","651,009","2.9%","8.2%","23.4%","20.5%","21.4%","11.3%","3.6%","5.0%","3.6%","31,586","39,404","","26,115","14,146","20,127","25,649","40,688","48,818","","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","737,125","27,813","426,694","2.2%","2.9%","14.5%","19.5%","22.7%","16.4%","6.2%","7.9%","7.6%","(X)","52,500","","32,062","19,375","26,240","31,134","40,695","54,404","","14.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","378,624","32,286","239,826","2.2%","2.4%","12.1%","16.3%","22.0%","18.0%","7.0%","9.6%","10.6%","45,784","59,963","","37,699","21,986","31,610","37,261","51,305","66,297","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","358,501","24,508","186,868","2.3%","3.5%","17.7%","23.6%","23.6%","14.4%","5.1%","5.8%","3.9%","36,137","42,921","","27,498","11,858","21,428","26,192","35,255","48,462","","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,312,199","40,107","2,196,275","1.3%","2.5%","9.3%","13.0%","18.2%","15.4%","7.4%","13.8%","19.1%","(X)","70,289","","46,142","25,063","32,369","41,041","59,691","79,623","","22.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,680,662","45,219","1,203,234","1.2%","2.2%","8.1%","11.9%","17.0%","15.1%","7.4%","13.8%","23.3%","59,085","77,636","","51,598","28,236","37,836","48,535","70,430","95,670","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,631,537","34,280","993,041","1.5%","2.9%","10.7%","14.4%","19.6%","15.8%","7.4%","13.8%","13.9%","50,481","61,387","","40,729","17,396","27,511","36,008","50,469","67,177","","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,844,256","37,702","2,317,505","1.2%","1.9%","8.1%","12.3%","18.3%","16.9%","8.0%","13.4%","19.9%","(X)","74,897","","45,809","23,801","32,137","38,355","57,451","72,212","","21.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,948,914","45,472","1,308,252","1.0%","1.5%","7.1%","10.2%","16.4%","16.7%","7.9%","14.2%","24.9%","61,611","84,782","","52,280","29,255","40,473","46,778","70,247","91,095","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,895,342","31,444","1,009,253","1.4%","2.4%","9.5%","14.9%","20.8%","17.2%","8.1%","12.3%","13.3%","50,459","62,083","","38,685","19,147","25,448","32,387","48,664","62,294","","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,007,623","28,204","2,936,508","2.0%","3.8%","14.0%","16.7%","20.4%","15.4%","6.8%","9.9%","11.1%","(X)","56,448","","34,548","18,457","26,372","31,332","48,731","65,473","","18.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,598,682","35,196","1,683,545","1.5%","2.9%","11.1%","14.4%","19.7%","16.0%","7.3%","12.0%","15.1%","50,157","64,119","","41,780","22,430","32,037","40,680","61,353","80,586","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,408,941","22,266","1,252,963","2.5%","4.9%","17.9%","19.8%","21.3%","14.6%","6.2%","7.2%","5.7%","37,419","46,141","","27,351","13,077","20,627","25,331","39,311","56,148","","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,163,752","33,720","1,939,959","1.5%","2.5%","10.5%","15.3%","22.2%","17.3%","7.1%","10.5%","13.1%","(X)","62,646","","40,378","21,937","30,858","36,338","51,226","66,580","","16.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,644,180","40,477","1,115,753","1.4%","2.2%","8.5%","13.0%","20.9%","18.2%","7.3%","11.6%","16.8%","51,625","70,229","","46,467","25,878","36,487","43,735","61,303","80,370","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,519,572","28,489","824,206","1.6%","2.9%","13.2%","18.3%","24.0%","16.2%","6.8%","9.0%","8.0%","42,066","52,381","","33,225","16,995","24,041","30,596","42,415","60,967","","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,357,020","26,631","882,575","2.9%","5.7%","18.9%","19.7%","22.1%","13.4%","4.5%","6.2%","6.6%","(X)","46,267","","30,933","20,301","26,236","29,733","41,004","50,912","","19.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","699,587","31,645","487,633","2.6%","4.0%","15.2%","17.6%","22.5%","15.5%","5.0%","7.8%","9.7%","40,850","53,276","","36,465","22,703","31,613","37,059","51,444","63,078","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","657,433","22,064","394,942","3.3%","7.7%","23.4%","22.4%","21.5%","10.8%","3.9%","4.2%","2.9%","31,465","37,613","","25,617","15,565","20,172","23,586","35,579","45,976","","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,142,868","28,875","1,971,411","1.9%","4.2%","15.5%","19.0%","22.3%","14.2%","5.8%","8.2%","8.8%","(X)","52,646","","33,275","20,342","27,080","31,398","44,221","55,536","","18.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,620,865","33,532","1,089,468","1.6%","3.5%","12.2%","16.4%","21.3%","15.5%","6.9%","10.2%","12.3%","45,611","60,492","","40,177","22,690","31,903","38,684","55,392","71,766","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,522,003","24,288","881,943","2.3%","5.1%","19.6%","22.2%","23.5%","12.6%","4.5%","5.8%","4.4%","35,311","42,954","","28,682","16,734","21,322","26,428","37,186","48,565","","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","562,147","25,614","326,317","3.1%","4.8%","16.7%","19.8%","21.0%","14.1%","5.3%","7.7%","7.5%","(X)","48,410","","30,731","20,119","25,751","28,274","37,487","50,584","","20.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","300,213","31,519","193,808","3.4%","4.1%","12.0%","17.0%","21.9%","15.8%","6.1%","9.8%","10.0%","42,679","54,488","","37,334","24,256","31,807","36,526","46,526","60,034","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","261,934","20,972","132,509","2.7%","5.8%","23.7%","23.9%","19.8%","11.7%","4.0%","4.7%","3.7%","31,696","39,520","","24,241","13,353","20,106","22,079","31,197","45,027","","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,085,266","30,041","710,370","1.9%","3.8%","15.6%","19.6%","23.1%","15.2%","5.3%","7.6%","8.1%","(X)","51,036","","35,066","22,122","28,617","32,312","43,402","56,915","","17.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","570,748","35,592","412,068","1.6%","2.8%","12.4%","17.4%","22.2%","16.7%","6.2%","9.4%","11.3%","44,533","57,832","","41,185","24,540","35,060","41,305","53,189","70,410","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","514,518","24,139","298,302","2.3%","5.1%","19.8%","22.5%","24.3%","13.2%","4.0%","5.2%","3.6%","35,101","41,649","","28,606","17,215","21,996","26,380","36,896","51,437","","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,446,829","30,229","909,019","1.8%","3.6%","15.9%","20.2%","22.0%","14.0%","6.0%","8.1%","8.5%","(X)","50,864","","32,363","23,029","29,608","34,121","45,505","58,182","","22.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","778,708","32,408","521,655","1.5%","3.2%","14.1%","18.2%","20.9%","14.5%","7.1%","9.4%","11.0%","42,294","56,051","","36,929","25,794","31,723","40,054","51,111","66,334","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","668,121","26,211","387,364","2.1%","4.2%","18.2%","22.9%","23.5%","13.3%","4.6%","6.2%","5.0%","35,993","43,878","","30,185","19,427","25,606","30,204","39,996","51,667","","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","778,459","35,231","481,919","1.6%","2.0%","9.3%","15.5%","20.9%","16.7%","7.4%","11.6%","15.0%","(X)","64,369","","41,105","29,231","31,871","38,384","51,965","65,924","","15.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","406,012","41,822","275,852","1.5%","1.7%","7.6%","11.9%","19.0%","16.6%","7.6%","13.5%","20.6%","55,617","73,758","","50,364","31,813","38,871","47,399","71,237","87,685","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
