"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","Full-time, year-round workers with earnings!!$1 to $9,999 or loss","Full-time, year-round workers with earnings!!$10,000 to $14,999","Full-time, year-round workers with earnings!!$15,000 to $24,999","Full-time, year-round workers with earnings!!$25,000 to $34,999","Full-time, year-round workers with earnings!!$35,000 to $49,999","Full-time, year-round workers with earnings!!$50,000 to $64,999","Full-time, year-round workers with earnings!!$65,000 to $74,999","Full-time, year-round workers with earnings!!$75,000 to $99,999","Full-time, year-round workers with earnings!!$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"        Estimate","240,834","41,430","145,295","1.6%","1.5%","10.7%","12.0%","16.4%","15.8%","9.5%","15.1%","17.4%","55,752","69,170","","51,160","26,389","41,365","50,968","64,905","77,073","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","187,470","29,648","99,049","2.2%","3.7%","10.0%","18.0%","22.0%","16.7%","8.0%","12.7%","6.8%","43,455","52,903","","34,713","16,073","25,312","31,797","42,423","64,785","","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,285,849","30,110","2,075,173","1.9%","4.7%","15.0%","18.2%","21.3%","13.5%","5.7%","8.7%","11.0%","(X)","54,810","","35,016","20,377","27,947","33,632","49,801","60,884","","22.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,750,793","32,726","1,194,928","1.8%","4.4%","13.4%","16.4%","19.8%","14.0%","5.9%","9.9%","14.5%","44,421","60,980","","40,163","22,690","31,563","40,033","60,684","77,580","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,535,056","25,860","880,245","1.9%","5.2%","17.1%","20.7%","23.3%","12.9%","5.5%","7.0%","6.3%","37,084","46,434","","30,484","15,639","23,454","30,015","40,862","50,530","","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,418,460","26,798","918,753","2.3%","5.0%","18.8%","20.4%","21.2%","12.9%","5.1%","6.9%","7.3%","(X)","48,848","","30,983","21,608","26,241","30,020","42,828","55,490","","19.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","746,565","31,104","518,252","2.1%","4.2%","15.1%","19.2%","20.9%","13.9%","5.6%","8.7%","10.2%","40,570","55,540","","35,947","25,422","31,159","36,451","52,803","71,766","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","671,895","22,642","400,501","2.6%","6.2%","23.6%","22.0%","21.6%","11.6%","4.4%","4.5%","3.6%","32,003","40,188","","26,448","16,301","20,966","25,367","38,758","50,082","","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,902,482","31,733","12,337,570","1.8%","3.9%","14.9%","14.2%","17.1%","13.4%","6.1%","10.8%","17.9%","(X)","66,505","","37,476","20,880","29,108","36,161","57,282","80,442","","20.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,753,764","36,556","7,299,211","1.5%","3.5%","14.0%","13.5%","16.4%","13.1%","5.9%","10.8%","21.2%","50,562","72,875","","42,110","24,014","32,194","42,159","67,274","100,017","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,148,718","27,038","5,038,359","2.2%","4.4%","16.1%","15.1%","18.1%","13.9%","6.4%","10.7%","13.1%","43,335","57,276","","31,960","16,166","23,233","30,683","50,053","66,382","","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,095,042","33,462","1,950,165","1.6%","3.1%","11.5%","15.7%","20.4%","15.5%","7.0%","10.5%","14.7%","(X)","63,209","","40,229","25,304","31,280","35,392","50,196","63,270","","20.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,665,290","40,186","1,152,336","1.3%","2.7%","9.8%","14.2%","18.5%","15.7%","7.1%","11.8%","18.8%","51,628","70,656","","46,719","30,123","36,628","41,441","61,150","82,156","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,429,752","28,642","797,829","2.0%","3.6%","14.1%","17.9%","23.1%","15.3%","6.8%","8.5%","8.8%","41,690","52,453","","32,327","16,633","25,450","29,651","40,975","52,012","","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,992,479","40,009","1,228,274","1.1%","2.0%","8.2%","11.2%","18.9%","16.4%","8.2%","13.8%","20.3%","(X)","78,579","","46,500","22,595","35,288","40,982","61,071","77,568","","19.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,026,835","46,435","698,543","1.0%","1.5%","6.9%","9.8%","16.8%","16.4%","8.1%","13.5%","25.9%","61,666","90,620","","53,355","28,932","41,902","48,484","75,348","98,411","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","965,644","32,701","529,731","1.2%","2.6%","9.9%","12.9%","21.6%","16.5%","8.2%","14.2%","12.9%","50,802","62,701","","39,554","18,348","27,322","35,862","49,547","66,887","","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","496,399","35,139","317,467","0.9%","2.2%","12.8%","14.0%","21.9%","17.7%","7.2%","10.8%","12.6%","(X)","60,580","","40,734","25,297","30,752","36,993","52,261","65,967","","23.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","250,493","40,025","170,660","0.4%","1.9%","11.8%","12.4%","21.0%","17.5%","6.9%","11.7%","16.4%","51,037","66,919","","45,135","28,306","37,460","41,490","61,339","77,467","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","245,906","30,711","146,807","1.5%","2.6%","13.9%","16.0%","22.9%","17.8%","7.5%","9.7%","8.1%","45,192","53,211","","35,938","21,795","25,000","31,528","47,232","61,040","","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,896,171","28,381","6,396,880","1.8%","4.5%","18.2%","19.3%","21.1%","13.2%","5.0%","7.2%","9.8%","(X)","52,890","","31,662","19,735","25,474","31,137","42,714","57,128","","21.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,136,920","31,441","3,545,911","1.7%","3.9%","16.4%","18.1%","19.9%","13.5%","5.3%","8.3%","13.1%","41,105","59,728","","35,830","22,216","29,254","35,610","51,349","71,555","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,759,251","25,382","2,850,969","1.9%","5.4%","20.6%","20.8%","22.6%","12.9%","4.6%","5.8%","5.6%","35,604","44,386","","28,564","15,978","21,373","27,766","38,424","50,339","","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,136,786","30,284","3,375,977","2.0%","4.4%","16.1%","17.7%","20.2%","14.2%","5.8%","8.3%","11.3%","(X)","55,874","","35,014","20,592","26,802","31,750","49,696","61,443","","21.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,660,515","35,154","1,887,342","1.8%","3.2%","13.8%","16.4%","19.9%","14.6%","6.1%","9.4%","14.9%","45,396","63,307","","40,612","23,460","31,389","40,010","60,816","77,463","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,476,271","25,277","1,488,635","2.3%","6.0%","19.1%","19.4%","20.6%","13.7%","5.4%","6.8%","6.7%","36,650","46,450","","30,052","15,891","21,762","26,624","41,262","52,399","","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","779,895","34,730","524,363","1.5%","2.5%","12.5%","17.4%","23.0%","15.8%","7.0%","10.5%","9.8%","(X)","55,439","","38,609","25,396","31,995","36,558","46,167","65,094","","23.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","424,242","38,276","305,202","1.5%","1.8%","12.0%","15.3%","20.5%","16.0%","7.7%","12.8%","12.3%","48,074","60,276","","42,851","27,409","35,842","42,900","52,348","79,582","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","355,653","30,911","219,161","1.5%","3.5%","13.2%","20.4%","26.3%","15.5%","6.0%","7.2%","6.4%","40,434","48,703","","33,381","23,051","29,653","31,266","40,741","54,900","","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","848,152","25,680","495,601","2.5%","6.0%","16.6%","18.1%","20.8%","15.0%","5.2%","8.2%","7.7%","(X)","50,196","","31,173","20,974","26,002","29,633","42,661","57,829","","18.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","456,790","32,036","300,481","1.9%","4.2%","13.3%","16.1%","21.3%","16.4%","6.1%","10.4%","10.4%","43,264","57,714","","38,315","25,828","32,008","37,009","52,109","71,006","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","391,362","19,349","195,120","3.4%","8.7%","21.6%","21.1%","20.0%","12.9%","3.9%","4.9%","3.5%","31,808","38,618","","23,534","14,680","18,745","22,364","31,865","50,584","","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,819,323","32,904","4,354,339","1.4%","2.9%","13.2%","14.7%","19.2%","15.5%","6.8%","11.4%","15.0%","(X)","64,660","","40,120","22,052","29,773","35,823","52,369","70,580","","20.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,565,406","40,856","2,494,604","1.2%","2.5%","11.1%","12.4%","17.9%","15.5%","7.2%","12.7%","19.5%","52,161","73,583","","47,097","26,085","36,067","45,093","66,277","87,924","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,253,917","27,150","1,859,735","1.7%","3.3%","16.0%","17.7%","21.0%","15.5%","6.3%","9.6%","8.8%","41,327","52,690","","31,942","17,170","22,375","28,612","43,487","60,300","","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,467,191","30,229","2,183,232","1.8%","3.7%","14.3%","18.5%","22.1%","15.7%","6.0%","8.7%","9.1%","(X)","53,380","","35,368","21,431","30,137","32,335","46,884","60,699","","18.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,818,067","36,454","1,264,711","1.6%","2.8%","10.9%","15.9%","21.4%","17.2%","7.1%","10.7%","12.4%","47,092","60,575","","41,951","26,928","36,486","41,588","60,139","74,567","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,649,124","23,449","918,521","2.1%","5.0%","19.0%","22.0%","23.2%","13.7%","4.6%","5.9%","4.6%","35,753","43,474","","28,272","15,157","22,161","26,644","38,824","51,960","","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,771,284","30,916","1,126,984","2.0%","3.3%","12.6%","17.9%","24.9%","17.0%","6.0%","7.8%","8.4%","(X)","53,069","","36,469","24,854","30,734","34,482","46,518","61,206","","19.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","930,567","37,901","649,897","1.8%","2.6%","9.1%","14.5%","24.9%","19.2%","6.8%","9.7%","11.4%","47,298","60,617","","42,606","30,066","37,410","42,348","57,354","72,075","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","840,717","25,007","477,087","2.3%","4.3%","17.5%","22.6%","24.9%","14.0%","5.0%","5.3%","4.3%","36,264","42,787","","29,520","18,061","22,033","27,131","37,581","52,452","","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,588,329","31,014","1,028,583","1.9%","4.0%","13.7%","17.1%","22.9%","15.7%","5.7%","8.8%","10.1%","(X)","55,347","","36,727","23,174","28,715","33,462","46,436","59,574","","17.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","846,998","37,240","604,115","1.8%","2.6%","10.9%","15.2%","21.4%","17.1%","6.6%","10.6%","13.9%","47,864","63,358","","43,792","28,124","35,217","41,584","59,825","76,850","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","741,331","24,650","424,468","2.1%","6.0%","17.8%","19.9%","25.1%","13.8%","4.4%","6.2%","4.7%","36,671","43,946","","30,123","16,986","21,855","26,775","37,313","50,743","","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,184,272","27,807","1,378,958","1.8%","4.7%","16.8%","18.3%","22.2%","15.1%","5.7%","7.5%","7.8%","(X)","50,890","","32,495","19,482","27,326","31,285","45,058","53,986","","18.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,145,750","32,295","783,471","1.4%","4.0%","13.6%","17.0%","21.6%","16.1%","6.4%","9.5%","10.5%","43,037","57,606","","39,086","21,464","32,679","39,972","52,231","66,330","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,038,522","23,160","595,487","2.4%","5.6%","21.2%","20.1%","22.9%","14.0%","4.7%","4.9%","4.3%","35,294","42,053","","27,461","15,185","21,511","25,453","38,970","50,465","","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,261,057","30,263","1,483,487","2.0%","5.9%","16.4%","16.0%","20.8%","13.8%","5.9%","8.5%","10.7%","(X)","53,734","","35,208","20,694","28,713","31,959","46,367","57,131","","22.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,174,166","37,630","826,514","1.8%","4.0%","12.3%","13.6%","18.5%","15.6%","7.2%","11.3%","15.7%","49,730","63,850","","43,660","26,765","38,268","42,336","60,238","72,160","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,086,891","23,460","656,973","2.4%","8.2%","21.5%","19.0%","23.8%","11.5%","4.2%","5.1%","4.3%","33,832","41,006","","27,026","13,918","20,576","25,481","40,497","50,711","","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","734,760","29,367","424,590","1.6%","2.7%","12.2%","20.3%","22.9%","17.5%","6.2%","8.3%","8.2%","(X)","53,116","","33,282","20,130","27,259","32,010","41,214","54,528","","14.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","377,786","34,492","238,925","1.4%","2.3%","9.7%","17.0%","22.6%","19.1%","7.1%","9.7%","11.1%","46,934","59,774","","40,312","21,871","32,367","40,628","50,731","65,953","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","356,974","25,045","185,665","1.8%","3.2%","15.5%","24.6%","23.3%","15.5%","5.0%","6.6%","4.5%","36,841","44,549","","28,557","15,796","21,708","27,097","35,093","50,184","","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,334,303","40,893","2,258,188","1.3%","2.7%","9.2%","12.7%","17.5%","15.6%","7.8%","13.9%","19.2%","(X)","70,648","","47,312","25,074","34,243","41,290","60,745","81,087","","21.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,705,678","46,509","1,234,125","1.2%","2.3%","7.9%","11.6%","16.0%","15.5%","7.9%","13.7%","23.9%","60,591","78,655","","52,469","28,515","40,474","50,219","70,850","98,774","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,628,625","35,647","1,024,063","1.5%","3.2%","10.9%","14.0%","19.2%","15.8%","7.6%","14.2%","13.7%","50,635","61,000","","41,249","18,475","28,176","35,791","51,398","68,399","","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,897,449","38,648","2,347,556","1.1%","1.8%","7.6%","12.3%","18.0%","16.8%","8.5%","13.1%","20.8%","(X)","75,445","","46,480","23,077","32,480","38,797","57,285","74,405","","21.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,980,825","45,792","1,328,560","1.1%","1.3%","6.8%","11.0%","16.0%","16.2%","8.0%","13.9%","25.8%","61,761","84,941","","52,364","26,660","40,770","48,314","70,358","91,712","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,916,624","31,845","1,018,996","1.2%","2.5%","8.7%","13.9%","20.6%","17.6%","9.1%","12.1%","14.3%","51,343","63,065","","40,032","18,551","26,188","32,133","48,867","64,312","","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,055,873","29,704","3,002,818","1.9%","3.8%","13.5%","16.5%","20.2%","15.7%","6.8%","10.1%","11.5%","(X)","57,225","","35,543","20,106","26,835","31,865","49,839","66,580","","18.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,633,133","36,390","1,748,524","1.6%","3.1%","10.7%","13.7%","19.6%","16.6%","7.3%","11.9%","15.4%","50,479","64,879","","42,581","23,165","32,386","41,495","61,593","82,188","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,422,740","22,803","1,254,294","2.2%","4.8%","17.4%","20.3%","21.1%","14.5%","6.1%","7.6%","6.0%","37,486","46,554","","28,008","15,103","20,910","25,811","39,268","55,453","","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,209,787","35,147","1,965,519","1.5%","2.3%","10.0%","14.8%","22.6%","17.3%","7.4%","10.9%","13.3%","(X)","62,792","","40,851","22,801","31,311","36,845","51,601","67,260","","16.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,669,245","40,930","1,124,421","1.3%","2.0%","8.0%","12.4%","21.3%","17.9%","8.0%","12.3%","16.8%","51,979","70,344","","47,156","26,844","37,256","43,917","62,708","77,837","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,540,542","29,658","841,098","1.7%","2.8%","12.7%","18.0%","24.2%","16.4%","6.6%","9.1%","8.5%","42,137","52,697","","34,598","18,061","24,020","31,099","42,703","60,319","","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,349,501","26,953","895,322","2.2%","6.2%","19.0%","20.6%","21.2%","13.4%","4.6%","6.6%","6.1%","(X)","45,579","","31,090","21,833","26,411","30,679","39,960","51,111","","20.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","699,237","31,700","493,222","1.8%","5.3%","14.7%","18.1%","21.6%","15.5%","5.8%","8.6%","8.7%","41,092","52,139","","36,874","26,393","31,921","40,003","50,472","65,574","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","650,264","22,381","402,100","2.8%","7.3%","24.3%","23.6%","20.7%","10.9%","3.2%","4.2%","2.9%","31,110","37,531","","26,048","14,547","20,436","25,007","35,298","45,720","","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,198,822","30,139","2,061,835","2.1%","4.4%","15.1%","17.9%","22.2%","14.7%","6.0%","8.3%","9.3%","(X)","53,433","","35,129","21,161","27,375","32,114","45,607","57,209","","19.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,651,314","35,628","1,146,359","1.8%","3.2%","12.4%","15.1%","22.0%","15.7%","7.0%","10.2%","12.5%","45,897","60,772","","41,116","25,521","32,237","40,747","56,248","71,480","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,547,508","24,872","915,476","2.4%","5.8%","18.5%","21.5%","22.5%","13.4%","4.7%","6.1%","5.2%","35,759","44,242","","29,619","16,200","21,728","26,626","38,258","50,944","","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","561,236","27,317","339,954","2.8%","4.6%","16.4%","17.6%","21.7%","15.8%","5.5%","7.2%","8.4%","(X)","51,038","","31,848","17,549","26,806","30,429","39,292","52,284","","19.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","300,969","32,489","196,861","2.4%","4.0%","13.0%","14.6%","20.4%","18.3%","5.9%","10.1%","11.5%","46,123","58,297","","40,107","20,952","33,515","37,416","49,881","60,904","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","260,267","22,262","143,093","3.3%","5.4%","21.2%","21.8%","23.4%","12.3%","5.0%","3.3%","4.3%","33,443","41,050","","26,231","15,454","20,361","24,479","32,546","50,192","","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,092,495","31,024","709,626","2.0%","3.4%","14.0%","17.6%","23.0%","16.7%","6.3%","8.5%","8.4%","(X)","53,088","","36,403","22,266","29,307","34,836","46,833","60,470","","17.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","574,899","36,817","416,170","1.6%","2.5%","11.7%","15.3%","22.3%","17.6%","7.5%","10.0%","11.4%","46,763","59,769","","42,172","25,734","35,451","42,087","56,216","71,396","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","517,596","25,264","293,456","2.6%","4.7%","17.3%","20.9%","23.9%","15.4%","4.6%","6.2%","4.3%","36,834","43,614","","30,440","16,870","21,880","27,610","40,251","52,149","","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,483,087","30,799","926,935","1.5%","3.1%","14.8%","20.7%","22.3%","14.2%","6.3%","8.2%","9.0%","(X)","52,602","","33,755","25,316","30,254","33,253","45,977","62,155","","21.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","795,722","33,560","532,543","1.3%","2.8%","13.2%","18.5%","21.2%","14.7%","7.1%","9.7%","11.5%","43,681","57,807","","37,724","27,209","32,257","40,010","51,898","75,043","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","687,365","26,848","394,392","1.8%","3.4%","16.9%","23.6%","23.6%","13.6%","5.2%","6.3%","5.6%","36,565","45,574","","30,713","20,945","26,105","30,389","40,217","55,266","","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","785,939","36,500","487,614","1.1%","1.9%","8.7%","14.1%","22.9%","16.5%","7.0%","11.6%","16.1%","(X)","66,497","","42,178","29,179","33,726","40,122","51,426","67,491","","16.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","409,361","42,344","280,039","1.0%","1.8%","6.6%","11.1%","21.0%","15.9%","7.5%","13.5%","21.6%","56,525","76,386","","50,676","32,413","40,392","47,694","70,110","90,846","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
