"Label (Grouping)","Population 16 years and over with earnings","Population 16 years and over with earnings!!Median earnings (dollars)","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$1 to $9,999 or loss","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$10,000 to $14,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$15,000 to $24,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$25,000 to $34,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$35,000 to $49,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$50,000 to $64,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$65,000 to $74,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$75,000 to $99,999","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Median earnings (dollars) for full-time, year-round workers with earnings","Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!Mean earnings (dollars) for full-time, year-round workers with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","224,873","46,001","146,178","1,212","2,579","14,587","17,005","23,193","24,436","14,027","20,518","28,621","60,147","70,419","","52,364","26,958","41,799","55,895","63,483","79,070"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","224,873","(X)","146,178","0.8%","1.8%","10.0%","11.6%","15.9%","16.7%","9.6%","14.0%","19.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","178,295","34,950","98,848","1,731","2,128","10,967","12,547","20,375","18,412","9,642","11,793","11,253","50,832","59,902","","40,605","20,174","27,842","37,463","47,286","67,985"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","178,295","(X)","98,848","1.8%","2.2%","11.1%","12.7%","20.6%","18.6%","9.8%","11.9%","11.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,660,483","34,397","2,408,971","46,360","59,548","292,310","404,190","518,783","366,492","151,647","238,335","331,306","45,667","61,045","","39,956","25,701","31,371","37,016","52,077","69,902"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,660,483","(X)","2,408,971","1.9%","2.5%","12.1%","16.8%","21.5%","15.2%","6.3%","9.9%","13.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,952,683","38,996","1,389,301","22,777","27,620","145,703","218,174","282,915","209,681","93,145","148,462","240,824","49,773","67,394","","44,470","30,050","35,931","42,462","64,393","85,468"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,952,683","(X)","1,389,301","1.6%","2.0%","10.5%","15.7%","20.4%","15.1%","6.7%","10.7%","17.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,707,800","30,308","1,019,670","23,583","31,928","146,607","186,016","235,868","156,811","58,502","89,873","90,482","41,496","52,395","","34,293","20,966","26,291","31,661","45,607","60,111"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,707,800","(X)","1,019,670","2.3%","3.1%","14.4%","18.2%","23.1%","15.4%","5.7%","8.8%","8.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,463,459","30,818","998,593","16,026","34,460","166,099","193,972","219,399","146,796","55,655","73,253","92,933","40,345","53,689","","35,215","25,695","30,057","31,778","46,964","62,027"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,463,459","(X)","998,593","1.6%","3.5%","16.6%","19.4%","22.0%","14.7%","5.6%","7.3%","9.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","762,694","35,650","550,991","7,833","15,089","74,875","93,471","118,122","87,039","33,883","50,481","70,198","44,631","61,770","","40,781","29,142","35,069","40,116","58,731","75,326"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","762,694","(X)","550,991","1.4%","2.7%","13.6%","17.0%","21.4%","15.8%","6.1%","9.2%","12.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","700,765","26,457","447,602","8,193","19,371","91,224","100,501","101,277","59,757","21,772","22,772","22,735","35,467","43,743","","30,148","20,921","23,669","27,318","40,269","56,093"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","700,765","(X)","447,602","1.8%","4.3%","20.4%","22.5%","22.6%","13.4%","4.9%","5.1%","5.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"California","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,742,427","39,549","13,622,265","211,992","334,618","1,380,305","1,889,309","2,385,783","1,889,841","872,789","1,585,371","3,072,257","52,566","77,330","","45,095","25,949","33,494","41,090","65,078","92,334"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,742,427","(X)","13,622,265","1.6%","2.5%","10.1%","13.9%","17.5%","13.9%","6.4%","11.6%","22.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,168,898","44,242","7,987,286","103,455","169,648","731,535","1,045,101","1,356,960","1,088,831","504,654","916,698","2,070,404","57,016","84,910","","50,839","30,720","39,805","48,759","76,836","110,857"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,168,898","(X)","7,987,286","1.3%","2.1%","9.2%","13.1%","17.0%","13.6%","6.3%","11.5%","25.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,573,529","32,406","5,634,979","108,537","164,970","648,770","844,208","1,028,823","801,010","368,135","668,673","1,001,853","50,220","66,586","","38,688","20,245","27,455","35,131","55,499","79,489"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,573,529","(X)","5,634,979","1.9%","2.9%","11.5%","15.0%","18.3%","14.2%","6.5%","11.9%","17.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,342,819","40,646","2,180,530","30,692","48,704","169,985","281,677","429,484","350,477","172,245","279,109","418,157","53,957","72,952","","46,887","30,968","35,537","40,819","58,229","71,616"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,342,819","(X)","2,180,530","1.4%","2.2%","7.8%","12.9%","19.7%","16.1%","7.9%","12.8%","19.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,796,569","48,082","1,287,384","15,983","23,811","81,091","145,854","232,557","206,346","102,410","174,767","304,565","60,334","81,117","","55,136","39,266","41,076","50,046","70,702","90,789"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,796,569","(X)","1,287,384","1.2%","1.8%","6.3%","11.3%","18.1%","16.0%","8.0%","13.6%","23.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,546,250","32,371","893,146","14,709","24,893","88,894","135,823","196,927","144,131","69,835","104,342","113,592","48,258","61,184","","38,201","20,379","27,236","31,843","47,480","60,678"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,546,250","(X)","893,146","1.6%","2.8%","10.0%","15.2%","22.0%","16.1%","7.8%","11.7%","12.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,006,182","42,196","1,259,635","19,777","18,226","80,227","131,563","215,083","209,272","105,346","186,110","294,031","61,295","86,624","","50,788","24,426","37,017","42,884","64,143","85,175"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,006,182","(X)","1,259,635","1.6%","1.4%","6.4%","10.4%","17.1%","16.6%","8.4%","14.8%","23.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,032,728","50,790","712,430","9,996","7,737","36,977","66,326","109,349","116,850","56,155","106,006","203,034","66,477","98,421","","59,349","26,992","43,576","52,000","77,320","102,157"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,032,728","(X)","712,430","1.4%","1.1%","5.2%","9.3%","15.3%","16.4%","7.9%","14.9%","28.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","973,454","36,085","547,205","9,781","10,489","43,250","65,237","105,734","92,422","49,191","80,104","90,997","55,636","71,265","","42,046","21,442","28,562","36,344","51,685","72,333"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","973,454","(X)","547,205","1.8%","1.9%","7.9%","11.9%","19.3%","16.9%","9.0%","14.6%","16.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","516,435","37,430","338,671","4,438","7,416","31,254","48,983","69,246","54,250","26,675","42,665","53,744","51,421","66,777","","43,164","31,024","33,671","38,048","56,603","70,579"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","516,435","(X)","338,671","1.3%","2.2%","9.2%","14.5%","20.4%","16.0%","7.9%","12.6%","15.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","261,502","42,673","184,330","2,158","4,712","15,589","22,053","34,576","29,926","13,671","24,258","37,387","56,350","74,386","","50,632","39,075","41,265","45,961","66,934","84,397"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","261,502","(X)","184,330","1.2%","2.6%","8.5%","12.0%","18.8%","16.2%","7.4%","13.2%","20.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","254,933","32,229","154,341","2,280","2,704","15,665","26,930","34,670","24,324","13,004","18,407","16,357","46,907","57,689","","37,424","19,243","28,688","34,361","50,667","61,011"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","254,933","(X)","154,341","1.5%","1.8%","10.1%","17.4%","22.5%","15.8%","8.4%","11.9%","10.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,777,278","31,876","7,349,397","128,374","265,131","1,108,021","1,397,477","1,527,863","1,013,067","419,173","617,258","873,033","41,299","58,265","","36,021","23,292","30,064","34,752","47,810","62,425"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,777,278","(X)","7,349,397","1.7%","3.6%","15.1%","19.0%","20.8%","13.8%","5.7%","8.4%","11.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,610,576","36,280","4,077,950","66,571","125,191","523,892","712,879","827,307","580,050","240,224","369,961","631,875","45,136","66,072","","40,688","26,745","33,051","40,306","57,084","80,861"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,610,576","(X)","4,077,950","1.6%","3.1%","12.8%","17.5%","20.3%","14.2%","5.9%","9.1%","15.5%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,166,702","28,958","3,271,447","61,803","139,940","584,129","684,598","700,556","433,017","178,949","247,297","241,158","37,458","48,534","","31,616","19,005","24,581","31,099","41,748","53,455"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,166,702","(X)","3,271,447","1.9%","4.3%","17.9%","20.9%","21.4%","13.2%","5.5%","7.6%","7.4%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,495,781","35,019","3,831,235","69,274","125,894","490,032","661,035","755,710","558,422","252,714","380,621","537,533","45,203","62,457","","40,312","25,479","31,184","35,846","53,662","70,027"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,495,781","(X)","3,831,235","1.8%","3.3%","12.8%","17.3%","19.7%","14.6%","6.6%","9.9%","14.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,827,170","40,395","2,104,995","32,937","55,646","219,911","327,080","401,726","314,289","138,225","231,468","383,713","50,346","70,663","","46,313","29,218","36,335","45,234","67,400","88,819"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,827,170","(X)","2,104,995","1.6%","2.6%","10.4%","15.5%","19.1%","14.9%","6.6%","11.0%","18.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,668,611","30,412","1,726,240","36,337","70,248","270,121","333,955","353,984","244,133","114,489","149,153","153,820","40,481","52,451","","34,251","20,170","25,338","30,197","46,720","61,467"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,668,611","(X)","1,726,240","2.1%","4.1%","15.6%","19.3%","20.5%","14.1%","6.6%","8.6%","8.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","769,472","40,240","540,144","10,016","8,374","51,369","80,318","117,475","90,227","41,039","64,200","77,126","50,223","62,599","","44,557","31,620","35,573","41,842","52,183","72,035"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","769,472","(X)","540,144","1.9%","1.6%","9.5%","14.9%","21.7%","16.7%","7.6%","11.9%","14.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","404,384","44,411","299,590","5,066","3,936","26,255","44,507","57,153","50,689","23,887","38,147","49,950","52,033","66,530","","50,142","32,580","39,809","48,032","61,876","80,771"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","404,384","(X)","299,590","1.7%","1.3%","8.8%","14.9%","19.1%","16.9%","8.0%","12.7%","16.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","365,088","36,077","240,554","4,950","4,438","25,114","35,811","60,322","39,538","17,152","26,053","27,176","46,524","57,704","","40,256","30,434","30,539","37,413","47,277","68,846"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","365,088","(X)","240,554","2.1%","1.8%","10.4%","14.9%","25.1%","16.4%","7.1%","10.8%","11.3%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","944,093","31,111","574,331","12,042","17,223","73,715","103,582","126,966","86,715","36,812","54,672","62,604","43,184","57,029","","36,445","27,667","31,395","33,984","46,364","60,816"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","944,093","(X)","574,331","2.1%","3.0%","12.8%","18.0%","22.1%","15.1%","6.4%","9.5%","10.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","510,393","37,742","349,238","7,284","7,176","38,055","51,375","74,934","56,682","26,945","37,552","49,235","48,861","63,576","","45,013","32,542","37,145","44,231","61,193","69,796"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","510,393","(X)","349,238","2.1%","2.1%","10.9%","14.7%","21.5%","16.2%","7.7%","10.8%","14.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","433,700","24,562","225,093","4,758","10,047","35,660","52,207","52,032","30,033","9,867","17,120","13,369","36,761","46,872","","28,586","19,448","23,548","26,485","37,485","52,416"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","433,700","(X)","225,093","2.1%","4.5%","15.8%","23.2%","23.1%","13.3%","4.4%","7.6%","5.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,839,352","39,055","4,606,479","74,346","111,493","441,738","660,464","839,830","727,865","343,641","567,783","839,319","51,855","71,175","","45,015","27,186","32,304","39,400","60,357","76,363"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,839,352","(X)","4,606,479","1.6%","2.4%","9.6%","14.3%","18.2%","15.8%","7.5%","12.3%","18.2%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,548,885","46,333","2,580,499","39,004","49,871","189,943","316,353","439,991","400,134","201,068","349,451","594,684","58,579","80,560","","52,301","31,539","40,659","50,143","72,449","94,878"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,548,885","(X)","2,580,499","1.5%","1.9%","7.4%","12.3%","17.1%","15.5%","7.8%","13.5%","23.0%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,290,467","31,736","2,025,980","35,342","61,622","251,795","344,111","399,839","327,731","142,573","218,332","244,635","45,967","59,221","","36,806","21,851","25,628","31,616","50,542","64,855"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,290,467","(X)","2,025,980","1.7%","3.0%","12.4%","17.0%","19.7%","16.2%","7.0%","10.8%","12.1%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,596,206","33,756","2,344,886","37,282","53,100","255,410","416,534","538,541","381,109","158,649","227,986","276,275","45,475","59,941","","39,833","27,765","32,101","37,154","50,630","65,941"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,596,206","(X)","2,344,886","1.6%","2.3%","10.9%","17.8%","23.0%","16.3%","6.8%","9.7%","11.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,879,571","41,268","1,345,189","19,624","24,485","105,040","193,406","287,063","240,006","103,624","162,597","209,344","51,322","68,413","","47,393","33,430","40,733","47,787","62,463","81,516"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,879,571","(X)","1,345,189","1.5%","1.8%","7.8%","14.4%","21.3%","17.8%","7.7%","12.1%","15.6%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,716,635","27,480","999,697","17,658","28,615","150,370","223,128","251,478","141,103","55,025","65,389","66,931","38,913","48,542","","31,687","20,259","25,562","30,546","42,026","54,866"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,716,635","(X)","999,697","1.8%","2.9%","15.0%","22.3%","25.2%","14.1%","5.5%","6.5%","6.7%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,770,875","35,837","1,165,475","21,051","29,276","107,169","186,877","273,495","213,946","87,715","118,620","127,326","47,081","59,505","","41,268","30,381","33,066","39,073","51,751","66,887"
"    Percent","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,770,875","(X)","1,165,475","1.8%","2.5%","9.2%","16.0%","23.5%","18.4%","7.5%","10.2%","10.9%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","927,228","42,262","663,372","9,921","13,168","43,089","82,880","149,555","130,295","56,618","79,527","98,319","52,070","67,587","","49,273","35,996","41,116","47,472","62,367","79,149"
"    Percent Male","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","927,228","(X)","663,372","1.5%","2.0%","6.5%","12.5%","22.5%","19.6%","8.5%","12.0%","14.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","843,647","30,059","502,103","11,130","16,108","64,080","103,997","123,940","83,651","31,097","39,093","29,007","40,681","48,827","","33,723","20,977","25,218","31,540","43,760","61,074"
"    Percent Female","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","843,647","(X)","502,103","2.2%","3.2%","12.8%","20.7%","24.7%","16.7%","6.2%","7.8%","5.8%","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","",""
