"Label (Grouping)","Population 16 years and over with earnings","Median earnings (dollars)","Full-time, year-round workers with earnings","$1 to $9,999 or loss","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $64,999","$65,000 to $74,999","$75,000 to $99,999","$100,000 or more","Median earnings (dollars)","Mean earnings (dollars)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Less than high school graduate","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Some college or associate's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Bachelor's degree","MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Earnings in the past 12 months"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","235,383","41,221","137,941","0.8%","2.0%","10.2%","12.3%","16.2%","15.5%","10.5%","15.1%","17.3%","57,068","66,089","","50,662","24,156","35,197","50,758","64,285","76,995","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","190,915","29,511","101,867","1.7%","3.6%","11.9%","18.7%","23.8%","16.7%","6.5%","10.7%","6.5%","42,345","51,386","","33,908","20,891","25,646","31,958","40,347","62,285","","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,111,548","28,645","1,931,206","2.3%","5.1%","15.8%","17.9%","21.1%","14.0%","5.4%","8.5%","9.8%","(X)","52,461","","32,447","17,773","25,923","32,278","46,668","60,562","","18.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,663,660","31,904","1,110,129","2.1%","4.4%","14.4%","15.4%","19.9%","14.7%","5.6%","10.1%","13.2%","43,618","58,949","","37,586","20,914","29,775","39,989","55,720","76,231","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,447,888","24,949","821,077","2.6%","5.9%","17.8%","21.4%","22.7%","13.1%","5.0%","6.3%","5.2%","35,974","43,689","","29,320","13,901","22,014","28,219","39,508","50,440","","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,406,386","25,737","913,600","2.8%","6.0%","20.7%","19.6%","21.3%","13.1%","4.5%","5.9%","6.1%","(X)","45,041","","30,191","20,692","25,280","28,590","42,377","54,099","","15.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","735,230","30,720","513,579","2.3%","4.1%","17.3%","18.2%","21.4%","14.8%","5.2%","7.8%","8.9%","40,153","51,469","","35,345","23,239","30,581","35,754","52,228","66,565","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","671,156","21,306","400,021","3.5%","8.4%","25.0%","21.5%","21.1%","10.9%","3.6%","3.4%","2.5%","30,843","36,790","","24,713","14,342","20,223","22,857","36,428","46,874","","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,846,761","30,502","11,272,176","2.1%","4.4%","15.1%","14.1%","17.6%","13.9%","6.3%","10.4%","16.0%","(X)","62,957","","36,008","18,675","26,921","35,524","53,033","76,648","","17.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,205,347","34,516","6,670,361","1.8%","4.0%","14.4%","13.3%","16.3%","13.7%","6.3%","10.8%","19.5%","50,139","69,135","","40,897","21,631","31,008","41,231","62,455","94,270","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,641,414","25,676","4,601,815","2.6%","5.1%","16.2%","15.3%","19.5%","14.2%","6.4%","9.8%","10.9%","41,956","54,003","","30,953","14,450","22,757","30,523","45,826","62,207","","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,908,000","31,326","1,784,844","2.0%","4.2%","12.5%","15.3%","21.0%","15.4%","6.7%","9.9%","13.0%","(X)","59,690","","36,870","20,886","28,486","33,248","47,782","60,889","","16.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,566,155","36,589","1,047,640","1.8%","3.4%","11.3%","13.5%","19.0%","15.4%","7.0%","11.6%","17.0%","50,509","67,316","","42,199","23,011","31,770","40,523","57,859","78,096","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,341,845","26,244","737,204","2.3%","5.2%","14.2%","17.8%","23.8%","15.5%","6.2%","7.6%","7.4%","40,402","48,852","","31,265","15,650","23,327","27,933","39,045","50,506","","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,975,687","36,914","1,194,113","1.4%","2.1%","8.9%","12.6%","18.3%","17.0%","7.6%","13.4%","18.7%","(X)","75,884","","42,907","21,626","31,740","38,638","57,724","75,271","","18.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,013,335","45,223","680,767","1.1%","1.7%","7.8%","10.3%","16.1%","16.7%","7.5%","14.3%","24.6%","61,097","88,496","","51,939","24,591","39,391","46,906","73,405","96,569","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","962,352","30,489","513,346","1.7%","2.6%","10.4%","15.7%","21.3%","17.3%","7.7%","12.2%","11.0%","47,900","59,158","","35,903","18,339","25,842","32,177","44,735","61,930","","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","485,287","31,770","302,612","1.7%","3.8%","11.7%","15.2%","22.8%","17.1%","7.6%","10.0%","10.2%","(X)","56,875","","38,151","20,732","28,820","37,243","49,550","64,957","","18.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","244,114","36,976","163,254","2.0%","3.3%","10.5%","12.5%","19.7%","19.6%","7.3%","11.4%","13.7%","50,689","63,383","","43,393","24,718","35,569","45,267","56,088","80,527","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","241,173","28,005","139,358","1.3%","4.2%","13.0%","18.3%","26.5%","14.2%","8.0%","8.4%","6.2%","41,120","49,251","","33,409","15,128","24,520","32,329","42,379","56,215","","(X)"
"Florida","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,306,221","26,604","5,801,845","2.2%","5.4%","18.6%","19.2%","21.1%","12.8%","4.9%","7.0%","8.9%","(X)","50,801","","30,787","17,446","24,512","30,604","41,876","57,375","","19.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,842,640","30,352","3,203,769","1.9%","4.9%","16.7%","17.3%","20.0%","13.5%","5.2%","8.2%","12.4%","40,889","58,002","","34,347","19,979","27,098","35,509","50,836","71,825","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,463,581","23,787","2,598,076","2.5%","6.0%","20.9%","21.6%","22.4%","12.0%","4.4%","5.7%","4.5%","34,202","41,921","","27,015","15,221","21,285","26,803","37,372","47,541","","(X)"
"Georgia","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,821,059","28,282","3,109,352","2.3%","4.9%","16.9%","17.9%","20.0%","14.0%","5.7%","7.8%","10.5%","(X)","53,659","","32,362","18,613","25,545","31,157","48,704","60,720","","20.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,531,203","32,239","1,748,254","1.9%","3.6%","15.0%","16.1%","19.7%","14.4%","5.9%","8.9%","14.5%","43,707","61,439","","38,226","21,507","29,989","37,014","60,407","79,703","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,289,856","24,351","1,361,098","2.9%","6.6%","19.3%","20.3%","20.4%","13.5%","5.4%","6.3%","5.3%","35,479","43,667","","27,988","14,466","20,855","26,630","40,193","51,849","","(X)"
"Hawaii","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","747,304","31,475","483,267","2.3%","4.3%","14.7%","16.5%","22.2%","15.9%","6.4%","9.5%","8.2%","(X)","51,583","","36,030","21,673","29,797","34,077","44,847","60,084","","21.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","404,389","35,553","279,544","2.3%","3.4%","14.5%","14.4%","20.2%","16.3%","7.4%","11.5%","10.0%","45,748","55,867","","40,949","23,738","32,729","40,207","51,906","72,324","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","342,915","28,081","203,723","2.2%","5.6%","14.9%","19.5%","25.0%","15.4%","4.9%","6.9%","5.7%","38,040","45,704","","31,423","17,532","24,828","29,488","39,544","51,501","","(X)"
"Idaho","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","818,276","23,730","458,604","2.5%","5.7%","18.0%","19.8%","20.3%","15.2%","5.0%","6.8%","6.7%","(X)","46,975","","29,142","20,534","22,708","27,033","38,563","59,350","","15.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","438,816","30,320","275,532","1.7%","3.9%","15.2%","17.9%","20.2%","17.0%","6.1%","8.2%","9.8%","41,664","53,537","","35,671","24,812","30,097","34,276","48,584","66,395","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","379,460","18,608","183,072","3.7%","8.5%","22.3%","22.6%","20.4%","12.4%","3.3%","4.8%","2.1%","31,296","37,100","","22,095","12,862","16,656","21,645","31,823","49,420","","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,739,314","31,329","4,217,580","1.6%","3.5%","13.8%","15.5%","19.6%","15.6%","6.9%","10.7%","12.8%","(X)","60,457","","36,888","20,616","27,219","34,384","50,919","66,698","","18.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,511,333","37,474","2,386,690","1.5%","2.9%","11.4%","13.1%","18.5%","15.9%","7.4%","12.5%","16.8%","51,262","68,691","","43,325","23,161","33,570","42,132","62,038","82,773","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,227,981","25,867","1,830,890","1.8%","4.4%","17.0%","18.5%","21.2%","15.1%","6.2%","8.3%","7.5%","40,309","49,725","","30,652","16,612","21,579","27,586","41,515","56,377","","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,392,774","27,386","2,050,011","2.0%","4.1%","15.4%","19.6%","22.3%","15.4%","5.6%","8.0%","7.6%","(X)","50,165","","32,150","19,425","27,577","31,354","43,844","58,506","","16.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,772,110","33,840","1,179,484","1.7%","3.3%","11.4%","16.5%","22.2%","17.5%","6.6%","10.2%","10.7%","45,620","57,348","","40,252","23,465","34,072","40,745","55,183","70,653","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,620,664","21,988","870,527","2.5%","5.2%","20.9%","23.8%","22.5%","12.6%","4.2%","5.1%","3.4%","33,419","40,433","","26,462","15,064","21,634","25,550","36,731","50,991","","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,732,829","29,546","1,077,885","2.2%","3.8%","13.7%","19.6%","24.7%","16.1%","5.6%","7.1%","7.2%","(X)","49,841","","34,257","21,889","28,013","32,198","44,862","59,587","","16.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","905,241","35,650","622,301","1.9%","2.9%","10.3%","16.6%","24.7%","17.7%","6.9%","9.0%","10.0%","45,305","56,423","","40,988","25,214","34,585","40,890","54,877","70,341","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","827,588","23,239","455,584","2.7%","4.9%","18.3%","23.9%","24.6%","13.9%","3.9%","4.6%","3.3%","35,106","40,851","","27,546","16,726","21,123","26,466","38,007","51,670","","(X)"
"Kansas","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,580,967","28,554","1,000,974","2.3%","4.5%","15.6%","19.0%","22.7%","14.1%","5.5%","7.6%","8.7%","(X)","51,946","","33,443","21,582","26,408","31,134","42,863","56,650","","14.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","841,387","34,261","585,482","2.0%","3.4%","12.4%","16.7%","21.9%","15.1%","6.6%","9.8%","12.2%","44,765","59,834","","40,504","26,247","31,735","39,742","55,116","72,537","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","739,580","22,730","415,492","2.6%","6.0%","20.2%","22.2%","23.8%","12.8%","4.1%","4.4%","3.8%","34,131","40,832","","27,273","15,510","21,019","24,551","36,790","48,585","","(X)"
"Kentucky","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,140,417","26,430","1,327,455","2.6%","5.3%","17.8%","19.0%","21.7%","14.5%","5.2%","7.1%","6.8%","(X)","48,051","","31,263","18,551","25,738","30,555","42,404","52,346","","15.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,120,960","31,332","746,858","2.3%","4.0%","14.2%","16.7%","21.6%","16.3%","6.4%","9.0%","9.4%","42,321","54,776","","37,209","21,492","31,083","39,027","51,909","62,105","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,019,457","21,929","580,597","3.0%","7.0%","22.3%","21.9%","21.9%","12.2%","3.7%","4.7%","3.3%","32,157","39,401","","26,294","15,171","20,391","25,361","36,749","49,467","","(X)"
"Louisiana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,266,574","27,273","1,451,007","3.1%","6.3%","17.1%","16.8%","19.4%","14.8%","5.5%","8.2%","8.7%","(X)","50,988","","31,951","18,668","27,227","30,616","46,018","54,659","","20.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,181,154","35,691","813,347","2.2%","4.1%","13.0%","14.3%","18.5%","16.5%","7.2%","11.3%","12.9%","47,249","60,908","","41,174","23,812","37,470","40,740","60,107","72,434","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,085,420","21,294","637,660","4.4%","9.1%","22.4%","20.0%","20.6%","12.6%","3.4%","4.3%","3.3%","31,586","38,334","","25,287","12,800","19,889","24,404","40,313","48,280","","(X)"
"Maine","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","733,872","27,160","420,324","1.9%","3.4%","14.9%","20.8%","24.0%","15.9%","5.6%","6.6%","6.8%","(X)","49,230","","31,606","20,932","26,658","30,396","40,466","51,072","","12.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","378,373","32,039","239,205","1.6%","3.0%","12.1%","17.9%","24.7%","17.4%","6.4%","8.1%","8.9%","42,280","54,870","","36,850","24,487","31,618","37,254","50,618","60,130","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","355,499","22,759","181,119","2.3%","4.1%","18.7%","24.8%","23.0%","13.9%","4.6%","4.5%","4.0%","35,057","41,781","","26,902","15,485","20,533","25,531","34,493","46,494","","(X)"
"Maryland","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,273,362","39,240","2,174,191","1.6%","2.7%","9.7%","12.8%","18.5%","15.7%","7.5%","13.0%","18.4%","(X)","68,090","","45,569","23,310","32,796","40,593","57,885","80,457","","17.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,656,780","45,005","1,189,010","1.4%","2.2%","9.2%","11.3%","16.8%","15.5%","7.0%","13.4%","23.1%","57,447","75,588","","51,400","26,990","39,091","47,923","69,956","100,320","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,616,582","33,389","985,181","2.0%","3.3%","10.4%","14.6%","20.6%","16.0%","8.0%","12.5%","12.7%","49,000","59,041","","39,994","17,399","27,693","35,594","50,005","67,246","","(X)"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,738,827","36,386","2,223,644","1.2%","2.0%","8.3%","13.3%","19.5%","17.2%","8.0%","12.6%","18.0%","(X)","71,357","","42,570","22,342","31,656","37,587","54,676","71,345","","19.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,896,485","42,255","1,251,613","1.0%","1.8%","6.9%","11.3%","17.2%","17.0%","8.2%","13.7%","22.8%","60,243","80,941","","51,020","27,169","37,129","45,683","67,310","89,589","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,842,342","30,983","972,031","1.3%","2.4%","10.1%","15.7%","22.5%","17.5%","7.7%","11.1%","11.7%","47,651","59,015","","36,838","17,905","25,361","32,012","45,511","60,877","","(X)"
"Michigan","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,895,836","26,733","2,789,986","2.4%","4.1%","14.4%","16.5%","20.4%","15.7%","6.9%","9.7%","9.9%","(X)","55,039","","32,335","17,366","25,128","30,784","46,688","65,045","","16.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,525,537","32,869","1,600,137","2.2%","3.1%","11.6%","13.7%","19.4%","16.6%","7.7%","11.7%","13.8%","49,897","62,866","","40,709","21,063","30,912","39,890","60,292","79,276","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,370,299","21,431","1,189,849","2.8%","5.4%","18.0%","20.2%","21.7%","14.4%","5.8%","6.9%","4.6%","36,772","44,514","","26,465","12,416","19,624","24,704","37,421","55,555","","(X)"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,105,982","32,084","1,874,162","1.8%","2.9%","11.0%","16.0%","23.2%","17.0%","6.6%","9.8%","11.7%","(X)","59,415","","38,143","20,910","29,086","35,339","50,065","65,002","","13.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,617,678","38,824","1,076,876","1.5%","2.5%","8.9%","13.5%","21.6%","18.0%","7.1%","11.4%","15.5%","50,885","67,295","","45,001","24,692","33,679","42,102","60,593","77,053","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,488,304","26,822","797,286","2.3%","3.5%","13.9%","19.3%","25.4%","15.6%","5.9%","7.6%","6.6%","40,595","48,770","","31,925","15,796","22,708","29,324","40,939","56,607","","(X)"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,357,903","24,933","860,111","3.1%","6.4%","20.7%","20.0%","20.7%","13.0%","4.0%","6.0%","6.2%","(X)","45,233","","29,366","17,460","24,153","27,602","40,669","51,731","","18.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","700,202","30,052","470,773","2.3%","4.8%","16.8%","17.9%","21.2%","15.0%","4.7%","8.3%","8.9%","40,081","52,929","","34,804","20,968","30,389","35,183","51,993","67,744","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","657,701","20,995","389,338","4.1%","8.2%","25.4%","22.5%","20.1%","10.7%","3.0%","3.2%","2.8%","30,287","35,929","","24,510","12,878","18,615","23,307","35,129","44,271","","(X)"
"Missouri","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,140,070","26,997","1,943,505","2.2%","4.8%","17.2%","19.7%","21.4%","14.0%","5.2%","7.4%","8.0%","(X)","50,248","","31,664","17,590","26,157","30,532","42,019","53,564","","17.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,608,604","31,744","1,071,384","1.8%","3.4%","14.3%","17.1%","20.7%","15.3%","6.3%","9.3%","11.6%","42,974","58,387","","37,753","21,573","31,206","36,696","52,108","70,196","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,531,466","22,641","872,121","2.7%","6.5%","20.7%","23.0%","22.3%","12.4%","3.8%","5.1%","3.5%","32,868","40,249","","26,929","14,207","21,366","25,666","35,681","46,369","","(X)"
"Montana","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","554,516","24,954","319,362","3.5%","4.9%","17.2%","19.8%","21.9%","13.1%","5.5%","7.6%","6.5%","(X)","46,605","","29,895","18,022","24,383","27,232","35,804","51,802","","17.3%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","295,127","30,309","186,331","3.2%","3.3%","14.6%","16.7%","22.3%","14.2%","6.5%","9.7%","9.6%","41,656","53,083","","35,715","23,731","29,438","34,584","42,549","62,385","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","259,389","20,360","133,031","3.8%","7.2%","20.9%","24.2%","21.3%","11.5%","4.2%","4.6%","2.2%","31,775","37,531","","23,944","12,446","18,731","22,010","30,422","45,568","","(X)"
"Nebraska","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,066,503","28,528","683,976","2.4%","4.7%","15.3%","19.4%","23.8%","14.6%","5.4%","7.1%","7.2%","(X)","49,175","","33,510","21,479","27,040","31,594","41,949","56,792","","14.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","561,222","34,920","395,708","2.0%","3.3%","11.3%","17.5%","24.0%","16.4%","6.5%","9.0%","10.0%","42,878","56,098","","40,354","24,423","32,938","39,632","52,233","72,658","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","505,281","22,368","288,268","3.0%","6.7%","20.7%","22.1%","23.6%","12.2%","3.9%","4.5%","3.4%","33,218","39,670","","26,989","15,808","20,857","25,262","35,507","50,575","","(X)"
"Nevada","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,387,075","29,580","852,595","2.1%","4.0%","15.8%","19.5%","22.5%","14.5%","5.7%","7.9%","8.2%","(X)","50,670","","32,200","22,639","27,508","33,388","45,130","61,539","","18.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","748,706","32,018","484,007","2.1%","3.0%","14.2%","17.2%","21.7%","15.3%","6.3%","9.2%","11.0%","42,137","56,282","","36,288","25,510","30,678","39,521","51,254","71,054","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","638,369","25,845","368,588","2.1%","5.3%","17.9%","22.4%","23.4%","13.3%","4.9%","6.3%","4.5%","35,941","43,300","","29,462","20,131","25,462","29,120","40,449","55,485","","(X)"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","768,492","34,119","471,697","1.2%","2.4%","10.0%","15.5%","22.1%","17.4%","7.3%","10.3%","13.9%","(X)","61,398","","40,134","24,932","31,901","36,825","50,525","63,320","","15.0%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","397,652","40,743","269,959","1.1%","2.3%","7.8%","12.6%","19.8%","18.1%","7.4%","12.0%","18.9%","54,136","69,740","","46,921","27,671","37,214","46,009","62,055","85,046","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","370,840","28,251","201,738","1.3%","2.6%","12.9%","19.5%","25.1%","16.3%","7.1%","7.9%","7.3%","41,774","50,234","","33,137","20,649","25,677","30,679","40,942","53,405","","(X)"
"New Jersey","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,660,189","38,124","2,986,910","1.4%","2.8%","10.6%","12.4%","17.0%","15.9%","7.3%","13.1%","19.6%","(X)","72,933","","44,731","21,560","31,989","40,288","59,550","81,057","","19.8%"
"    Male","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,438,390","46,198","1,711,433","1.2%","2.2%","9.2%","10.9%","14.9%","15.1%","7.2%","13.7%","25.6%","60,878","83,625","","51,932","25,725","39,082","50,086","72,085","100,469","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","",""
